device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T
E 394.918773758 31.0 24.0 73.0 30 30
H 394.922551406 3.0 59.0 100.0 30 30
E 394.977576264 27.0 24.0 81.0 30 30
H 395.001362620 4.0 57.0 100.0 30 30
E 395.046692534 22.0 24.0 87.0 30 30
H 395.050291122 3.0 56.0 100.0 30 30
E 395.105381094 16.0 24.0 90.0 30 30
H 395.109067812 3.0 55.0 100.0 30 30
E 395.154383516 12.0 25.0 90.0 30 30
H 395.158071298 3.0 53.0 100.0 30 30
E 395.203385588 8.0 25.0 91.0 30 30
H 395.207083408 3.0 50.0 100.0 30 30
E 395.252502124 4.0 25.0 96.0 30 30
H 395.256101986 3.0 48.0 100.0 30 30
E 395.311190474 3.0 24.0 98.0 30 30
H 395.314878704 3.0 46.0 100.0 30 30
E 395.360192896 3.0 25.0 96.0 30 30
H 395.363980344 3.0 44.0 100.0 30 30
E 395.409195010 3.0 24.0 93.0 30 30
H 395.412980190 3.0 41.0 100.0 30 30
E 395.458311560 3.0 24.0 93.0 30 30
H 395.461911324 3.0 38.0 100.0 30 30
E 395.516999994 3.0 22.0 94.0 30 30
H 395.520701272 3.0 34.0 100.0 30 30
E 395.566002122 3.0 22.0 94.0 30 30
H 395.569700656 3.0 32.0 100.0 30 30
E 395.615004446 3.0 22.0 91.0 30 30
H 395.618703526 3.0 29.0 100.0 30 30
E 395.664119946 3.0 21.0 86.0 30 30
H 395.667719570 4.0 27.0 100.0 30 30
E 395.722809416 3.0 20.0 81.0 30 30
H 395.726509028 3.0 28.0 100.0 30 30
E 395.771811712 3.0 21.0 74.0 30 30
H 395.775511996 3.0 30.0 100.0 30 30
E 395.820813910 3.0 25.0 65.0 30 30
H 395.824511534 3.0 36.0 100.0 30 30
E 395.870488178 3.0 28.0 58.0 30 30
H 395.873990446 4.0 44.0 100.0 30 30
E 395.928618768 4.0 31.0 51.0 30 30
H 395.932337532 4.0 54.0 97.0 30 30
E 395.977621050 7.0 33.0 46.0 30 30
H 396.001339674 4.0 61.0 93.0 30 30
E 396.046623220 7.0 34.0 41.0 30 30
H 396.050363390 4.0 65.0 90.0 30 30
E 396.095739364 8.0 35.0 37.0 30 30
H 396.099380372 4.0 68.0 85.0 30 30
E 396.154428260 9.0 39.0 34.0 30 30
H 396.158158756 4.0 75.0 79.0 30 30
E 396.203430374 11.0 43.0 32.0 30 30
H 396.207293366 4.0 79.0 74.0 30 30
E 396.252432740 12.0 46.0 30.0 30 30
H 396.256251198 4.0 80.0 71.0 30 30
E 396.301548814 13.0 52.0 29.0 30 30
H 396.305139254 4.0 80.0 69.0 30 30
E 396.360237696 15.0 57.0 28.0 30 30
H 396.363926038 4.0 78.0 66.0 30 30
E 396.409239950 17.0 58.0 27.0 30 30
