device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T
E 2309.586102804 41.0 59.0 17.0 10 10
E 2309.635104974 45.0 61.0 17.0 10 10
E 2309.684221664 50.0 63.0 17.0 10 10
E 2309.742909958 56.0 62.0 16.0 10 10
E 2309.791912240 61.0 60.0 15.0 10 10
E 2309.840914396 66.0 60.0 14.0 10 10
E 2309.890031114 70.0 59.0 13.0 10 10
E 2309.948719338 74.0 55.0 12.0 10 10
E 2310.017721676 77.0 51.0 12.0 10 10
E 2310.066723860 79.0 47.0 12.0 10 10
E 2310.115840382 81.0 44.0 14.0 10 10
E 2310.174528704 81.0 41.0 17.0 10 10
E 2310.223531028 81.0 40.0 19.0 10 10
E 2310.272533114 81.0 37.0 20.0 10 10
E 2310.321649412 81.0 34.0 21.0 10 10
E 2310.380338196 80.0 33.0 24.0 10 10
E 2310.429340492 79.0 32.0 22.0 10 10
E 2310.478342690 77.0 32.0 21.0 10 10
E 2310.528012268 77.0 32.0 23.0 10 10
E 2310.586147478 75.0 31.0 29.0 10 10
E 2310.635149732 73.0 31.0 34.0 10 10
E 2310.684152014 71.0 31.0 41.0 10 10
E 2310.733268326 68.0 32.0 50.0 10 10
E 2310.791957026 62.0 32.0 60.0 10 10
E 2310.840959098 56.0 33.0 64.0 10 10
E 2310.889961506 50.0 33.0 65.0 10 10
E 2310.939077776 44.0 36.0 68.0 10 10
E 2311.017766336 38.0 43.0 71.0 10 10
E 2311.066768562 33.0 47.0 77.0 10 10
E 2311.115770984 28.0 48.0 82.0 10 10
E 2311.164887254 24.0 50.0 87.0 10 10
E 2311.223575618 19.0 54.0 89.0 10 10
E 2311.272577984 16.0 56.0 90.0 10 10
E 2311.321580266 12.0 56.0 94.0 10 10
E 2311.370696578 9.0 55.0 100.0 10 10
E 2311.429385264 5.0 51.0 100.0 10 10
E 2311.478387518 4.0 49.0 100.0 10 10
E 2311.527389660 4.0 48.0 100.0 10 10
E 2311.576505944 4.0 47.0 100.0 10 10
E 2311.635194672 4.0 43.0 100.0 10 10
E 2311.684196786 4.0 40.0 100.0 10 10
E 2311.733198942 4.0 40.0 94.0 10 10
E 2311.782315380 4.0 41.0 88.0 10 10
E 2311.841004010 4.0 40.0 85.0 10 10
E 2311.890006040 4.0 37.0 83.0 10 10
E 2311.939008406 4.0 34.0 82.0 10 10
E 2312.008124830 4.0 32.0 80.0 10 10
E 2312.066813488 4.0 32.0 76.0 10 10
E 2312.115815728 4.0 33.0 73.0 10 10
E 2312.164817926 4.0 37.0 68.0 10 10
E 2312.213934224 5.0 42.0 63.0 10 10
E 2312.272622560 4.0 54.0 59.0 10 10
E 2312.321625052 5.0 64.0 54.0 10 10
E 2312.370627138 7.0 73.0 50.0 10 10
E 2312.419743548 11.0 82.0 48.0 10 10
E 2312.478432178 17.0 94.0 45.0 10 10
E 2312.527434404 23.0 100.0 42.0 10 10
E 2312.576436630 29.0 100.0 40.0 10 10
E 2312.626106446 36.0 100.0 38.0 10 10
E 2312.684241614 46.0 100.0 35.0 10 10
E 2312.733243756 53.0 100.0 33.0 10 10
E 2312.792046458 62.0 100.0 31.0 10 10
E 2312.841162952 68.0 100.0 29.0 10 10
E 2312.899851400 75.0 100.0 27.0 10 10
E 2312.958654116 82.0 100.0 26.0 10 10
E 2313.027656342 88.0 100.0 24.0 10 10
E 2313.076772808 93.0 100.0 23.0 10 10
E 2313.135461200 99.0 100.0 22.0 10 10
E 2313.194263944 105.0 100.0 20.0 10 10
E 2313.253066688 110.0 100.0 19.0 10 10
E 2313.302182944 113.0 100.0 19.0 10 10
E 2313.360871462 118.0 100.0 20.0 10 10
E 2313.409873688 121.0 100.0 20.0 10 10
E 2313.458876194 123.0 100.0 20.0 10 10
E 2313.517792898 123.0 92.0 19.0 10 10
E 2313.576481360 123.0 95.0 21.0 10 10
E 2313.625483726 123.0 99.0 23.0 10 10
E 2313.674485994 123.0 98.0 23.0 10 10
E 2313.723602348 123.0 99.0 22.0 10 10
E 2313.782293764 123.0 100.0 22.0 10 10
E 2313.831293008 123.0 99.0 21.0 10 10
E 2313.880295276 123.0 94.0 20.0 10 10
E 2313.929411686 123.0 88.0 19.0 10 10
E 2314.008100414 123.0 85.0 18.0 10 10
E 2314.057102430 123.0 82.0 17.0 10 10
E 2314.106104838 123.0 75.0 17.0 10 10
E 2314.155221024 123.0 69.0 18.0 10 10
E 2314.213909570 123.0 63.0 29.0 10 10
E 2314.262911768 122.0 58.0 42.0 10 10
E 2314.311913980 120.0 53.0 57.0 10 10
E 2314.361029732 117.0 48.0 69.0 10 10
E 2314.419719062 111.0 44.0 77.0 10 10
E 2314.468721246 104.0 42.0 82.0 10 10
E 2314.517723570 98.0 42.0 81.0 10 10
E 2314.566838972 91.0 43.0 80.0 10 10
E 2314.625528526 83.0 50.0 80.0 10 10
E 2314.674530780 77.0 59.0 81.0 10 10
E 2314.723532866 72.0 63.0 82.0 10 10
E 2314.890140552 59.0 65.0 85.0 10 15
E 2314.939142848 55.0 62.0 88.0 10 15
E 2315.008258292 50.0 59.0 89.0 10 15
E 2315.066947762 45.0 60.0 83.0 10 15
E 2315.115949918 41.0 63.0 78.0 10 15
E 2315.164952158 38.0 66.0 78.0 10 15
E 2315.214067686 36.0 68.0 79.0 10 15
E 2315.272757128 36.0 68.0 81.0 10 15
E 2315.321759354 35.0 65.0 84.0 10 15
E 2315.370761594 31.0 62.0 88.0 10 15
E 2315.419877052 28.0 60.0 92.0 10 15
E 2315.478566452 23.0 60.0 94.0 10 15
E 2315.527568804 20.0 59.0 96.0 10 15
E 2315.576571044 17.0 56.0 98.0 10 15
E 2315.625686544 14.0 55.0 99.0 10 15
E 2315.684376224 9.0 57.0 94.0 10 15
E 2315.733378184 8.0 60.0 91.0 10 15
E 2315.782380298 6.0 61.0 90.0 10 15
E 2315.831496050 5.0 62.0 87.0 10 15
E 2315.890185268 5.0 64.0 80.0 10 15
E 2315.939187536 5.0 64.0 76.0 10 15
E 2316.008189902 6.0 64.0 72.0 10 15
E 2316.057305402 7.0 64.0 69.0 10 15
E 2316.115994830 7.0 62.0 66.0 10 15
E 2316.164997014 7.0 61.0 63.0 10 15
E 2316.213999044 7.0 61.0 64.0 10 15
E 2316.263114824 8.0 65.0 64.0 10 15
E 2316.321804098 7.0 68.0 62.0 10 15
E 2316.370806352 8.0 68.0 61.0 10 15
E 2316.419808718 7.0 68.0 61.0 10 15
E 2316.468924274 7.0 67.0 60.0 10 15
E 2316.527613646 7.0 65.0 59.0 10 15
E 2316.576615788 8.0 61.0 58.0 10 15
E 2316.625618238 7.0 59.0 57.0 10 15
E 2316.674733682 8.0 57.0 56.0 10 15
E 2316.733423012 7.0 57.0 53.0 10 15
E 2316.782425140 8.0 58.0 50.0 10 15
E 2316.831427282 8.0 63.0 47.0 10 15
E 2316.881095726 9.0 70.0 44.0 10 15
E 2316.939232252 14.0 78.0 40.0 10 15
E 2317.008234604 17.0 85.0 38.0 10 15
E 2317.057237012 22.0 93.0 36.0 10 15
E 2317.106352022 28.0 100.0 35.0 10 15
E 2317.165041800 35.0 100.0 35.0 10 15
E 2317.214044026 42.0 100.0 36.0 10 15
E 2317.263046322 48.0 100.0 36.0 10 15
E 2317.312161234 55.0 100.0 34.0 10 15
E 2317.370851222 63.0 100.0 31.0 10 15
E 2317.419853490 71.0 100.0 29.0 10 15
E 2317.468855562 78.0 100.0 28.0 10 15
E 2317.517971174 84.0 100.0 26.0 10 15
E 2317.576660546 92.0 100.0 25.0 10 15
E 2317.625662870 98.0 100.0 24.0 10 15
E 2317.674665068 102.0 100.0 22.0 10 15
E 2317.723780330 107.0 100.0 21.0 10 15
E 2317.782469968 112.0 100.0 20.0 10 15
E 2317.831472222 116.0 100.0 19.0 10 15
E 2317.880474504 120.0 100.0 19.0 10 15
E 2317.929589556 123.0 100.0 19.0 10 15
E 2318.008279460 124.0 100.0 20.0 10 15
E 2318.057281546 124.0 100.0 20.0 10 15
E 2318.106283772 124.0 100.0 20.0 10 15
E 2318.165199510 124.0 100.0 20.0 10 15
E 2318.223889316 124.0 100.0 20.0 10 15
E 2318.272891472 124.0 100.0 20.0 10 15
E 2318.321893796 124.0 100.0 19.0 10 15
E 2318.371008792 124.0 100.0 18.0 10 15
E 2318.429698710 124.0 100.0 17.0 10 15
E 2318.478700810 124.0 100.0 16.0 10 15
E 2318.527703162 124.0 100.0 15.0 10 15
E 2318.576818844 124.0 98.0 15.0 10 15
E 2318.635507950 124.0 100.0 14.0 10 15
E 2318.684510218 124.0 95.0 13.0 10 15
E 2318.733512542 123.0 89.0 13.0 10 15
E 2318.782628182 124.0 81.0 15.0 10 15
E 2318.841317344 123.0 71.0 20.0 10 15
E 2318.890319710 123.0 63.0 26.0 10 15
E 2318.939321866 123.0 57.0 34.0 10 15
E 2319.008990996 122.0 52.0 43.0 10 15
E 2319.067126948 119.0 47.0 59.0 10 15
E 2319.116129230 116.0 44.0 75.0 10 15
E 2319.165131372 110.0 42.0 82.0 10 15
E 2319.224050344 103.0 40.0 80.0 10 15
E 2319.282736804 95.0 41.0 78.0 10 15
E 2319.331739002 88.0 43.0 78.0 10 15
E 2319.380741116 82.0 44.0 78.0 10 15
E 2319.429857246 77.0 48.0 77.0 10 15
E 2319.488548774 71.0 54.0 75.0 10 15
E 2319.537548494 66.0 58.0 73.0 10 15
E 2319.586550650 63.0 60.0 70.0 10 15
E 2319.635666542 61.0 58.0 69.0 10 15
E 2319.694355662 60.0 55.0 73.0 10 15
E 2319.743360590 56.0 54.0 79.0 10 15
E 2319.792359974 51.0 58.0 83.0 10 15
E 2319.841476006 47.0 64.0 80.0 10 15
E 2319.900164818 44.0 71.0 74.0 10 15
E 2319.949167226 43.0 73.0 73.0 10 15
E 2320.018169368 42.0 70.0 74.0 10 15
E 2320.067285400 41.0 67.0 73.0 10 15
E 2320.223978944 39.0 59.0 80.0 10 20
E 2320.282895088 36.0 56.0 86.0 10 20
E 2320.341584166 31.0 52.0 86.0 10 20
E 2320.390586476 28.0 48.0 86.0 10 20
E 2320.439588758 24.0 47.0 87.0 10 20
E 2320.488704622 21.0 49.0 85.0 10 20
E 2320.547393602 18.0 53.0 82.0 10 20
E 2320.596395926 16.0 54.0 80.0 10 20
E 2320.645398040 15.0 55.0 79.0 10 20
E 2320.694514114 14.0 55.0 77.0 10 20
E 2320.753203388 13.0 54.0 75.0 10 20
E 2320.802205208 13.0 55.0 73.0 10 20
E 2320.851207406 13.0 56.0 71.0 10 20
E 2320.900323410 13.0 55.0 69.0 10 20
E 2320.959012376 14.0 56.0 65.0 10 20
E 2321.028014574 14.0 58.0 61.0 10 20
E 2321.077016758 14.0 59.0 56.0 10 20
E 2321.126686154 14.0 58.0 50.0 10 20
E 2321.184821756 14.0 54.0 45.0 10 20
E 2321.233824080 14.0 51.0 42.0 10 20
E 2321.282826208 14.0 51.0 38.0 10 20
E 2321.331942184 16.0 59.0 35.0 10 20
E 2321.390631290 19.0 73.0 34.0 10 20
E 2321.439638570 23.0 83.0 33.0 10 20
E 2321.488635602 28.0 87.0 32.0 10 20
E 2321.537751690 34.0 91.0 31.0 10 20
E 2321.596440712 42.0 96.0 30.0 10 20
E 2321.645442896 48.0 100.0 29.0 10 20
E 2321.694445024 55.0 100.0 28.0 10 20
E 2321.743560944 61.0 100.0 27.0 10 20
E 2321.802249980 70.0 100.0 25.0 10 20
E 2321.851252248 77.0 100.0 25.0 10 20
E 2321.900254544 83.0 100.0 24.0 10 20
E 2321.949371318 90.0 100.0 23.0 10 20
E 2322.028059598 97.0 100.0 22.0 10 20
E 2322.077061656 102.0 100.0 21.0 10 20
E 2322.126064022 107.0 100.0 20.0 10 20
E 2322.184980936 112.0 100.0 19.0 10 20
E 2322.243669342 117.0 100.0 18.0 10 20
E 2322.292671428 121.0 100.0 18.0 10 20
E 2322.341673808 124.0 98.0 18.0 10 20
E 2322.390790232 125.0 99.0 19.0 10 20
E 2322.449478666 125.0 100.0 20.0 10 20
E 2322.498480962 125.0 100.0 21.0 10 20
E 2322.547483244 125.0 100.0 21.0 10 20
E 2322.596599752 125.0 100.0 20.0 10 20
E 2322.655288004 125.0 100.0 20.0 10 20
E 2322.704290496 125.0 100.0 19.0 10 20
E 2322.753292526 125.0 100.0 18.0 10 20
E 2322.812209748 125.0 95.0 17.0 10 20
E 2322.870897776 125.0 87.0 16.0 10 20
E 2322.919900268 125.0 79.0 16.0 10 20
E 2322.968902466 124.0 72.0 17.0 10 20
E 2323.038018652 125.0 65.0 19.0 10 20
E 2323.096707268 124.0 57.0 23.0 10 20
E 2323.145709676 124.0 51.0 29.0 10 20
E 2323.194711832 123.0 45.0 40.0 10 20
E 2323.244445782 121.0 41.0 50.0 10 20
E 2323.302516760 119.0 38.0 56.0 10 20
E 2323.351518958 116.0 36.0 58.0 10 20
E 2323.400521324 113.0 33.0 63.0 10 20
E 2323.449637412 108.0 32.0 67.0 10 20
E 2323.508326196 101.0 31.0 70.0 10 20
E 2323.557328478 95.0 31.0 71.0 10 20
E 2323.606330774 90.0 30.0 71.0 10 20
E 2323.655446694 84.0 30.0 71.0 10 20
E 2323.714135506 76.0 32.0 71.0 10 20
E 2323.763137774 70.0 38.0 71.0 10 20
E 2323.812140182 65.0 43.0 73.0 10 20
E 2323.861256060 60.0 47.0 77.0 10 20
E 2323.919944914 54.0 52.0 78.0 10 20
E 2323.968947266 50.0 53.0 76.0 10 20
E 2324.037949394 46.0 54.0 75.0 10 20
E 2324.087065412 43.0 55.0 78.0 10 20
E 2324.145754378 39.0 55.0 82.0 10 20
E 2324.194756604 35.0 55.0 82.0 10 20
E 2324.243758928 32.0 57.0 81.0 10 20
E 2324.302675408 28.0 60.0 80.0 10 20
E 2324.361364234 27.0 62.0 79.0 10 20
E 2324.410366642 26.0 64.0 78.0 10 20
E 2324.459368784 26.0 63.0 77.0 10 20
E 2324.508484662 26.0 62.0 80.0 10 20
E 2324.567173586 25.0 59.0 87.0 10 20
E 2324.616175840 23.0 57.0 89.0 10 20
E 2324.665178164 20.0 56.0 83.0 10 20
E 2324.714306530 19.0 53.0 76.0 10 20
E 2324.772982924 18.0 52.0 76.0 10 20
E 2324.821985276 16.0 53.0 81.0 10 20
E 2324.870987516 15.0 53.0 87.0 10 20
E 2324.920104080 13.0 53.0 98.0 10 20
E 2324.978808208 9.0 56.0 100.0 10 20
E 2325.047794838 7.0 57.0 100.0 10 20
E 2325.096796910 5.0 58.0 100.0 10 20
E 2325.145913740 5.0 59.0 100.0 10 20
E 2325.204601796 4.0 58.0 100.0 10 20
E 2325.253603994 5.0 59.0 100.0 10 20
E 2325.302606360 5.0 61.0 100.0 10 20
E 2325.352276344 5.0 63.0 100.0 10 20
E 2325.410411288 5.0 60.0 100.0 10 20
E 2325.616220570 5.0 59.0 100.0 10 25
E 2325.665264922 5.0 61.0 100.0 10 25
E 2325.714225092 5.0 65.0 95.0 10 25
E 2325.763341782 5.0 73.0 87.0 10 25
E 2325.822029978 6.0 82.0 77.0 10 25
E 2325.871032344 7.0 89.0 70.0 10 25
E 2325.920034626 10.0 95.0 63.0 10 25
E 2325.969151134 15.0 99.0 58.0 10 25
E 2326.047839442 22.0 100.0 54.0 10 25
E 2326.096841696 28.0 100.0 49.0 10 25
E 2326.145843852 34.0 100.0 45.0 10 25
E 2326.204759842 42.0 100.0 41.0 10 25
E 2326.263449270 50.0 100.0 38.0 10 25
E 2326.322252000 59.0 100.0 35.0 10 25
E 2326.381112354 67.0 100.0 33.0 10 25
E 2326.430170482 74.0 100.0 31.0 10 25
E 2326.488859700 82.0 100.0 28.0 10 25
E 2326.537861898 88.0 100.0 27.0 10 25
E 2326.586864110 94.0 100.0 25.0 10 25
E 2326.645780324 101.0 100.0 24.0 10 25
E 2326.704469374 107.0 100.0 23.0 10 25
E 2326.753471712 112.0 100.0 22.0 10 25
E 2326.802473910 116.0 100.0 21.0 10 25
E 2326.851589578 120.0 100.0 21.0 10 25
E 2326.910278964 124.0 100.0 21.0 10 25
E 2326.959281246 125.0 100.0 22.0 10 25
E 2327.028283276 125.0 100.0 23.0 10 25
E 2327.087199308 125.0 100.0 26.0 10 25
