device_type time pose pose-last_pose vel comanded_vel Nocap_C_vel
E 2288.246812062 53.0 0.0 0.0 0 0
H 2288.250531988 3.0 0.0 0.0 -189.87333333333333 -100
E 2288.305502288 51.0 0.0 -34.077224374793495 0 0
H 2288.309090166 3.0 0.0 0.0 -129.91333333333336 -100
E 2288.354504486 51.0 0.0 0.0 0 0
H 2288.358180424 3.0 0.0 0.0 -89.94000000000001 -89.94000000000001
E 2288.403506768 51.0 0.0 0.0 0 0
H 2288.407183840 3.0 0.0 0.0 -59.96000000000001 -59.96000000000001
E 2288.452621414 50.0 0.0 -20.360525453077457 0 0
H 2288.456446368 3.0 0.0 0.0 -29.980000000000004 -29.980000000000004
E 2288.511311850 50.0 0.0 0.0 0 0
H 2288.514989062 3.0 0.0 0.0 0 0
E 2288.560313866 50.0 0.0 0.0 0 0
H 2288.563990308 3.0 0.0 0.0 0 0
E 2288.609316064 50.0 0.0 0.0 0 0
H 2288.613139450 3.0 0.0 0.0 0 0
E 2288.658430920 50.0 0.0 0.0 0 0
H 2288.662110106 3.0 0.0 0.0 0 0
E 2288.717120992 50.0 0.0 0.0 0 0
H 2288.720799870 3.0 0.0 0.0 0 0
E 2288.766123260 50.0 0.0 0.0 0 0
H 2288.769946730 3.0 0.0 0.0 0 0
E 2288.815125570 50.0 0.0 0.0 39.973333333333336 39.973333333333336
H 2288.818804994 3.0 0.0 0.0 0 0
E 2288.864793748 51.0 0.0 20.13361553143846 239.84000000000003 100
H 2288.868472766 3.0 0.0 0.0 0 0
E 2288.922930456 54.0 0.0 51.6025090379307 389.74 100
H 2288.926737336 3.0 0.0 0.0 0 0
E 2288.971932612 58.0 0.0 81.6290613826653 479.68000000000006 100
H 2288.975612582 3.0 0.0 0.0 0 0
E 2289.040934978 63.0 0.0 72.46128342861017 529.6466666666668 100
H 2289.044611168 3.0 0.0 0.0 0 0
E 2289.090049792 69.0 0.0 122.16273485238412 539.64 100
H 2289.093823296 3.0 0.0 0.0 0 0
E 2289.148739990 76.0 0.0 119.27034221280644 549.6333333333333 100
H 2289.152506676 3.0 0.0 0.0 0 0
E 2289.197742048 81.0 0.0 102.03653079309707 559.6266666666667 100
H 2289.201509308 3.0 0.0 0.0 0 0
E 2289.246744274 87.0 0.0 122.44341716210384 569.62 100
H 2289.250512192 3.0 0.0 0.0 0 0
E 2289.295859102 92.0 0.0 101.80225002465475 569.62 100
H 2289.299752740 3.0 0.0 0.0 0 0
E 2289.354549300 98.0 0.0 102.23172189669124 569.62 100
H 2289.358502088 3.0 0.0 0.0 0 0
E 2289.403551414 102.0 0.0 81.62913134743134 579.6133333333333 100
H 2289.407494948 3.0 0.0 0.0 0 0
E 2289.452553724 107.0 0.0 102.03600605745423 579.6133333333333 100
H 2289.456497510 4.0 0.0 20.40709626563106 0 0
E 2289.501669154 111.0 0.0 81.44080180131093 589.6066666666667 100
H 2289.505610588 4.0 0.0 0.0 0 0
E 2289.560358764 116.0 0.0 85.19395511421425 589.6066666666667 100
H 2289.564431490 4.0 0.0 0.0 0 0
E 2289.609360864 119.0 0.0 61.22186600159562 589.6066666666667 100
H 2289.613400228 4.0 0.0 0.0 0 0
E 2289.658363076 122.0 0.0 61.221726071994084 589.6066666666667 100
H 2289.662304314 4.0 0.0 0.0 0 0
E 2289.707478562 125.0 0.0 61.08053170888949 609.5933333333334 100
H 2289.711418652 4.0 0.0 0.0 0 0
E 2289.766168130 125.0 0.0 0.0 629.58 100
H 2289.770109088 4.0 0.0 0.0 0 0
E 2289.815170272 125.0 0.0 0.0 639.5733333333334 100
H 2289.819156660 5.0 0.0 20.388369071630052 0 0
E 2289.864172638 125.0 0.0 0.0 639.5733333333334 100
H 2289.868125230 5.0 0.0 0.0 0 0
E 2289.913287774 125.0 0.0 0.0 609.5933333333334 100
H 2289.917054278 6.0 0.0 20.43775713764524 99.93333333333334 99.93333333333334
E 2289.971977314 124.0 0.0 -17.03881134521216 509.66 100
H 2289.975745344 12.0 0.0 102.23020996006264 199.86666666666667 100
E 2290.040979834 124.0 0.0 0.0 439.7066666666667 100
H 2290.044656682 18.0 0.0 87.06840084875564 229.8466666666667 100
E 2290.089982018 124.0 0.0 0.0 379.74666666666667 100
H 2290.093671158 25.0 0.0 142.81495124104072 219.85333333333335 100
E 2290.139096692 124.0 0.0 0.0 319.7866666666667 100
H 2290.142875558 31.0 0.0 121.94031428025383 189.87333333333333 100
E 2290.197786904 124.0 0.0 0.0 319.7866666666667 100
H 2290.201553604 39.0 0.0 136.3371915966953 209.86 100
E 2290.246788962 124.0 0.0 0.0 329.78000000000003 100
H 2290.250556138 45.0 0.0 122.44264755775183 289.8066666666667 100
E 2290.295791412 124.0 0.0 0.0 299.8 100
H 2290.299647054 52.0 0.0 142.5925725231494 329.78000000000003 100
E 2290.344907850 124.0 0.0 0.0 269.82 100
H 2290.348866882 60.0 0.0 162.53612263781008 329.78000000000003 100
E 2290.403596312 124.0 0.0 0.0 219.85333333333335 100
H 2290.407555162 69.0 0.0 153.3525944196051 299.8 100
E 2290.452598440 124.0 0.0 0.0 149.9 100
H 2290.456453074 75.0 0.0 122.70462591524122 229.8466666666667 100
E 2290.501600806 123.0 0.0 -20.40717789015852 69.95333333333333 69.95333333333333
H 2290.505454012 79.0 0.0 81.63109040881761 149.9 100
E 2290.550717342 122.0 0.0 -20.35974198183385 0 0
H 2290.554572270 82.0 0.0 61.07708461496416 69.95333333333333 69.95333333333333
E 2290.609405636 120.0 0.0 -34.07834618621608 0 0
H 2290.613386060 84.0 0.0 34.005630312250666 0 0
E 2290.658407834 118.0 0.0 -40.81449570863083 0 0
H 2290.662407326 84.0 0.0 0.0 0 0
E 2290.707410158 117.0 0.0 -20.40719538120011 -9.993333333333334 -9.993333333333334
H 2290.711263630 84.0 0.0 0.0 0 0
E 2290.756525714 114.0 0.0 -61.08044465607153 -179.88000000000002 -100
H 2290.760380404 84.0 0.0 0.0 0 0
E 2290.815215072 108.0 0.0 -102.23318510349658 -319.7866666666667 -100
H 2290.819069832 83.0 0.0 -17.038843861288722 0 0
E 2290.864217508 100.0 0.0 -163.25718990740825 -319.7866666666667 -100
H 2290.868198758 83.0 0.0 0.0 0 0
E 2290.913219538 93.0 0.0 -142.85122473531567 -319.7866666666667 -100
H 2290.917088438 83.0 0.0 0.0 0 0
E 2290.962888528 86.0 0.0 -140.9330046772822 -349.7666666666667 -100
H 2290.966656208 83.0 0.0 0.0 0 0
E 2291.041024550 77.0 0.0 -115.18374969184536 -469.6866666666667 -100
H 2291.044610300 83.0 0.0 0.0 0 0
E 2291.090026944 68.0 0.0 -183.6644960664633 -549.6333333333333 -100
H 2291.093614388 83.0 0.0 0.0 0 0
E 2291.139028918 59.0 0.0 -183.66607026884665 -539.64 -100
H 2291.142707726 82.0 0.0 -20.369362539515787 -19.986666666666668 -19.986666666666668
E 2291.188144418 50.0 0.0 -183.24154289390017 -349.7666666666667 -100
H 2291.191922612 80.0 0.0 -40.63811099768256 -59.96000000000001 -59.96000000000001
E 2291.246833804 42.0 0.0 -136.31084843866338 -109.92666666666668 -100
H 2291.250511968 76.0 0.0 -68.27178643155354 -139.90666666666667 -100
E 2291.295836100 38.0 0.0 -81.62882816713964 -29.980000000000004 -29.980000000000004
H 2291.299612488 71.0 0.0 -101.83191542545632 -229.8466666666667 -100
E 2291.344838284 36.0 0.0 -40.814507369651025 -29.980000000000004 -29.980000000000004
H 2291.348517960 64.0 0.0 -143.13326737718725 -309.79333333333335 -100
E 2291.393953826 34.0 0.0 -40.72030804425937 -99.93333333333334 -99.93333333333334
