device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T
E 168.026612026 5.0 69.0 100.0 10 10
E 168.075614336 5.0 69.0 100.0 10 10
E 168.124730900 5.0 67.0 100.0 10 10
E 168.183419474 5.0 65.0 100.0 10 10
E 168.232421518 5.0 64.0 100.0 10 10
E 168.281423772 5.0 65.0 100.0 10 10
E 168.330540490 5.0 66.0 100.0 10 10
E 168.389228672 5.0 66.0 100.0 10 10
E 168.438230912 5.0 63.0 100.0 10 10
E 168.487233054 5.0 60.0 100.0 10 10
E 168.536349940 5.0 57.0 100.0 10 10
E 168.595038108 5.0 51.0 100.0 10 10
E 168.644040432 5.0 49.0 100.0 10 10
E 168.693042672 5.0 50.0 100.0 10 10
E 168.742712614 5.0 56.0 100.0 10 10
E 168.800847558 5.0 69.0 93.0 10 10
E 168.849849770 5.0 82.0 83.0 10 10
E 168.898851912 7.0 94.0 75.0 10 10
E 168.947968644 11.0 100.0 68.0 10 10
E 169.026656896 16.0 100.0 62.0 10 10
E 169.075659192 22.0 100.0 58.0 10 10
E 169.124661348 28.0 100.0 53.0 10 10
E 169.173778136 35.0 100.0 49.0 10 10
E 169.232466248 43.0 100.0 45.0 10 10
E 169.281468740 50.0 100.0 42.0 10 10
E 169.330470826 57.0 100.0 39.0 10 10
E 169.379587376 65.0 100.0 36.0 10 10
E 169.438275908 73.0 100.0 33.0 10 10
E 169.487278106 79.0 100.0 31.0 10 10
E 169.536280220 86.0 100.0 28.0 10 10
E 169.585396924 92.0 100.0 26.0 10 10
E 169.644085218 99.0 100.0 23.0 10 10
E 169.693087416 103.0 100.0 22.0 10 10
E 169.742089586 108.0 100.0 20.0 10 10
E 169.791206178 113.0 100.0 19.0 10 10
E 169.849894626 118.0 100.0 18.0 10 10
E 169.898896740 121.0 100.0 18.0 10 10
E 169.947899008 123.0 100.0 18.0 10 10
E 170.017015628 125.0 100.0 18.0 10 10
E 170.075703880 125.0 100.0 19.0 10 10
E 170.124706260 125.0 100.0 20.0 10 10
E 170.173708584 125.0 100.0 20.0 10 10
E 170.222824826 125.0 100.0 20.0 10 10
E 170.281513386 125.0 100.0 19.0 10 10
E 170.330515584 125.0 100.0 19.0 10 10
E 170.379517894 125.0 100.0 18.0 10 10
E 170.428633674 125.0 100.0 18.0 10 10
E 170.487322836 125.0 100.0 18.0 10 10
E 170.536324936 125.0 100.0 17.0 10 10
E 170.585327204 124.0 100.0 17.0 10 10
E 170.634443096 124.0 98.0 17.0 10 10
E 170.693132174 124.0 86.0 19.0 10 10
E 170.742134400 124.0 77.0 22.0 10 10
E 170.791136696 123.0 70.0 27.0 10 10
E 170.840806050 121.0 65.0 34.0 10 10
E 170.898941806 119.0 59.0 44.0 10 10
E 170.947944032 117.0 53.0 52.0 10 10
E 171.016946006 114.0 48.0 60.0 10 10
E 171.066062752 110.0 46.0 67.0 10 10
E 171.124751130 103.0 44.0 71.0 10 10
E 171.173753202 98.0 42.0 72.0 10 10
E 171.222755456 92.0 44.0 73.0 10 10
E 171.271872300 86.0 47.0 75.0 10 10
