device_type time pose Biceps_effort Triceps_effort Biceps_E_T Triceps_E_T
E 3926.366076550 0.0 100.0 100.0 10 10
H 3926.370129284 0.0 100.0 100.0 10 10
E 3926.424772572 0.0 100.0 100.0 10 10
H 3926.428825068 0.0 100.0 100.0 10 10
E 3926.483687218 0.0 100.0 100.0 10 10
H 3926.487629394 0.0 100.0 100.0 10 10
E 3926.542491628 0.0 100.0 100.0 10 10
H 3926.546436408 0.0 100.0 100.0 10 10
E 3926.601295562 0.0 100.0 100.0 10 10
H 3926.605236814 0.0 100.0 100.0 10 10
E 3926.659985508 0.0 100.0 100.0 10 10
H 3926.664037584 0.0 100.0 100.0 10 10
E 3926.718788994 0.0 100.0 100.0 10 10
H 3926.722843828 0.0 100.0 100.0 10 10
E 3926.777704466 0.0 100.0 100.0 10 10
H 3926.781643828 0.0 100.0 100.0 10 10
E 3926.836621282 0.0 100.0 100.0 10 10
H 3926.840563794 0.0 100.0 100.0 10 10
E 3926.895197926 0.0 100.0 100.0 10 10
H 3926.899141810 0.0 100.0 100.0 10 10
E 3926.953998458 0.0 100.0 100.0 10 10
H 3926.958048420 0.0 100.0 100.0 10 10
E 3927.032804996 0.0 100.0 100.0 10 10
H 3927.036771658 0.0 100.0 100.0 10 10
E 3927.092383718 0.0 100.0 100.0 10 10
H 3927.096232472 0.0 100.0 100.0 10 10
E 3927.150523156 0.0 100.0 100.0 10 10
H 3927.154465682 0.0 100.0 100.0 10 10
E 3927.209216840 0.0 100.0 100.0 10 10
H 3927.213158428 0.0 100.0 100.0 10 10
E 3927.268018058 0.0 100.0 100.0 10 10
H 3927.272072234 0.0 100.0 100.0 10 10
E 3927.326936456 0.0 100.0 100.0 10 10
H 3927.330991906 0.0 100.0 100.0 10 10
E 3927.385736694 0.0 100.0 100.0 10 10
E 3927.718843944 0.0 100.0 100.0 10 15
H 3927.722787492 0.0 100.0 100.0 10 15
E 3927.777763028 0.0 100.0 100.0 10 15
H 3927.781817498 0.0 100.0 100.0 10 15
E 3927.836450412 0.0 100.0 100.0 10 15
H 3927.840505274 0.0 100.0 100.0 10 15
E 3927.895364036 0.0 100.0 100.0 10 15
H 3927.899306506 0.0 100.0 100.0 10 15
E 3927.954170826 0.0 100.0 100.0 10 15
H 3927.958113786 0.0 100.0 100.0 10 15
E 3928.032972016 0.0 100.0 100.0 10 15
H 3928.036826132 0.0 100.0 100.0 10 15
E 3928.091664776 0.0 100.0 100.0 10 15
H 3928.095726778 0.0 100.0 100.0 10 15
E 3928.140779968 0.0 100.0 100.0 10 15
H 3928.144721836 0.0 100.0 100.0 10 15
E 3928.199583580 0.0 100.0 100.0 10 15
H 3928.203522900 0.0 100.0 100.0 10 15
E 3928.258388592 0.0 100.0 100.0 10 15
H 3928.262331972 0.0 100.0 100.0 10 15
E 3928.317077166 0.0 100.0 100.0 10 15
H 3928.321132196 0.0 100.0 100.0 10 15
E 3928.375877740 0.0 100.0 100.0 10 15
H 3928.379928052 0.0 100.0 100.0 10 15
E 3928.434795858 0.0 100.0 100.0 10 15
H 3928.438739616 0.0 100.0 100.0 10 15
E 3928.493714466 0.0 100.0 100.0 10 15
H 3928.497652540 0.0 100.0 100.0 10 15
E 3928.552290018 0.0 100.0 100.0 10 15
H 3928.556233034 0.0 100.0 100.0 10 15
E 3928.611096234 0.0 100.0 100.0 10 15
H 3928.615150578 0.0 100.0 100.0 10 15
E 3928.669897382 0.0 100.0 100.0 10 15
H 3928.673952832 0.0 100.0 100.0 10 15
E 3928.728928242 0.0 100.0 100.0 10 15
E 3929.062317248 0.0 100.0 100.0 10 20
H 3929.066376660 100.0 3.0 3.0 10 20
E 3929.121234526 0.0 100.0 100.0 10 20
H 3929.125177080 0.0 100.0 100.0 10 20
E 3929.180038740 0.0 100.0 100.0 10 20
H 3929.184092902 0.0 100.0 100.0 10 20
E 3929.238729904 0.0 100.0 100.0 10 20
H 3929.242668062 0.0 100.0 100.0 10 20
E 3929.287845278 0.0 100.0 100.0 10 20
H 3929.291900686 0.0 100.0 100.0 10 20
E 3929.346535168 0.0 100.0 100.0 10 20
H 3929.350477652 0.0 100.0 100.0 10 20
E 3929.406118272 0.0 100.0 100.0 10 20
H 3929.410060378 0.0 100.0 100.0 10 20
E 3929.464137212 0.0 100.0 100.0 10 20
H 3929.468191150 0.0 100.0 100.0 10 20
E 3929.522941664 0.0 100.0 100.0 10 20
H 3929.526881320 0.0 100.0 100.0 10 20
E 3929.572060314 0.0 100.0 100.0 10 20
H 3929.576115022 0.0 100.0 100.0 10 20
E 3929.630865312 0.0 100.0 100.0 10 20
H 3929.634802812 0.0 100.0 100.0 10 20
E 3929.689667580 0.0 100.0 100.0 10 20
H 3929.693606564 0.0 100.0 100.0 10 20
E 3929.748357428 0.0 100.0 100.0 10 20
H 3929.752413102 0.0 100.0 100.0 10 20
E 3929.807157820 0.0 100.0 100.0 10 20
H 3929.811095152 0.0 100.0 100.0 10 20
E 3929.866189394 0.0 100.0 100.0 10 20
H 3929.870244480 0.0 100.0 100.0 10 20
E 3929.924764736 0.0 100.0 100.0 10 20
H 3929.928708046 0.0 100.0 100.0 10 20
E 3930.003682966 0.0 100.0 100.0 10 20
H 3930.007447356 0.0 100.0 100.0 10 20
E 3930.052681874 0.0 100.0 100.0 10 20
