device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T
E 1679.309893122 78.0 100.0 100.0 30 30
H 1679.313924352 5.0 100.0 100.0 30 30
E 1679.368809490 78.0 100.0 93.0 30 30
H 1679.373094470 5.0 100.0 100.0 30 30
E 1679.427498414 78.0 100.0 77.0 30 30
H 1679.431353608 5.0 93.0 100.0 30 30
E 1679.476500710 77.0 89.0 67.0 30 30
H 1679.480177992 5.0 82.0 94.0 30 30
E 1679.525502950 76.0 78.0 59.0 30 30
H 1679.529181576 4.0 73.0 92.0 30 30
E 1679.574618870 73.0 69.0 52.0 30 30
H 1679.578813634 3.0 65.0 92.0 30 30
E 1679.633307836 69.0 59.0 48.0 30 30
H 1679.637075124 3.0 58.0 100.0 30 30
E 1679.682310188 68.0 52.0 48.0 30 30
H 1679.686115710 3.0 53.0 100.0 30 30
E 1679.731312386 66.0 46.0 48.0 30 30
H 1679.734991796 3.0 49.0 100.0 30 30
E 1679.780428306 63.0 57.0 61.0 30 30
H 1679.784392364 3.0 61.0 100.0 30 30
E 1679.839117174 62.0 82.0 87.0 30 30
H 1679.842797046 3.0 88.0 100.0 30 30
E 1679.888119540 61.0 100.0 100.0 30 30
H 1679.892150420 3.0 100.0 100.0 30 30
E 1679.946922214 59.0 100.0 100.0 30 30
H 1679.951275346 3.0 100.0 100.0 30 30
E 1680.025838568 58.0 100.0 100.0 30 30
H 1680.030117038 3.0 100.0 100.0 30 30
E 1680.084527646 57.0 100.0 100.0 30 30
H 1680.088469752 3.0 100.0 100.0 30 30
E 1680.133529774 56.0 100.0 100.0 30 30
H 1680.137561298 3.0 100.0 100.0 30 30
E 1680.192332854 55.0 100.0 100.0 30 30
H 1680.196364336 3.0 100.0 100.0 30 30
E 1680.251248830 54.0 100.0 100.0 30 30
H 1680.255603278 3.0 100.0 100.0 30 30
E 1680.309937992 53.0 100.0 100.0 30 30
H 1680.314306608 3.0 100.0 100.0 30 30
E 1680.368740722 52.0 100.0 100.0 30 30
H 1680.372769516 3.0 100.0 100.0 30 30
E 1680.427543312 51.0 100.0 100.0 30 30
H 1680.431896262 3.0 100.0 100.0 30 30
E 1680.486459694 49.0 100.0 100.0 30 30
H 1680.490828996 3.0 100.0 100.0 30 30
E 1680.545148688 48.0 100.0 100.0 30 30
H 1680.549178560 3.0 100.0 100.0 30 30
E 1680.603951418 47.0 100.0 100.0 30 30
H 1680.608345542 3.0 100.0 100.0 30 30
E 1680.662754050 46.0 100.0 100.0 30 30
H 1680.666783278 3.0 100.0 100.0 30 30
E 1680.722560426 45.0 100.0 100.0 30 30
H 1680.726590340 3.0 100.0 100.0 30 30
E 1680.780359356 45.0 100.0 100.0 30 30
H 1680.784390628 3.0 100.0 100.0 30 30
E 1680.839162184 45.0 100.0 100.0 30 30
H 1680.843193666 3.0 100.0 100.0 30 30
E 1680.897964760 45.0 100.0 100.0 30 30
H 1680.901994674 3.0 100.0 100.0 30 30
E 1680.956881114 45.0 100.0 100.0 30 30
H 1680.961233966 3.0 100.0 100.0 30 30
E 1681.035570136 45.0 100.0 100.0 30 30
H 1681.039652914 3.0 100.0 100.0 30 30
E 1681.094372880 45.0 100.0 100.0 30 30
H 1681.098314300 3.0 100.0 100.0 30 30
E 1681.153175540 45.0 100.0 100.0 30 30
H 1681.157205804 3.0 100.0 100.0 30 30
E 1681.212091838 45.0 100.0 100.0 30 30
H 1681.216461686 3.0 100.0 100.0 30 30
E 1681.270780944 45.0 100.0 100.0 30 30
H 1681.275131318 3.0 100.0 100.0 30 30
E 1681.329583576 45.0 100.0 100.0 30 30
H 1681.333614582 3.0 100.0 100.0 30 30
E 1681.388386404 46.0 100.0 100.0 30 30
H 1681.392418250 3.0 100.0 100.0 30 30
E 1681.447302688 48.0 100.0 100.0 30 30
H 1681.451655134 3.0 100.0 100.0 30 30
E 1681.505991682 50.0 100.0 100.0 30 30
H 1681.510357638 3.0 100.0 100.0 30 30
E 1681.564794482 53.0 100.0 100.0 30 30
H 1681.569146648 3.0 100.0 100.0 30 30
E 1681.623597044 56.0 100.0 100.0 30 30
H 1681.627626566 3.0 100.0 100.0 30 30
E 1681.682513398 60.0 100.0 100.0 30 30
H 1681.686981218 3.0 100.0 100.0 30 30
E 1681.741202378 63.0 100.0 100.0 30 30
H 1681.745647882 3.0 100.0 100.0 30 30
E 1681.800005150 65.0 100.0 100.0 30 30
H 1681.804364274 3.0 100.0 100.0 30 30
