device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value_0 daq_value_1
E 7673.674032044 0.0 13.0 15.0 50 50 1732 1757
H 7673.677738978 98.0 100.0 14.0 50 50 1731 1757
E 7673.723034270 0.0 13.0 16.0 50 50 1731 1757
H 7673.726624360 98.0 100.0 14.0 50 50 1732 1757
E 7673.772036356 0.0 13.0 16.0 50 50 1732 1757
H 7673.775627048 98.0 100.0 15.0 50 50 1731 1757
E 7673.821152836 0.0 13.0 16.0 50 50 1732 1758
H 7673.824829278 98.0 100.0 15.0 50 50 1731 1757
E 7673.879841410 0.0 13.0 15.0 50 50 1732 1757
H 7673.883431934 98.0 100.0 15.0 50 50 1732 1757
E 7673.928843608 0.0 13.0 15.0 50 50 1731 1757
H 7673.932551018 98.0 100.0 15.0 50 50 1731 1757
E 7673.977845960 0.0 14.0 15.0 50 50 1731 1757
H 7674.001438444 98.0 100.0 15.0 50 50 1732 1757
E 7674.046962244 0.0 14.0 15.0 50 50 1732 1757
H 7674.050463770 98.0 100.0 15.0 50 50 1731 1757
E 7674.105650846 0.0 14.0 16.0 50 50 1732 1757
H 7674.109326210 98.0 100.0 15.0 50 50 1732 1757
E 7674.154652918 0.0 13.0 16.0 50 50 1731 1757
H 7674.158244058 98.0 100.0 15.0 50 50 1731 1757
E 7674.203655200 0.0 14.0 15.0 50 50 1732 1757
H 7674.207361406 98.0 100.0 15.0 50 50 1732 1757
E 7674.252771568 0.0 14.0 15.0 50 50 1731 1757
H 7674.256362890 98.0 100.0 15.0 50 50 1732 1757
E 7674.311460254 0.0 13.0 15.0 50 50 1732 1757
H 7674.315051338 98.0 100.0 15.0 50 50 1731 1757
E 7674.360462536 0.0 13.0 15.0 50 50 1732 1757
H 7674.364140196 98.0 100.0 15.0 50 50 1731 1757
E 7674.409464608 0.0 13.0 15.0 50 50 1731 1757
H 7674.413054474 98.0 100.0 15.0 50 50 1732 1757
E 7674.459443208 0.0 13.0 15.0 50 50 1731 1757
H 7674.463230782 98.0 100.0 16.0 50 50 1732 1757
E 7674.517269648 0.0 13.0 15.0 50 50 1731 1757
H 7674.520859052 98.0 96.0 16.0 50 50 1731 1757
E 7674.566271832 0.0 13.0 15.0 50 50 1732 1757
H 7674.569863952 98.0 88.0 15.0 50 50 1732 1757
E 7674.615274016 0.0 13.0 15.0 50 50 1731 1757
H 7674.618981860 98.0 95.0 14.0 50 50 1732 1757
E 7674.664390440 0.0 14.0 16.0 50 50 1732 1757
H 7674.668068604 98.0 100.0 14.0 50 50 1731 1757
E 7674.723079056 0.0 14.0 17.0 50 50 1731 1757
H 7674.726666262 98.0 100.0 14.0 50 50 1732 1757
E 7674.772081184 0.0 14.0 17.0 50 50 1732 1757
H 7674.775671694 98.0 100.0 14.0 50 50 1732 1757
E 7674.821083452 0.0 14.0 17.0 50 50 1731 1757
H 7674.824673738 98.0 99.0 14.0 50 50 1732 1757
E 7674.870199778 0.0 14.0 17.0 50 50 1732 1757
H 7674.873907370 98.0 100.0 14.0 50 50 1731 1757
E 7674.928888212 0.0 14.0 17.0 50 50 1732 1757
H 7674.932567160 98.0 100.0 14.0 50 50 1731 1757
E 7674.977890760 0.0 15.0 17.0 50 50 1732 1757
H 7675.001482166 98.0 100.0 13.0 50 50 1731 1757
E 7675.046892804 0.0 15.0 17.0 50 50 1732 1757
H 7675.050393882 98.0 100.0 13.0 50 50 1732 1757
E 7675.096009228 0.0 15.0 17.0 50 50 1731 1757
H 7675.099510110 98.0 100.0 13.0 50 50 1732 1757
E 7675.154697802 0.0 15.0 16.0 50 50 1732 1757
H 7675.158405786 98.0 100.0 13.0 50 50 1732 1757
E 7675.203700028 0.0 15.0 15.0 50 50 1731 1757
H 7675.207376722 98.0 100.0 13.0 50 50 1732 1757
E 7675.252702366 0.0 15.0 15.0 50 50 1731 1757
H 7675.256294122 98.0 100.0 13.0 50 50 1732 1758
E 7675.301818580 0.0 14.0 15.0 50 50 1731 1757
H 7675.305408012 98.0 100.0 12.0 50 50 1732 1757
E 7675.360507112 0.0 14.0 16.0 50 50 1732 1757
H 7675.364097090 98.0 100.0 12.0 50 50 1731 1757
E 7675.409509394 0.0 14.0 16.0 50 50 1732 1757
H 7675.413216090 98.0 100.0 12.0 50 50 1732 1757
E 7675.458511662 0.0 14.0 16.0 50 50 1732 1757
H 7675.462190806 98.0 100.0 12.0 50 50 1731 1757
E 7675.507628072 0.0 15.0 15.0 50 50 1732 1757
H 7675.511215390 98.0 100.0 12.0 50 50 1732 1757
E 7675.566316744 0.0 14.0 15.0 50 50 1732 1757
H 7675.569908038 98.0 100.0 12.0 50 50 1732 1757
E 7675.615318886 0.0 14.0 15.0 50 50 1732 1757
H 7675.618910278 98.0 100.0 12.0 50 50 1732 1757
E 7675.664321196 0.0 14.0 15.0 50 50 1732 1757
H 7675.668029110 98.0 100.0 12.0 50 50 1731 1757
E 7675.713437480 0.0 14.0 16.0 50 50 1732 1757
H 7675.717115532 98.0 100.0 12.0 50 50 1731 1757
E 7675.772125942 0.0 13.0 16.0 50 50 1731 1757
H 7675.775717418 98.0 100.0 12.0 50 50 1732 1757
E 7675.821128364 0.0 13.0 16.0 50 50 1732 1757
H 7675.824719938 98.0 100.0 12.0 50 50 1731 1757
E 7675.870130492 0.0 13.0 15.0 50 50 1732 1757
H 7675.873718580 98.0 100.0 12.0 50 50 1731 1757
E 7675.919247014 0.0 13.0 15.0 50 50 1731 1757
H 7675.922954606 98.0 100.0 13.0 50 50 1731 1757
E 7675.977935406 0.0 13.0 15.0 50 50 1732 1757
H 7676.001615208 98.0 100.0 13.0 50 50 1732 1757
E 7676.046937730 0.0 13.0 15.0 50 50 1731 1757
H 7676.050439620 98.0 100.0 13.0 50 50 1732 1757
E 7676.095940012 0.0 12.0 15.0 50 50 1732 1757
H 7676.099441426 98.0 100.0 13.0 50 50 1732 1757
E 7676.145056394 0.0 12.0 16.0 50 50 1732 1757
H 7676.148646400 98.0 100.0 13.0 50 50 1731 1757
E 7676.203744758 0.0 12.0 16.0 50 50 1731 1757
H 7676.207452014 98.0 100.0 13.0 50 50 1732 1757
E 7676.252747110 0.0 12.0 16.0 50 50 1731 1757
H 7676.256425624 98.0 100.0 14.0 50 50 1732 1757
E 7676.301749336 0.0 12.0 16.0 50 50 1731 1757
H 7676.305339384 98.0 100.0 13.0 50 50 1732 1757
E 7676.350865634 0.0 12.0 15.0 50 50 1732 1757
H 7676.354456340 98.0 100.0 13.0 50 50 1731 1757
E 7676.409554264 0.0 13.0 15.0 50 50 1731 1757
H 7676.413145264 98.0 100.0 14.0 50 50 1732 1757
E 7676.458556546 0.0 13.0 15.0 50 50 1732 1757
H 7676.462264656 98.0 100.0 14.0 50 50 1731 1757
E 7676.507558772 0.0 13.0 15.0 50 50 1732 1757
H 7676.511236810 98.0 100.0 14.0 50 50 1731 1757
E 7676.557228420 0.0 13.0 14.0 50 50 1731 1757
H 7676.561013670 98.0 100.0 14.0 50 50 1732 1757
E 7676.615363532 0.0 13.0 15.0 50 50 1731 1757
H 7676.619071628 98.0 100.0 14.0 50 50 1732 1757
E 7676.664365772 0.0 14.0 15.0 50 50 1732 1757
H 7676.668044944 98.0 100.0 14.0 50 50 1732 1758
E 7676.713368068 0.0 14.0 15.0 50 50 1732 1757
H 7676.716956576 98.0 100.0 14.0 50 50 1732 1757
E 7676.762484506 0.0 14.0 14.0 50 50 1731 1757
H 7676.766075366 98.0 100.0 14.0 50 50 1732 1758
E 7676.821173080 0.0 13.0 14.0 50 50 1732 1757
H 7676.824764290 98.0 100.0 14.0 50 50 1732 1757
E 7676.870175404 0.0 13.0 14.0 50 50 1731 1757
H 7676.873881904 98.0 100.0 13.0 50 50 1731 1757
E 7676.919177504 0.0 13.0 15.0 50 50 1732 1757
H 7676.922856130 98.0 100.0 13.0 50 50 1731 1757
E 7676.968293970 0.0 13.0 15.0 50 50 1732 1757
H 7676.971885348 98.0 100.0 13.0 50 50 1732 1757
E 7677.046982516 0.0 12.0 15.0 50 50 1731 1757
H 7677.050482796 98.0 100.0 14.0 50 50 1732 1757
E 7677.095984742 0.0 12.0 15.0 50 50 1732 1757
H 7677.099486772 98.0 100.0 14.0 50 50 1732 1757
E 7677.144986856 0.0 13.0 15.0 50 50 1732 1757
H 7677.148695078 98.0 100.0 14.0 50 50 1731 1757
E 7677.194103406 0.0 13.0 15.0 50 50 1731 1757
H 7677.197779918 98.0 100.0 14.0 50 50 1732 1757
E 7677.252791826 0.0 12.0 15.0 50 50 1732 1757
H 7677.256383302 98.0 100.0 14.0 50 50 1732 1757
E 7677.301794066 0.0 13.0 15.0 50 50 1732 1757
H 7677.305384170 98.0 100.0 14.0 50 50 1732 1757
E 7677.350796362 0.0 13.0 15.0 50 50 1731 1757
H 7677.354386802 98.0 100.0 14.0 50 50 1732 1757
E 7677.399912730 0.0 13.0 15.0 50 50 1731 1757
H 7677.403620700 98.0 100.0 14.0 50 50 1731 1757
E 7677.458601206 0.0 14.0 14.0 50 50 1732 1757
H 7677.462280056 98.0 100.0 14.0 50 50 1732 1757
