device_type time pose Biceps_effort Triceps_effort Biceps_E_T Triceps_E_T
E 1722.806150618 0.0 100.0 100.0 10 10
H 1722.810203562 1.0 100.0 100.0 10 10
E 1722.855152634 0.0 100.0 100.0 10 10
H 1722.859094740 1.0 100.0 100.0 10 10
E 1722.904154860 0.0 100.0 100.0 10 10
H 1722.908096658 1.0 100.0 100.0 10 10
E 1722.953270416 0.0 100.0 100.0 10 10
H 1722.957212424 1.0 100.0 100.0 10 10
E 1723.031959788 0.0 100.0 100.0 10 10
H 1723.035938742 1.0 100.0 100.0 10 10
E 1723.080962070 0.0 100.0 100.0 10 10
H 1723.084922586 1.0 100.0 100.0 10 10
E 1723.129964254 0.0 100.0 100.0 10 10
H 1723.133907718 1.0 100.0 100.0 10 10
E 1723.179079600 0.0 100.0 100.0 10 10
H 1723.183020040 1.0 100.0 100.0 10 10
E 1723.237769406 0.0 100.0 100.0 10 10
H 1723.241713430 1.0 100.0 100.0 10 10
E 1723.286771478 0.0 100.0 100.0 10 10
H 1723.290834278 1.0 100.0 100.0 10 10
E 1723.335773676 0.0 100.0 100.0 10 10
H 1723.339828006 1.0 100.0 100.0 10 10
E 1723.394689624 0.0 100.0 100.0 10 10
H 1723.398632598 1.0 100.0 100.0 10 10
E 1723.453379094 0.0 100.0 100.0 10 10
H 1723.457322614 1.0 100.0 100.0 10 10
E 1723.502381320 0.0 100.0 100.0 10 10
H 1723.506319688 1.0 100.0 100.0 10 10
E 1723.551383532 0.0 100.0 100.0 10 10
H 1723.555450756 1.0 100.0 100.0 10 10
E 1723.601052494 0.0 100.0 100.0 10 10
H 1723.605302026 1.0 100.0 100.0 10 10
E 1723.659188418 0.0 100.0 100.0 10 10
H 1723.663132218 1.0 100.0 100.0 10 10
E 1723.708190700 0.0 100.0 100.0 10 10
H 1723.712132442 1.0 100.0 100.0 10 10
E 1723.757192940 0.0 100.0 100.0 10 10
H 1723.761131070 1.0 100.0 100.0 10 10
E 1723.816108916 0.0 100.0 100.0 10 10
H 1723.820175370 1.0 100.0 100.0 10 10
E 1723.874798330 0.0 100.0 100.0 10 10
