device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T
E 1429.853227270 102.0 23.0 45.0 50 50
H 1429.856994362 5.0 7.0 51.0 50 50
E 1429.911915718 100.0 25.0 46.0 50 50
H 1429.915955180 5.0 7.0 51.0 50 50
E 1429.960917916 99.0 24.0 45.0 50 50
H 1429.964595912 5.0 7.0 55.0 50 50
E 1430.029920044 98.0 23.0 44.0 50 50
H 1430.033509406 5.0 8.0 61.0 50 50
E 1430.079036902 98.0 23.0 44.0 50 50
H 1430.082625060 4.0 8.0 65.0 50 50
E 1430.137724972 98.0 23.0 44.0 50 50
H 1430.141632750 3.0 7.0 63.0 50 50
E 1430.186727296 98.0 24.0 44.0 50 50
H 1430.190406804 4.0 7.0 62.0 50 50
E 1430.235729396 98.0 25.0 45.0 50 50
H 1430.239406510 3.0 7.0 63.0 50 50
E 1430.284846226 99.0 24.0 48.0 50 50
H 1430.288525090 4.0 8.0 63.0 50 50
E 1430.343534548 98.0 23.0 51.0 50 50
H 1430.347355288 3.0 8.0 60.0 50 50
E 1430.392536676 98.0 22.0 54.0 50 50
H 1430.396303978 3.0 8.0 60.0 50 50
E 1430.441538790 98.0 21.0 58.0 50 50
H 1430.445217990 3.0 8.0 61.0 50 50
E 1430.490655718 98.0 22.0 60.0 50 50
H 1430.494333882 4.0 8.0 64.0 50 50
E 1430.549343858 98.0 22.0 63.0 50 50
H 1430.553163534 3.0 8.0 66.0 50 50
E 1430.598346056 98.0 22.0 67.0 50 50
H 1430.602024584 4.0 8.0 66.0 50 50
E 1430.647348324 98.0 22.0 69.0 50 50
H 1430.651116270 3.0 8.0 64.0 50 50
E 1430.696465084 98.0 22.0 71.0 50 50
H 1430.700143206 3.0 7.0 59.0 50 50
E 1430.755153252 96.0 23.0 79.0 50 50
H 1430.758829582 4.0 8.0 60.0 50 50
E 1430.804155366 92.0 25.0 87.0 50 50
H 1430.807931404 3.0 8.0 61.0 50 50
E 1430.853157592 87.0 27.0 89.0 50 50
H 1430.856836918 3.0 8.0 58.0 50 50
E 1430.902274492 82.0 31.0 88.0 50 50
H 1430.906079342 3.0 8.0 57.0 50 50
E 1430.960962786 78.0 33.0 81.0 50 50
H 1430.964640306 4.0 8.0 55.0 50 50
E 1431.029964830 76.0 37.0 73.0 50 50
H 1431.033697020 4.0 8.0 55.0 50 50
E 1431.078967028 76.0 41.0 66.0 50 50
H 1431.082555592 4.0 9.0 55.0 50 50
E 1431.128083844 75.0 39.0 61.0 50 50
H 1431.131761588 4.0 9.0 52.0 50 50
E 1431.186771830 75.0 35.0 55.0 50 50
H 1431.190581342 4.0 9.0 47.0 50 50
E 1431.235774378 74.0 32.0 53.0 50 50
H 1431.239454012 4.0 8.0 44.0 50 50
E 1431.284776534 73.0 33.0 51.0 50 50
H 1431.288597148 4.0 8.0 41.0 50 50
E 1431.333893168 73.0 34.0 52.0 50 50
H 1431.337572032 4.0 8.0 39.0 50 50
E 1431.392581378 72.0 32.0 58.0 50 50
H 1431.396258016 4.0 7.0 42.0 50 50
E 1431.441583576 72.0 28.0 61.0 50 50
H 1431.445389616 4.0 7.0 43.0 50 50
E 1431.490585830 71.0 25.0 62.0 50 50
H 1431.494402356 4.0 7.0 41.0 50 50
E 1431.540256010 71.0 23.0 64.0 50 50
H 1431.543930520 4.0 7.0 43.0 50 50
E 1431.598390828 71.0 21.0 64.0 50 50
H 1431.602211568 4.0 7.0 48.0 50 50
E 1431.647393152 71.0 21.0 63.0 50 50
H 1431.651203406 4.0 7.0 52.0 50 50
E 1431.696395308 71.0 21.0 60.0 50 50
E 1431.921805640 71.0 31.0 36.0 50 45
H 1431.925484266 4.0 7.0 47.0 50 45
E 1431.970922330 71.0 34.0 32.0 50 45
H 1431.974729168 4.0 7.0 47.0 50 45
E 1432.049610778 72.0 38.0 28.0 50 45
H 1432.053200672 4.0 7.0 47.0 50 45
E 1432.098612752 71.0 45.0 25.0 50 45
H 1432.102345698 4.0 7.0 46.0 50 45
E 1432.147615062 72.0 51.0 23.0 50 45
H 1432.151292274 4.0 7.0 44.0 50 45
E 1432.196730758 71.0 53.0 21.0 50 45
H 1432.200409944 4.0 7.0 42.0 50 45
E 1432.255420004 72.0 56.0 18.0 50 45
H 1432.259228928 4.0 7.0 42.0 50 45
E 1432.304422300 72.0 60.0 17.0 50 45
H 1432.308096740 4.0 8.0 42.0 50 45
E 1432.353424442 72.0 66.0 17.0 50 45
H 1432.357246918 4.0 7.0 42.0 50 45
E 1432.402540180 72.0 72.0 16.0 50 45
H 1432.406218176 4.0 7.0 43.0 50 45
E 1432.461229258 72.0 77.0 15.0 50 45
H 1432.464909242 4.0 8.0 42.0 50 45
E 1432.510231652 73.0 78.0 14.0 50 45
H 1432.514040716 4.0 8.0 42.0 50 45
E 1432.559233948 74.0 82.0 14.0 50 45
H 1432.562913288 4.0 8.0 42.0 50 45
E 1432.608349770 75.0 86.0 13.0 50 45
H 1432.612129154 4.0 8.0 44.0 50 45
E 1432.667038876 77.0 87.0 12.0 50 45
H 1432.670717446 4.0 8.0 45.0 50 45
E 1432.716040990 79.0 83.0 11.0 50 45
H 1432.719717670 4.0 8.0 45.0 50 45
E 1432.765043272 81.0 78.0 11.0 50 45
H 1432.768852476 4.0 7.0 44.0 50 45
E 1432.814158954 82.0 75.0 10.0 50 45
H 1432.817835172 4.0 7.0 42.0 50 45
E 1432.872848200 84.0 73.0 10.0 50 45
H 1432.876526070 4.0 7.0 40.0 50 45
E 1432.921850440 85.0 71.0 9.0 50 45
H 1432.925447726 4.0 7.0 41.0 50 45
E 1432.970852834 86.0 64.0 11.0 50 45
H 1432.974531740 4.0 7.0 43.0 50 45
E 1433.039968530 86.0 58.0 15.0 50 45
H 1433.043558102 4.0 7.0 46.0 50 45
E 1433.098657622 85.0 51.0 19.0 50 45
H 1433.102504780 4.0 8.0 50.0 50 45
E 1433.147659974 83.0 46.0 22.0 50 45
H 1433.151339426 4.0 8.0 55.0 50 45
E 1433.196662158 82.0 44.0 26.0 50 45
H 1433.200342240 4.0 9.0 62.0 50 45
E 1433.245777854 81.0 43.0 30.0 50 45
H 1433.249457684 3.0 10.0 67.0 50 45
E 1433.304466960 79.0 45.0 35.0 50 45
H 1433.308144760 3.0 12.0 76.0 50 45
E 1433.353469200 78.0 48.0 43.0 50 45
H 1433.357236936 3.0 13.0 84.0 50 45
E 1433.402471706 76.0 50.0 55.0 50 45
H 1433.406292362 3.0 13.0 89.0 50 45
E 1433.451587304 75.0 51.0 69.0 50 45
H 1433.455266196 3.0 14.0 93.0 50 45
E 1433.510276382 72.0 50.0 83.0 50 45
H 1433.513954854 3.0 14.0 98.0 50 45
E 1433.559278636 71.0 50.0 92.0 50 45
H 1433.563189004 3.0 14.0 100.0 50 45
E 1433.608280834 68.0 54.0 100.0 50 45
H 1433.612134040 3.0 14.0 100.0 50 45
E 1433.657950398 65.0 60.0 100.0 50 45
H 1433.661805648 3.0 14.0 100.0 50 45
E 1433.716085930 63.0 64.0 100.0 50 45
H 1433.719939864 3.0 15.0 100.0 50 45
E 1433.765088170 61.0 64.0 100.0 50 45
H 1433.768942776 3.0 15.0 100.0 50 45
E 1433.814090368 61.0 62.0 100.0 50 45
H 1433.818175428 3.0 17.0 100.0 50 45
E 1433.863206302 60.0 63.0 100.0 50 45
H 1433.867060782 3.0 17.0 100.0 50 45
E 1433.921895296 59.0 63.0 100.0 50 45
H 1433.925750336 3.0 18.0 100.0 50 45
E 1433.970897424 59.0 60.0 100.0 50 45
H 1433.974752226 3.0 18.0 100.0 50 45
E 1434.039899678 59.0 58.0 100.0 50 45
H 1434.043666098 3.0 19.0 100.0 50 45
E 1434.089015332 59.0 60.0 100.0 50 45
H 1434.092921794 3.0 20.0 100.0 50 45
E 1434.147704774 59.0 72.0 100.0 50 45
H 1434.151559702 3.0 22.0 100.0 50 45
