device_type time pose Biceps_effort Triceps_effort Biceps_E_T Triceps_E_T
E 891.704699240 41.0 55.0 9.0 10 10
H 891.708116612 5.0 18.0 26.0 10 10
E 891.753823378 46.0 59.0 8.0 10 10
H 891.757427804 5.0 21.0 25.0 10 10
E 891.812509320 52.0 66.0 8.0 10 10
H 891.815927322 5.0 26.0 24.0 10 10
E 891.861526386 58.0 67.0 9.0 10 10
H 891.864942218 6.0 30.0 23.0 10 10
E 891.910486612 64.0 67.0 9.0 10 10
H 891.913904502 6.0 33.0 21.0 10 10
E 891.959505470 69.0 67.0 9.0 10 10
H 891.963020338 8.0 40.0 21.0 10 10
E 892.038188262 76.0 71.0 9.0 10 10
H 892.041619578 14.0 50.0 20.0 10 10
E 892.087290728 81.0 78.0 10.0 10 10
H 892.090795656 21.0 59.0 20.0 10 10
E 892.136293710 86.0 82.0 9.0 10 10
H 892.139710578 29.0 67.0 19.0 10 10
E 892.185316460 91.0 83.0 9.0 10 10
H 892.188827730 39.0 73.0 18.0 10 10
E 892.244002038 96.0 87.0 10.0 10 10
H 892.247883916 52.0 75.0 18.0 10 10
E 892.293005398 100.0 90.0 11.0 10 10
H 892.296881172 63.0 77.0 20.0 10 10
E 892.342007764 104.0 93.0 12.0 10 10
H 892.345978388 74.0 79.0 22.0 10 10
E 892.391125826 108.0 97.0 12.0 10 10
H 892.394902214 83.0 78.0 23.0 10 10
E 892.449814078 113.0 99.0 13.0 10 10
H 892.453690216 92.0 73.0 24.0 10 10
E 892.498817088 118.0 100.0 13.0 10 10
H 892.502773334 97.0 65.0 24.0 10 10
E 892.547820140 121.0 100.0 14.0 10 10
H 892.551775924 97.0 58.0 24.0 10 10
E 892.597037084 124.0 100.0 15.0 10 10
H 892.600890850 96.0 52.0 25.0 10 10
E 892.655622968 125.0 93.0 14.0 10 10
H 892.659499610 96.0 45.0 26.0 10 10
E 892.704629492 125.0 86.0 14.0 10 10
H 892.708596854 96.0 39.0 27.0 10 10
E 892.753631858 125.0 79.0 15.0 10 10
H 892.757604890 96.0 35.0 27.0 10 10
E 892.802751544 125.0 72.0 13.0 10 10
H 892.806521590 96.0 30.0 28.0 10 10
E 892.861438088 125.0 67.0 12.0 10 10
H 892.865312378 96.0 26.0 30.0 10 10
E 892.910439922 125.0 63.0 15.0 10 10
H 892.914309564 96.0 23.0 31.0 10 10
E 892.959443100 125.0 54.0 21.0 10 10
H 892.963316186 96.0 20.0 31.0 10 10
E 893.028563570 124.0 47.0 28.0 10 10
H 893.032341680 93.0 17.0 31.0 10 10
E 893.087249708 124.0 39.0 32.0 10 10
H 893.090842164 90.0 17.0 29.0 10 10
E 893.136250478 121.0 34.0 38.0 10 10
H 893.140123214 88.0 17.0 27.0 10 10
E 893.195054720 119.0 31.0 41.0 10 10
H 893.198928240 86.0 15.0 25.0 10 10
E 893.253973524 116.0 29.0 39.0 10 10
H 893.257750122 85.0 13.0 23.0 10 10
E 893.312662168 112.0 25.0 39.0 10 10
H 893.316536892 83.0 11.0 21.0 10 10
E 893.361660922 108.0 22.0 38.0 10 10
H 893.365536276 83.0 10.0 19.0 10 10
E 893.410668272 104.0 20.0 36.0 10 10
H 893.414543276 83.0 9.0 17.0 10 10
E 893.460340972 100.0 17.0 32.0 10 10
H 893.464018940 83.0 9.0 16.0 10 10
E 893.518599648 95.0 15.0 30.0 10 10
H 893.522390498 83.0 8.0 15.0 10 10
E 893.567606004 91.0 14.0 29.0 10 10
H 893.571490514 83.0 7.0 16.0 10 10
E 893.616577220 87.0 13.0 30.0 10 10
H 893.620462556 83.0 7.0 18.0 10 10
E 893.665697844 83.0 12.0 35.0 10 10
H 893.669383260 81.0 6.0 19.0 10 10
E 893.724381630 77.0 11.0 39.0 10 10
H 893.728166656 78.0 6.0 20.0 10 10
E 893.773387580 72.0 11.0 38.0 10 10
H 893.777174398 75.0 6.0 21.0 10 10
E 893.822388896 66.0 10.0 36.0 10 10
H 893.826174258 73.0 6.0 24.0 10 10
E 893.871510038 62.0 9.0 34.0 10 10
H 893.874924078 69.0 6.0 29.0 10 10
E 893.930195350 56.0 8.0 30.0 10 10
H 893.933609950 65.0 6.0 34.0 10 10
E 893.979100458 52.0 8.0 32.0 10 10
H 894.002618742 60.0 7.0 37.0 10 10
E 894.048201986 48.0 8.0 33.0 10 10
H 894.051529912 54.0 7.0 39.0 10 10
E 894.097220760 43.0 8.0 34.0 10 10
H 894.100642556 48.0 7.0 42.0 10 10
E 894.155909264 39.0 8.0 33.0 10 10
H 894.159426778 40.0 7.0 43.0 10 10
E 894.204911294 35.0 7.0 30.0 10 10
H 894.208327672 33.0 7.0 41.0 10 10
E 894.254013494 31.0 7.0 27.0 10 10
H 894.257430880 27.0 6.0 42.0 10 10
E 894.303034298 28.0 7.0 25.0 10 10
H 894.306545904 21.0 6.0 42.0 10 10
E 894.361718882 26.0 8.0 26.0 10 10
H 894.365236060 14.0 6.0 36.0 10 10
E 894.410821236 23.0 9.0 28.0 10 10
H 894.414239392 9.0 5.0 31.0 10 10
E 894.459726694 20.0 9.0 29.0 10 10
H 894.463242640 5.0 5.0 26.0 10 10
E 894.508843930 17.0 9.0 28.0 10 10
H 894.512255744 4.0 5.0 22.0 10 10
E 894.567621306 15.0 9.0 26.0 10 10
H 894.571038930 3.0 4.0 19.0 10 10
E 894.616535668 14.0 9.0 23.0 10 10
H 894.620044082 3.0 4.0 17.0 10 10
E 894.665661388 12.0 12.0 20.0 10 10
H 894.669537148 3.0 4.0 18.0 10 10
E 894.714783902 12.0 18.0 18.0 10 10
H 894.718561480 3.0 5.0 19.0 10 10
E 894.773344572 12.0 28.0 16.0 10 10
H 894.777319802 3.0 8.0 20.0 10 10
E 894.822347890 14.0 37.0 15.0 10 10
H 894.826364630 4.0 19.0 22.0 10 10
E 894.871350886 17.0 45.0 14.0 10 10
H 894.875371378 4.0 30.0 24.0 10 10
E 894.920470684 21.0 52.0 14.0 10 10
H 894.924391944 4.0 35.0 27.0 10 10
E 894.979156136 27.0 61.0 14.0 10 10
H 895.002753352 4.0 37.0 30.0 10 10
E 895.048157746 33.0 68.0 13.0 10 10
H 895.051663458 4.0 35.0 31.0 10 10
E 895.097157228 40.0 73.0 13.0 10 10
H 895.100663374 4.0 33.0 30.0 10 10
E 895.146279700 46.0 76.0 13.0 10 10
H 895.150061366 5.0 33.0 29.0 10 10
E 895.204964928 55.0 79.0 13.0 10 10
H 895.208556572 5.0 33.0 28.0 10 10
E 895.253966706 62.0 81.0 13.0 10 10
H 895.257560730 5.0 32.0 26.0 10 10
E 895.302969310 68.0 83.0 13.0 10 10
H 895.306561374 5.0 32.0 25.0 10 10
E 895.352090270 75.0 89.0 13.0 10 10
H 895.355871194 5.0 31.0 24.0 10 10
E 895.410774266 82.0 96.0 13.0 10 10
H 895.414368360 5.0 30.0 22.0 10 10
E 895.459776436 88.0 94.0 12.0 10 10
H 895.463371174 5.0 31.0 21.0 10 10
E 895.508778648 93.0 92.0 12.0 10 10
H 895.512372756 5.0 32.0 20.0 10 10
E 895.558451978 99.0 91.0 12.0 10 10
H 895.562042768 8.0 35.0 18.0 10 10
E 895.616685804 104.0 93.0 12.0 10 10
H 895.620562488 13.0 40.0 17.0 10 10
E 895.665687372 108.0 96.0 12.0 10 10
H 895.669467484 18.0 46.0 16.0 10 10
E 895.714687750 112.0 98.0 13.0 10 10
H 895.718467806 24.0 51.0 15.0 10 10
E 895.763808794 116.0 100.0 13.0 10 10
H 895.767661090 31.0 54.0 15.0 10 10
E 895.822490410 120.0 100.0 14.0 10 10
H 895.826449834 40.0 61.0 15.0 10 10
E 895.871395588 122.0 100.0 15.0 10 10
H 895.875550690 50.0 71.0 17.0 10 10
E 895.920397954 122.0 100.0 16.0 10 10
H 895.924450590 61.0 83.0 18.0 10 10
E 895.969517416 122.0 100.0 17.0 10 10
H 895.973372554 73.0 98.0 21.0 10 10
E 896.048299608 122.0 100.0 18.0 10 10
H 896.052166926 85.0 100.0 25.0 10 10
E 896.097204772 122.0 96.0 18.0 10 10
H 896.100796024 94.0 99.0 27.0 10 10
E 896.146206676 122.0 97.0 18.0 10 10
H 896.150177566 99.0 89.0 28.0 10 10
E 896.195326684 122.0 97.0 17.0 10 10
H 896.199102092 99.0 78.0 28.0 10 10
E 896.254012416 122.0 93.0 15.0 10 10
H 896.257887070 98.0 65.0 27.0 10 10
E 896.303013606 122.0 92.0 14.0 10 10
H 896.306885250 98.0 56.0 26.0 10 10
E 896.352011072 122.0 87.0 13.0 10 10
H 896.355884074 98.0 48.0 26.0 10 10
E 896.401136274 122.0 75.0 14.0 10 10
H 896.404908224 97.0 41.0 25.0 10 10
E 896.459821096 122.0 63.0 18.0 10 10
H 896.463696030 97.0 34.0 25.0 10 10
E 896.508823910 121.0 55.0 22.0 10 10
H 896.512696884 97.0 30.0 26.0 10 10
E 896.557825982 121.0 47.0 27.0 10 10
H 896.561700902 97.0 26.0 27.0 10 10
E 896.616746564 120.0 40.0 39.0 10 10
H 896.620519662 96.0 22.0 28.0 10 10
E 896.675532704 118.0 34.0 47.0 10 10
H 896.679401016 96.0 19.0 28.0 10 10
E 896.734232912 113.0 29.0 46.0 10 10
H 896.738301802 96.0 16.0 28.0 10 10
E 896.783235754 109.0 26.0 45.0 10 10
H 896.787200540 93.0 15.0 28.0 10 10
E 896.842154390 103.0 22.0 42.0 10 10
H 896.846017606 90.0 13.0 29.0 10 10
E 896.900943512 98.0 19.0 43.0 10 10
H 896.904816304 86.0 11.0 30.0 10 10
E 896.959745164 91.0 17.0 44.0 10 10
H 896.963624340 82.0 10.0 30.0 10 10
E 897.038547376 85.0 15.0 44.0 10 10
H 897.042331030 78.0 9.0 30.0 10 10
E 897.087668182 79.0 14.0 44.0 10 10
H 897.091352870 74.0 8.0 30.0 10 10
E 897.146252078 72.0 14.0 45.0 10 10
H 897.150233006 69.0 8.0 31.0 10 10
E 897.195252876 66.0 13.0 45.0 10 10
H 897.199231284 65.0 8.0 32.0 10 10
E 897.244256558 60.0 12.0 44.0 10 10
H 897.248238186 61.0 8.0 32.0 10 10
E 897.293376902 55.0 11.0 46.0 10 10
H 897.297253236 56.0 8.0 33.0 10 10
E 897.352062046 48.0 10.0 44.0 10 10
H 897.356038130 50.0 8.0 38.0 10 10
E 897.401063054 43.0 9.0 42.0 10 10
