device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value_0 daq_value_1
E 185.958786542 109.0 100.0 100.0 50 50 -3.06640625 -3.017578125
E 186.076790980 111.0 100.0 78.0 50 50 -3.076171875 -3.0859375
E 186.184595950 112.0 100.0 59.0 50 50 -3.095703125 -3.115234375
E 186.282600584 113.0 98.0 46.0 50 50 -3.0859375 -3.095703125
E 186.390405414 114.0 82.0 36.0 50 50 -3.095703125 -3.0859375
E 186.488409824 113.0 69.0 29.0 50 50 -3.095703125 -3.076171875
E 186.537525786 113.0 65.0 27.0 50 50 -3.095703125 -3.037109375
E 186.645217160 113.0 56.0 24.0 50 50 -3.10546875 -2.998046875
E 186.743335306 113.0 50.0 21.0 50 50 -3.076171875 -2.958984375
E 186.851026344 114.0 45.0 19.0 50 50 -3.076171875 -2.94921875
E 186.949144770 113.0 43.0 17.0 50 50 -3.06640625 -2.919921875
E 187.076835822 112.0 37.0 18.0 50 50 -3.02734375 -2.8125
E 187.174954164 110.0 34.0 28.0 50 50 -2.939453125 -2.51953125
E 187.282645146 108.0 32.0 59.0 50 50 -2.890625 -2.236328125
E 187.381316768 105.0 32.0 95.0 50 50 -2.880859375 -2.40234375
E 187.488454554 93.0 33.0 100.0 50 50 -2.890625 -2.51953125
E 187.537456878 88.0 33.0 100.0 50 50 -2.880859375 -2.568359375
E 187.645261806 76.0 32.0 100.0 50 50 -2.802734375 -2.724609375
E 187.743266440 66.0 32.0 100.0 50 50 -2.734375 -2.841796875
E 187.851071242 55.0 34.0 100.0 50 50 -2.734375 -2.87109375
E 187.949075820 46.0 35.0 100.0 50 50 -2.666015625 -2.880859375
E 188.076880734 37.0 37.0 100.0 50 50 -2.646484375 -2.9296875
E 188.174885046 30.0 39.0 100.0 50 50 -2.685546875 -2.978515625
E 188.282690072 27.0 44.0 92.0 50 50 -2.71484375 -2.98828125
E 188.380694566 27.0 50.0 79.0 50 50 -2.802734375 -3.0078125
E 188.429810458 27.0 53.0 73.0 50 50 -2.802734375 -2.998046875
E 188.488499354 27.0 55.0 66.0 50 50 -2.734375 -2.998046875
E 188.586503876 27.0 54.0 53.0 50 50 -2.734375 -3.0078125
E 188.694309014 27.0 67.0 46.0 50 50 -2.75390625 -3.0078125
E 188.792313438 27.0 66.0 41.0 50 50 -2.734375 -3.0078125
E 188.841429470 28.0 66.0 39.0 50 50 -2.734375 -3.017578125
E 188.949120494 28.0 64.0 41.0 50 50 -2.71484375 -3.017578125
E 189.067238654 28.0 76.0 42.0 50 50 -2.6953125 -3.02734375
E 189.174930014 27.0 85.0 38.0 50 50 -2.705078125 -3.037109375
E 189.273048454 29.0 94.0 35.0 50 50 -2.71484375 -3.056640625
E 189.331737000 33.0 99.0 33.0 50 50 -2.763671875 -3.076171875
E 189.429741424 40.0 100.0 31.0 50 50 -3.095703125 -3.076171875
E 189.537546450 49.0 100.0 28.0 50 50 -3.271484375 -3.10546875
E 189.635550916 58.0 100.0 25.0 50 50 -2.9296875 -3.134765625
E 189.743355858 68.0 100.0 23.0 50 50 -2.978515625 -3.1640625
E 189.841360338 79.0 100.0 20.0 50 50 -3.037109375 -3.1640625
E 189.949165308 90.0 100.0 19.0 50 50 -3.056640625 -3.173828125
E 190.067169718 99.0 100.0 19.0 50 50 -3.095703125 -3.154296875
E 190.174974548 108.0 100.0 19.0 50 50 -3.0859375 -3.056640625
E 190.322096670 117.0 81.0 17.0 50 50 -3.046875 -3.037109375
E 190.429786490 119.0 72.0 16.0 50 50 -3.017578125 -2.98828125
E 190.527906274 119.0 63.0 14.0 50 50 -3.046875 -2.998046875
E 190.684598054 117.0 55.0 13.0 50 50 -3.06640625 -2.978515625
E 190.792402730 117.0 53.0 14.0 50 50 -3.046875 -3.0078125
E 190.890407308 117.0 51.0 14.0 50 50 -3.06640625 -3.037109375
E 191.018212278 117.0 47.0 13.0 50 50 -3.06640625 -2.998046875
E 191.116216800 117.0 42.0 12.0 50 50 -3.076171875 -2.98828125
E 191.224021742 117.0 38.0 12.0 50 50 -3.095703125 -2.958984375
E 191.322026138 117.0 36.0 12.0 50 50 -3.0859375 -2.94921875
E 191.429831066 117.0 35.0 11.0 50 50 -3.0859375 -2.958984375
E 191.527835574 117.0 32.0 10.0 50 50 -3.0859375 -2.94921875
E 191.635640502 117.0 33.0 10.0 50 50 -3.0859375 -2.94921875
E 191.733644898 117.0 34.0 10.0 50 50 -3.095703125 -2.939453125
E 191.841450008 117.0 32.0 9.0 50 50 -3.0859375 -2.94921875
E 191.939454306 117.0 33.0 9.0 50 50 -3.0859375 -2.939453125
E 192.067259262 117.0 31.0 9.0 50 50 -3.0859375 -2.9296875
E 192.214381328 117.0 29.0 9.0 50 50 -3.095703125 -2.919921875
E 192.322070924 117.0 29.0 10.0 50 50 -3.095703125 -2.919921875
E 192.420189294 117.0 29.0 10.0 50 50 -3.0859375 -2.91015625
E 192.576882698 117.0 29.0 9.0 50 50 -3.0859375 -2.91015625
E 192.684687444 117.0 29.0 10.0 50 50 -3.095703125 -2.91015625
E 192.782692092 117.0 29.0 10.0 50 50 -3.095703125 -2.91015625
E 192.890496894 117.0 29.0 9.0 50 50 -3.095703125 -2.91015625
E 193.008501360 117.0 28.0 9.0 50 50 -3.095703125 -2.919921875
E 193.057617434 116.0 27.0 9.0 50 50 -3.095703125 -2.91015625
E 193.165308570 117.0 26.0 10.0 50 50 -3.0859375 -2.91015625
E 193.263426912 116.0 25.0 9.0 50 50 -3.095703125 -2.91015625
E 193.371118020 117.0 25.0 9.0 50 50 -3.095703125 -2.91015625
E 193.420120260 117.0 26.0 9.0 50 50 -3.095703125 -2.91015625
E 193.527925076 117.0 25.0 8.0 50 50 -3.095703125 -2.91015625
E 193.625930004 117.0 26.0 8.0 50 50 -3.095703125 -2.919921875
E 193.733734498 117.0 25.0 9.0 50 50 -3.10546875 -2.919921875
E 193.831739006 117.0 25.0 9.0 50 50 -3.10546875 -2.919921875
E 193.939543962 117.0 26.0 9.0 50 50 -3.10546875 -2.919921875
E 194.106663578 117.0 25.0 9.0 50 50 -3.10546875 -2.91015625
E 194.165353370 117.0 25.0 9.0 50 50 -3.10546875 -2.91015625
E 201.714491918 116.0 33.0 9.0 50 45 -3.076171875 -2.939453125
E 201.763494270 116.0 32.0 9.0 50 45 -3.076171875 -2.94921875
E 201.920301480 116.0 28.0 8.0 50 45 -3.06640625 -2.91015625
E 202.038305834 116.0 26.0 8.0 50 45 -3.06640625 -2.919921875
E 202.087976826 116.0 25.0 9.0 50 45 -3.076171875 -2.919921875
E 202.195113128 116.0 23.0 9.0 50 45 -3.06640625 -2.880859375
E 202.293232898 116.0 22.0 9.0 50 45 -3.02734375 -2.783203125
E 202.400922382 114.0 21.0 12.0 50 45 -2.998046875 -2.59765625
E 202.499042278 113.0 21.0 23.0 50 45 -2.939453125 -2.353515625
E 202.557729480 112.0 21.0 32.0 50 45 -2.91015625 -2.20703125
E 202.655734142 110.0 20.0 49.0 50 45 -2.861328125 -2.060546875
E 202.704851686 109.0 20.0 61.0 50 45 -2.861328125 -2.20703125
E 202.812541142 102.0 22.0 92.0 50 45 -2.9296875 -2.36328125
E 202.910661094 88.0 24.0 100.0 50 45 -2.87109375 -2.65625
E 203.038350634 73.0 24.0 100.0 50 45 -2.8125 -2.802734375
E 203.136470334 61.0 28.0 100.0 50 45 -2.734375 -2.998046875
E 203.244160112 48.0 33.0 100.0 50 45 -2.87109375 -2.978515625
E 203.342279784 39.0 36.0 100.0 50 45 -2.67578125 -2.98828125
E 203.449969380 30.0 37.0 100.0 50 45 -2.67578125 -2.978515625
E 203.606776548 22.0 45.0 100.0 50 45 -2.705078125 -2.96875
E 203.704781098 19.0 50.0 100.0 50 45 -2.744140625 -2.94921875
E 203.812585998 18.0 54.0 100.0 50 45 -2.763671875 -2.978515625
E 203.910590450 18.0 56.0 98.0 50 45 -2.763671875 -2.998046875
E 204.038395406 19.0 53.0 88.0 50 45 -2.763671875 -2.998046875
E 204.136400012 19.0 53.0 77.0 50 45 -2.763671875 -3.0078125
E 204.244204800 20.0 53.0 66.0 50 45 -2.763671875 -2.998046875
E 204.342209126 20.0 55.0 57.0 50 45 -2.763671875 -2.998046875
E 204.391325452 20.0 57.0 53.0 50 45 -2.75390625 -3.0078125
E 204.548018618 21.0 76.0 49.0 50 45 -2.75390625 -3.0078125
E 204.597134790 21.0 86.0 47.0 50 45 -2.763671875 -3.076171875
E 204.704825954 22.0 97.0 40.0 50 45 -2.783203125 -3.0859375
E 204.802944366 29.0 100.0 35.0 50 45 -2.75390625 -3.095703125
E 204.861633010 34.0 100.0 32.0 50 45 -2.802734375 -3.134765625
E 204.959637504 43.0 100.0 27.0 50 45 -3.271484375 -3.1640625
E 205.087442418 55.0 100.0 24.0 50 45 -2.94921875 -3.173828125
E 205.185446828 66.0 100.0 21.0 50 45 -2.998046875 -3.193359375
E 205.293251798 80.0 100.0 19.0 50 45 -3.212890625 -3.18359375
E 205.391256446 91.0 100.0 18.0 50 45 -3.095703125 -3.193359375
E 205.499061178 103.0 100.0 17.0 50 45 -3.115234375 -3.154296875
E 205.597065658 111.0 100.0 16.0 50 45 -3.095703125 -3.046875
E 205.704870558 119.0 92.0 15.0 50 45 -3.037109375 -2.96875
E 205.802875080 122.0 80.0 15.0 50 45 -3.017578125 -2.94921875
E 205.851991420 122.0 73.0 15.0 50 45 -3.017578125 -2.900390625
E 205.959682332 122.0 60.0 13.0 50 45 -3.046875 -2.91015625
E 206.077800744 119.0 54.0 13.0 50 45 -3.056640625 -2.978515625
E 206.185491796 118.0 50.0 13.0 50 45 -3.056640625 -2.978515625
E 206.284161948 119.0 49.0 13.0 50 45 -3.06640625 -2.94921875
E 206.342298824 118.0 47.0 13.0 50 45 -3.0859375 -2.919921875
E 206.489417698 118.0 41.0 12.0 50 45 -3.0859375 -2.8515625
E 206.646112796 118.0 37.0 11.0 50 45 -3.0859375 -2.83203125
E 206.695227176 118.0 36.0 11.0 50 45 -3.095703125 -2.83203125
E 206.802919964 118.0 32.0 10.0 50 45 -3.0859375 -2.841796875
E 206.901036724 118.0 30.0 10.0 50 45 -3.095703125 -2.841796875
E 207.028729302 118.0 28.0 10.0 50 45 -3.095703125 -2.841796875
E 207.126845880 118.0 26.0 9.0 50 45 -3.095703125 -2.841796875
