3.0 100.0 100.0 65.0 65.0 50.0 1.67 20.0 1.0 0.0 0.0 1.0 10.0 1000.0 50.0
3.0 100.0 100.0 65.0 65.0 60.0 1.67 20.0 1.0 0.0 0.0 1.0 10.0 1000.0 50.0
E 41.613880876 7 18 7 18 20 156 0
H 41.617398698 18 71 18 71 15 156 0
E 41.672568190 8 24 8 24 21 156 0
H 41.675892896 20 86 20 86 29 156 0
E 41.721570528 8 28 8 28 23 156 0
H 41.724895696 20 96 20 96 42 156 0
E 41.770572936 8 33 8 33 26 156 0
H 41.773898566 21 96 21 96 54 156 0
E 41.819690368 8 38 8 38 29 156 0
H 41.823207280 22 89 22 89 66 156 0
E 41.878377850 8 44 8 44 34 156 0
H 41.881702556 24 84 24 84 78 156 0
E 41.927380034 9 51 9 51 38 156 0
H 41.930705048 26 80 26 80 86 156 0
E 41.976382176 9 59 9 59 43 156 0
H 41.979708100 27 77 27 77 95 156 0
E 42.045499832 10 65 10 65 49 156 0
H 42.049009674 28 77 28 77 97 156 0
E 42.104187104 11 70 11 70 57 156 0
H 42.107883874 28 80 28 80 96 156 0
E 42.153189498 12 74 12 74 64 156 0
H 42.156888550 28 78 28 78 96 156 0
E 42.202191640 14 82 14 82 71 156 0
H 42.205889936 29 70 29 70 96 156 0
E 42.251309212 14 88 14 88 77 156 0
H 42.254812530 30 63 30 63 96 156 0
E 42.309996400 14 89 14 89 84 316 0
H 42.313690314 30 55 30 55 96 316 0
E 42.358998766 14 88 14 88 90 316 0
H 42.362793158 31 48 31 48 96 316 0
E 42.408001132 15 86 15 86 95 316 0
H 42.411794516 32 42 32 42 96 316 0
E 42.457118648 16 84 16 84 100 316 0
H 42.460708304 33 38 33 38 96 316 0
E 42.515806074 17 80 17 80 106 316 0
H 42.519518706 36 33 36 33 96 316 0
E 42.564808258 17 80 17 80 110 316 0
H 42.568618316 38 31 38 31 96 316 0
E 42.613810302 18 82 18 82 114 316 0
H 42.617594404 40 29 40 29 95 316 0
E 42.662927440 19 85 19 85 118 316 0
H 42.666614298 42 28 42 28 93 316 0
E 42.721615524 21 87 21 87 121 316 0
H 42.725302802 44 27 44 27 90 316 0
E 42.770617470 22 84 22 84 121 316 0
H 42.774304188 47 25 47 25 87 316 0
E 42.819619878 24 79 24 79 121 316 0
H 42.823306862 52 25 52 25 83 316 0
E 42.868737478 24 79 24 79 121 316 0
H 42.872327386 57 24 57 24 78 316 0
E 42.927424722 21 76 21 76 121 316 0
H 42.931214074 58 23 58 23 71 316 0
E 42.976427228 19 68 19 68 121 316 0
H 43.000115570 55 21 55 21 66 316 0
E 43.045429230 18 61 18 61 121 316 0
H 43.049123718 52 19 52 19 60 316 0
E 43.094547012 20 54 20 54 121 316 0
H 43.098143752 49 18 49 18 54 316 0
E 43.153234116 23 45 23 45 121 316 0
H 43.156921716 45 17 45 17 48 316 0
E 43.202236230 24 39 24 39 121 316 0
H 43.205921394 42 15 42 15 43 316 0
E 43.251238680 25 34 25 34 120 316 0
H 43.255046820 37 14 37 14 39 316 0
E 43.300908776 26 30 26 30 118 316 0
H 43.304496458 33 13 33 13 35 316 0
E 43.359043692 26 27 26 27 116 1119 0
H 43.362819492 29 11 29 11 32 1119 0
E 43.408045764 27 24 27 24 114 1119 0
H 43.411722150 27 10 27 10 29 1119 0
E 43.457048116 30 21 30 21 113 1119 0
H 43.460873616 26 10 26 10 27 1119 0
E 43.506165604 35 19 35 19 111 1119 0
H 43.509840226 25 9 25 9 25 1119 0
E 43.564852890 38 17 38 17 106 1119 0
H 43.568531502 25 8 25 8 23 1119 0
E 43.613855200 36 15 36 15 101 1119 0
H 43.617634850 24 8 24 8 21 1119 0
E 43.662857440 35 14 35 14 96 1119 0
H 43.666642746 23 8 23 8 19 1119 0
E 43.711974830 37 13 37 13 91 1119 0
H 43.715665650 23 7 23 7 17 1119 0
E 43.770662326 38 12 38 12 85 1119 0
H 43.774349254 25 7 25 7 14 1119 0
E 43.819664650 39 11 39 11 80 1119 0
H 43.823351984 28 7 28 7 12 1119 0
E 43.868666848 39 10 39 10 75 1119 0
H 43.872354896 30 7 30 7 9 1119 0
E 43.917783860 40 10 40 10 69 1119 0
H 43.921373264 36 7 36 7 5 1119 0
E 43.976471860 43 11 43 11 63 1119 0
H 44.000261506 46 7 46 7 3 1119 0
E 44.045474002 43 11 43 11 57 1119 0
H 44.049268058 49 7 49 7 3 1119 0
E 44.094476200 42 10 42 10 52 1119 0
H 44.098268058 49 7 49 7 3 1119 0
E 44.143591658 43 10 43 10 47 1119 0
H 44.147181454 49 7 49 7 3 1119 0
E 44.202281170 43 10 43 10 41 1119 0
H 44.205966768 48 7 48 7 3 1119 0
E 44.251283284 43 9 43 9 36 1119 0
H 44.254694496 47 7 47 7 3 1119 0
E 44.300285580 44 9 44 9 31 1119 0
H 44.303697170 46 6 46 7 3 1119 0
E 44.349400464 43 8 43 8 26 1119 0
H 44.353008866 40 6 40 6 3 1119 0
E 44.408090564 41 8 41 8 21 188 0
H 44.411414332 34 6 34 6 3 188 0
E 44.457092874 41 8 41 8 17 188 0
H 44.460414906 30 6 30 6 3 188 0
E 44.506095114 42 9 42 9 13 188 0
H 44.509418882 26 5 26 5 3 188 0
E 44.555210810 45 11 45 11 9 188 0
H 44.558818890 23 5 23 5 3 188 0
E 44.613900042 49 12 49 12 5 188 0
H 44.617313018 19 5 19 5 3 188 0
E 44.662902142 49 11 49 11 3 188 0
H 44.666315118 17 5 17 5 3 188 0
E 44.711904508 49 12 49 12 3 188 0
H 44.715315090 16 5 16 5 3 188 0
E 44.761020050 48 12 48 12 3 188 0
H 44.764628396 15 5 15 5 3 188 0
E 44.819709492 43 12 43 12 4 188 0
H 44.823122818 16 6 16 6 3 188 0
E 44.868711732 38 14 38 14 3 188 0
H 44.872122454 17 11 17 11 3 188 0
E 44.917713790 33 21 33 21 3 188 0
H 44.921127396 19 27 19 26 3 188 0
E 44.966829276 29 31 29 31 4 188 0
H 44.970438686 23 47 23 47 5 188 0
E 45.045518760 26 45 26 45 5 188 0
H 45.048844474 28 60 28 60 11 188 0
E 45.094521042 24 52 24 52 8 188 0
H 45.097845146 31 65 31 65 18 188 0
E 45.143523296 21 55 21 55 12 188 0
H 45.147217560 32 71 32 71 26 188 0
E 45.192639202 19 60 19 60 17 188 0
H 45.196237678 31 74 31 74 34 188 0
E 45.251332312 18 65 18 65 23 188 0
H 45.255024420 30 74 30 74 46 188 0
E 45.300334482 17 69 17 69 29 188 0
H 45.304026436 30 77 30 77 55 188 0
E 45.349336848 16 74 16 74 36 188 0
H 45.353029474 29 79 29 79 65 188 0
E 45.399005054 15 76 15 76 43 188 0
H 45.402505908 29 78 29 78 74 188 0
E 45.457137534 14 81 14 81 51 267 0
H 45.461027504 30 80 30 80 84 267 0
E 45.506139802 14 87 14 87 58 267 0
H 45.510030794 30 80 30 80 91 267 0
E 45.555142182 14 93 14 93 65 267 0
H 45.559020350 30 77 30 77 97 267 0
E 45.604257528 14 95 14 95 71 267 0
H 45.607944568 30 72 30 72 97 267 0
E 45.662947012 14 96 14 96 79 267 0
H 45.666729518 31 64 31 64 97 267 0
E 45.711949266 14 97 14 97 84 267 0
H 45.715731450 33 58 33 58 97 267 0
E 45.760951464 14 96 14 96 90 267 0
H 45.764765036 33 54 33 54 96 267 0
E 45.810066936 14 93 14 93 94 267 0
H 45.813784678 34 49 34 49 96 267 0
E 45.868756294 15 88 15 88 100 267 0
H 45.872567990 35 42 35 42 96 267 0
E 45.917758702 16 83 16 83 104 267 0
H 45.921569278 37 38 37 38 96 267 0
E 45.966760914 16 79 16 79 108 267 0
H 45.970668300 38 35 38 35 96 267 0
E 46.035875420 16 76 16 76 112 267 0
H 46.039597124 38 31 38 31 96 267 0
E 46.094565716 17 73 17 73 117 267 0
H 46.098355838 39 28 39 28 96 267 0
