device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T
E 971.082483170 63.0 3.0 7.0 30 30
H 971.085633170 6.0 5.0 8.0 30 30
E 971.140978348 63.0 3.0 7.0 30 30
H 971.144698512 6.0 8.0 14.0 30 30
E 971.189980532 63.0 3.0 6.0 30 30
H 971.193688810 6.0 11.0 19.0 30 30
E 971.238982898 63.0 3.0 6.0 30 30
H 971.242418876 6.0 15.0 22.0 30 30
E 971.288292676 63.0 5.0 6.0 30 30
H 971.291534208 6.0 21.0 25.0 30 30
E 971.346787756 63.0 8.0 6.0 30 30
H 971.350224098 6.0 29.0 33.0 30 30
E 971.395790038 65.0 14.0 7.0 30 30
H 971.399674730 6.0 39.0 38.0 30 30
E 971.444792320 66.0 19.0 7.0 30 30
H 971.448674282 6.0 50.0 44.0 30 30
E 971.494102140 68.0 23.0 8.0 30 30
H 971.497519680 6.0 57.0 49.0 30 30
E 971.552597150 70.0 28.0 8.0 30 30
H 971.556211684 6.0 64.0 52.0 30 30
E 971.601599348 71.0 31.0 9.0 30 30
H 971.605212328 6.0 68.0 57.0 30 30
E 971.650601658 72.0 35.0 9.0 30 30
H 971.654494008 6.0 68.0 61.0 30 30
E 971.699910148 73.0 38.0 10.0 30 30
H 971.703883138 6.0 70.0 70.0 30 30
E 971.758406474 74.0 40.0 10.0 30 30
H 971.762336666 6.0 75.0 79.0 30 30
E 971.807408868 76.0 44.0 11.0 30 30
H 971.811337198 6.0 79.0 79.0 30 30
E 971.856411080 81.0 47.0 11.0 30 30
H 971.860337156 6.0 81.0 81.0 30 30
E 971.905720564 85.0 50.0 11.0 30 30
H 971.909750534 6.0 81.0 81.0 30 30
E 971.964216078 90.0 52.0 11.0 30 30
H 971.968146998 6.0 78.0 80.0 30 30
E 972.033218192 95.0 54.0 12.0 30 30
H 972.037059652 6.0 73.0 76.0 30 30
E 972.082220684 99.0 55.0 12.0 30 30
H 972.085918616 6.0 69.0 76.0 30 30
E 972.131527452 103.0 55.0 12.0 30 30
H 972.135209270 6.0 66.0 77.0 30 30
E 972.190025360 107.0 57.0 12.0 30 30
H 972.193901848 6.0 66.0 80.0 30 30
E 972.239027768 110.0 60.0 12.0 30 30
H 972.243006260 6.0 66.0 83.0 30 30
E 972.288030092 113.0 64.0 13.0 30 30
H 972.292008668 6.0 66.0 82.0 30 30
E 972.337440796 115.0 68.0 13.0 30 30
H 972.341319020 6.0 67.0 79.0 30 30
E 972.395835076 117.0 69.0 13.0 30 30
H 972.399814380 6.0 65.0 78.0 30 30
E 972.444836910 119.0 66.0 13.0 30 30
H 972.448816522 6.0 63.0 78.0 30 30
E 972.493839290 120.0 60.0 12.0 30 30
H 972.497818090 6.0 62.0 81.0 30 30
E 972.543249630 120.0 54.0 13.0 30 30
H 972.547121960 6.0 60.0 85.0 30 30
E 972.601644428 120.0 49.0 18.0 30 30
H 972.605623074 6.0 56.0 87.0 30 30
E 972.650646374 119.0 44.0 27.0 30 30
H 972.654650640 6.0 54.0 88.0 30 30
E 972.699648586 117.0 41.0 36.0 30 30
H 972.703667916 6.0 52.0 86.0 30 30
E 972.749656320 114.0 37.0 46.0 30 30
H 972.753335450 6.0 51.0 84.0 30 30
E 972.807453626 112.0 34.0 62.0 30 30
H 972.811425020 6.0 49.0 80.0 30 30
E 972.856455950 108.0 32.0 76.0 30 30
H 972.860458284 6.0 48.0 78.0 30 30
E 972.905458008 103.0 30.0 85.0 30 30
H 972.909457808 6.0 48.0 78.0 30 30
E 972.954767576 97.0 29.0 90.0 30 30
H 972.958457416 6.0 47.0 77.0 30 30
E 973.033263244 88.0 28.0 93.0 30 30
H 973.037055578 6.0 45.0 76.0 30 30
E 973.082265106 81.0 27.0 95.0 30 30
H 973.085961498 6.0 44.0 76.0 30 30
E 973.131267528 73.0 27.0 98.0 30 30
H 973.135056936 6.0 45.0 76.0 30 30
E 973.180675166 65.0 26.0 100.0 30 30
H 973.184541056 6.0 45.0 78.0 30 30
E 973.239072456 56.0 26.0 100.0 30 30
H 973.243327378 6.0 46.0 85.0 30 30
E 973.288074696 48.0 26.0 100.0 30 30
H 973.292329450 6.0 49.0 89.0 30 30
E 973.337076978 41.0 27.0 100.0 30 30
H 973.341331942 5.0 52.0 95.0 30 30
E 973.386386672 34.0 29.0 100.0 30 30
H 973.390351864 5.0 53.0 100.0 30 30
E 973.444881948 27.0 33.0 100.0 30 30
H 973.448844466 5.0 54.0 100.0 30 30
E 973.503684552 21.0 34.0 100.0 30 30
H 973.507646426 5.0 56.0 100.0 30 30
E 973.562487198 15.0 34.0 100.0 30 30
H 973.566450052 5.0 56.0 100.0 30 30
E 973.621403244 10.0 37.0 97.0 30 30
H 973.625190342 5.0 57.0 100.0 30 30
E 973.680092490 5.0 40.0 94.0 30 30
H 973.683909744 5.0 60.0 100.0 30 30
E 973.729094814 4.0 42.0 88.0 30 30
H 973.732911914 5.0 63.0 100.0 30 30
E 973.778097110 4.0 44.0 79.0 30 30
H 973.781913398 5.0 64.0 100.0 30 30
E 973.827212554 5.0 47.0 70.0 30 30
H 973.831042688 5.0 61.0 100.0 30 30
E 973.885902220 7.0 46.0 61.0 30 30
H 973.889733558 5.0 57.0 100.0 30 30
E 973.934904180 9.0 46.0 54.0 30 30
H 973.938405986 5.0 55.0 100.0 30 30
E 974.003906364 10.0 50.0 49.0 30 30
H 974.007318528 5.0 56.0 100.0 30 30
E 974.053023586 12.0 53.0 44.0 30 30
