device_type time pose Biceps_effort Triceps_effort Biceps_E_T Triceps_E_T
E 41.613880876 20.0 18.0 7.0 10 10
H 41.617398698 15.0 71.0 18.0 10 10
E 41.672568190 21.0 24.0 8.0 10 10
H 41.675892896 29.0 86.0 20.0 10 10
E 41.721570528 23.0 28.0 8.0 10 10
H 41.724895696 42.0 96.0 20.0 10 10
E 41.770572936 26.0 33.0 8.0 10 10
H 41.773898566 54.0 96.0 21.0 10 10
E 41.819690368 29.0 38.0 8.0 10 10
H 41.823207280 66.0 89.0 22.0 10 10
E 41.878377850 34.0 44.0 8.0 10 10
H 41.881702556 78.0 84.0 24.0 10 10
E 41.927380034 38.0 51.0 9.0 10 10
H 41.930705048 86.0 80.0 26.0 10 10
E 41.976382176 43.0 59.0 9.0 10 10
H 41.979708100 95.0 77.0 27.0 10 10
E 42.045499832 49.0 65.0 10.0 10 10
H 42.049009674 97.0 77.0 28.0 10 10
E 42.104187104 57.0 70.0 11.0 10 10
H 42.107883874 96.0 80.0 28.0 10 10
E 42.153189498 64.0 74.0 12.0 10 10
H 42.156888550 96.0 78.0 28.0 10 10
E 42.202191640 71.0 82.0 14.0 10 10
H 42.205889936 96.0 70.0 29.0 10 10
E 42.251309212 77.0 88.0 14.0 10 10
H 42.254812530 96.0 63.0 30.0 10 10
E 42.309996400 84.0 89.0 14.0 10 10
H 42.313690314 96.0 55.0 30.0 10 10
E 42.358998766 90.0 88.0 14.0 10 10
H 42.362793158 96.0 48.0 31.0 10 10
E 42.408001132 95.0 86.0 15.0 10 10
H 42.411794516 96.0 42.0 32.0 10 10
E 42.457118648 100.0 84.0 16.0 10 10
H 42.460708304 96.0 38.0 33.0 10 10
E 42.515806074 106.0 80.0 17.0 10 10
H 42.519518706 96.0 33.0 36.0 10 10
E 42.564808258 110.0 80.0 17.0 10 10
H 42.568618316 96.0 31.0 38.0 10 10
E 42.613810302 114.0 82.0 18.0 10 10
H 42.617594404 95.0 29.0 40.0 10 10
E 42.662927440 118.0 85.0 19.0 10 10
H 42.666614298 93.0 28.0 42.0 10 10
E 42.721615524 121.0 87.0 21.0 10 10
H 42.725302802 90.0 27.0 44.0 10 10
E 42.770617470 121.0 84.0 22.0 10 10
H 42.774304188 87.0 25.0 47.0 10 10
E 42.819619878 121.0 79.0 24.0 10 10
H 42.823306862 83.0 25.0 52.0 10 10
E 42.868737478 121.0 79.0 24.0 10 10
H 42.872327386 78.0 24.0 57.0 10 10
E 42.927424722 121.0 76.0 21.0 10 10
H 42.931214074 71.0 23.0 58.0 10 10
E 42.976427228 121.0 68.0 19.0 10 10
H 43.000115570 66.0 21.0 55.0 10 10
E 43.045429230 121.0 61.0 18.0 10 10
H 43.049123718 60.0 19.0 52.0 10 10
E 43.094547012 121.0 54.0 20.0 10 10
H 43.098143752 54.0 18.0 49.0 10 10
E 43.153234116 121.0 45.0 23.0 10 10
H 43.156921716 48.0 17.0 45.0 10 10
E 43.202236230 121.0 39.0 24.0 10 10
H 43.205921394 43.0 15.0 42.0 10 10
E 43.251238680 120.0 34.0 25.0 10 10
H 43.255046820 39.0 14.0 37.0 10 10
E 43.300908776 118.0 30.0 26.0 10 10
H 43.304496458 35.0 13.0 33.0 10 10
E 43.359043692 116.0 27.0 26.0 10 10
H 43.362819492 32.0 11.0 29.0 10 10
E 43.408045764 114.0 24.0 27.0 10 10
H 43.411722150 29.0 10.0 27.0 10 10
E 43.457048116 113.0 21.0 30.0 10 10
H 43.460873616 27.0 10.0 26.0 10 10
E 43.506165604 111.0 19.0 35.0 10 10
H 43.509840226 25.0 9.0 25.0 10 10
E 43.564852890 106.0 17.0 38.0 10 10
H 43.568531502 23.0 8.0 25.0 10 10
E 43.613855200 101.0 15.0 36.0 10 10
H 43.617634850 21.0 8.0 24.0 10 10
E 43.662857440 96.0 14.0 35.0 10 10
H 43.666642746 19.0 8.0 23.0 10 10
E 43.711974830 91.0 13.0 37.0 10 10
H 43.715665650 17.0 7.0 23.0 10 10
E 43.770662326 85.0 12.0 38.0 10 10
H 43.774349254 14.0 7.0 25.0 10 10
E 43.819664650 80.0 11.0 39.0 10 10
H 43.823351984 12.0 7.0 28.0 10 10
E 43.868666848 75.0 10.0 39.0 10 10
H 43.872354896 9.0 7.0 30.0 10 10
E 43.917783860 69.0 10.0 40.0 10 10
H 43.921373264 5.0 7.0 36.0 10 10
E 43.976471860 63.0 11.0 43.0 10 10
H 44.000261506 3.0 7.0 46.0 10 10
E 44.045474002 57.0 11.0 43.0 10 10
H 44.049268058 3.0 7.0 49.0 10 10
E 44.094476200 52.0 10.0 42.0 10 10
H 44.098268058 3.0 7.0 49.0 10 10
E 44.143591658 47.0 10.0 43.0 10 10
H 44.147181454 3.0 7.0 49.0 10 10
E 44.202281170 41.0 10.0 43.0 10 10
H 44.205966768 3.0 7.0 48.0 10 10
E 44.251283284 36.0 9.0 43.0 10 10
H 44.254694496 3.0 7.0 47.0 10 10
E 44.300285580 31.0 9.0 44.0 10 10
H 44.303697170 3.0 7.0 46.0 10 10
E 44.349400464 26.0 8.0 43.0 10 10
H 44.353008866 3.0 6.0 40.0 10 10
E 44.408090564 21.0 8.0 41.0 10 10
H 44.411414332 3.0 6.0 34.0 10 10
E 44.457092874 17.0 8.0 41.0 10 10
H 44.460414906 3.0 6.0 30.0 10 10
E 44.506095114 13.0 9.0 42.0 10 10
H 44.509418882 3.0 5.0 26.0 10 10
E 44.555210810 9.0 11.0 45.0 10 10
H 44.558818890 3.0 5.0 23.0 10 10
E 44.613900042 5.0 12.0 49.0 10 10
H 44.617313018 3.0 5.0 19.0 10 10
E 44.662902142 3.0 11.0 49.0 10 10
H 44.666315118 3.0 5.0 17.0 10 10
E 44.711904508 3.0 12.0 49.0 10 10
H 44.715315090 3.0 5.0 16.0 10 10
E 44.761020050 3.0 12.0 48.0 10 10
H 44.764628396 3.0 5.0 15.0 10 10
E 44.819709492 4.0 12.0 43.0 10 10
H 44.823122818 3.0 6.0 16.0 10 10
E 44.868711732 3.0 14.0 38.0 10 10
H 44.872122454 3.0 11.0 17.0 10 10
E 44.917713790 3.0 21.0 33.0 10 10
H 44.921127396 3.0 26.0 19.0 10 10
E 44.966829276 4.0 31.0 29.0 10 10
H 44.970438686 5.0 47.0 23.0 10 10
E 45.045518760 5.0 45.0 26.0 10 10
H 45.048844474 11.0 60.0 28.0 10 10
E 45.094521042 8.0 52.0 24.0 10 10
H 45.097845146 18.0 65.0 31.0 10 10
E 45.143523296 12.0 55.0 21.0 10 10
H 45.147217560 26.0 71.0 32.0 10 10
E 45.192639202 17.0 60.0 19.0 10 10
H 45.196237678 34.0 74.0 31.0 10 10
E 45.251332312 23.0 65.0 18.0 10 10
H 45.255024420 46.0 74.0 30.0 10 10
E 45.300334482 29.0 69.0 17.0 10 10
H 45.304026436 55.0 77.0 30.0 10 10
E 45.349336848 36.0 74.0 16.0 10 10
H 45.353029474 65.0 79.0 29.0 10 10
E 45.399005054 43.0 76.0 15.0 10 10
H 45.402505908 74.0 78.0 29.0 10 10
E 45.457137534 51.0 81.0 14.0 10 10
H 45.461027504 84.0 80.0 30.0 10 10
E 45.506139802 58.0 87.0 14.0 10 10
H 45.510030794 91.0 80.0 30.0 10 10
E 45.555142182 65.0 93.0 14.0 10 10
H 45.559020350 97.0 77.0 30.0 10 10
E 45.604257528 71.0 95.0 14.0 10 10
H 45.607944568 97.0 72.0 30.0 10 10
E 45.662947012 79.0 96.0 14.0 10 10
H 45.666729518 97.0 64.0 31.0 10 10
E 45.711949266 84.0 97.0 14.0 10 10
H 45.715731450 97.0 58.0 33.0 10 10
E 45.760951464 90.0 96.0 14.0 10 10
H 45.764765036 96.0 54.0 33.0 10 10
E 45.810066936 94.0 93.0 14.0 10 10
H 45.813784678 96.0 49.0 34.0 10 10
E 45.868756294 100.0 88.0 15.0 10 10
H 45.872567990 96.0 42.0 35.0 10 10
E 45.917758702 104.0 83.0 16.0 10 10
H 45.921569278 96.0 38.0 37.0 10 10
E 45.966760914 108.0 79.0 16.0 10 10
H 45.970668300 96.0 35.0 38.0 10 10
E 46.035875420 112.0 76.0 16.0 10 10
H 46.039597124 96.0 31.0 38.0 10 10
E 46.094565716 117.0 73.0 17.0 10 10
H 46.098355838 96.0 28.0 39.0 10 10
E 46.143568152 119.0 72.0 18.0 10 10
H 46.147350952 94.0 25.0 39.0 10 10
E 46.192570392 122.0 70.0 19.0 10 10
H 46.196353822 91.0 23.0 40.0 10 10
E 46.241684744 122.0 66.0 18.0 10 10
H 46.245275324 88.0 21.0 40.0 10 10
E 46.300375278 122.0 62.0 19.0 10 10
H 46.304157294 83.0 20.0 41.0 10 10
E 46.349377462 122.0 58.0 19.0 10 10
H 46.353062346 79.0 19.0 42.0 10 10
E 46.398379744 122.0 53.0 17.0 10 10
H 46.402066490 75.0 18.0 42.0 10 10
E 46.447494194 122.0 46.0 15.0 10 10
H 46.451084032 71.0 17.0 42.0 10 10
E 46.506184616 122.0 38.0 14.0 10 10
H 46.509859966 66.0 16.0 40.0 10 10
E 46.555186828 122.0 33.0 14.0 10 10
H 46.558967584 62.0 15.0 37.0 10 10
E 46.604189292 121.0 28.0 15.0 10 10
H 46.607968494 58.0 13.0 34.0 10 10
E 46.653303714 121.0 25.0 17.0 10 10
H 46.656981542 55.0 12.0 32.0 10 10
E 46.711993954 119.0 21.0 19.0 10 10
H 46.715671460 51.0 11.0 30.0 10 10
E 46.761000548 117.0 18.0 19.0 10 10
H 46.764674722 48.0 10.0 28.0 10 10
E 46.809998434 116.0 16.0 19.0 10 10
H 46.813820868 45.0 10.0 28.0 10 10
E 46.859113934 115.0 15.0 20.0 10 10
H 46.862894242 42.0 9.0 33.0 10 10
E 46.917803460 114.0 14.0 23.0 10 10
H 46.921477578 37.0 9.0 42.0 10 10
E 46.966805742 113.0 14.0 28.0 10 10
H 46.970484200 32.0 9.0 45.0 10 10
E 47.035807870 109.0 13.0 32.0 10 10
H 47.039493272 26.0 9.0 43.0 10 10
E 47.084923244 104.0 12.0 32.0 10 10
H 47.088613910 20.0 8.0 43.0 10 10
E 47.143612812 98.0 11.0 29.0 10 10
H 47.147300804 14.0 8.0 42.0 10 10
E 47.192614926 94.0 10.0 30.0 10 10
H 47.196302302 8.0 7.0 43.0 10 10
E 47.241617446 90.0 10.0 31.0 10 10
H 47.245304864 3.0 7.0 43.0 10 10
E 47.290736936 85.0 9.0 32.0 10 10
H 47.294342202 2.0 7.0 41.0 10 10
E 47.349426448 79.0 9.0 33.0 10 10
H 47.352753044 3.0 6.0 39.0 10 10
E 47.398424544 75.0 9.0 32.0 10 10
H 47.402127362 3.0 6.0 38.0 10 10
E 47.447426812 70.0 9.0 32.0 10 10
H 47.451130932 3.0 6.0 34.0 10 10
E 47.497094710 66.0 9.0 33.0 10 10
H 47.500605728 3.0 6.0 30.0 10 10
E 47.555231670 60.0 8.0 33.0 10 10
H 47.558556754 3.0 5.0 25.0 10 10
