device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value_0 daq_value_1
E 82.580711110 103.0 21.0 7.0 40 40 -2.7734375 -3.0859375
E 82.630380758 102.0 23.0 7.0 40 40 -2.79296875 -3.0859375
E 82.688549274 102.0 23.0 7.0 40 40 -2.83203125 -3.095703125
E 82.737646756 102.0 24.0 7.0 40 40 -2.8515625 -3.0859375
E 82.786647988 101.0 25.0 7.0 40 40 -2.841796875 -3.095703125
E 82.835765728 101.0 25.0 7.0 40 40 -2.83203125 -3.095703125
E 82.894453140 101.0 26.0 7.0 40 40 -2.822265625 -3.095703125
E 82.943453476 101.0 27.0 7.0 40 40 -2.802734375 -3.0859375
E 83.012457718 101.0 28.0 8.0 40 40 -2.783203125 -3.0859375
E 83.061447274 101.0 30.0 8.0 40 40 -2.79296875 -3.0859375
E 83.120135540 101.0 32.0 8.0 40 40 -2.861328125 -3.056640625
E 83.169137486 101.0 32.0 8.0 40 40 -2.822265625 -3.0078125
E 83.218139194 101.0 32.0 8.0 40 40 -2.734375 -2.958984375
E 83.267289316 101.0 33.0 8.0 40 40 -2.63671875 -2.958984375
E 83.325977484 101.0 34.0 8.0 40 40 -2.646484375 -3.017578125
E 83.375074644 101.0 34.0 8.0 40 40 -2.51953125 -3.056640625
E 83.424076912 101.0 34.0 8.0 40 40 -2.51953125 -3.076171875
E 83.473193378 101.0 32.0 8.0 40 40 -2.568359375 -3.095703125
E 83.531881784 101.0 32.0 8.0 40 40 -2.79296875 -3.095703125
E 83.580884318 101.0 32.0 8.0 40 40 -2.96875 -3.095703125
E 83.629886362 101.0 31.0 7.0 40 40 -2.998046875 -3.076171875
E 83.679002240 101.0 31.0 8.0 40 40 -3.056640625 -3.06640625
E 83.737688560 101.0 30.0 8.0 40 40 -3.037109375 -3.076171875
E 83.786692956 101.0 31.0 9.0 40 40 -3.046875 -3.06640625
E 83.835694720 100.0 31.0 10.0 40 40 -3.056640625 -3.06640625
E 83.884827790 100.0 31.0 11.0 40 40 -3.046875 -3.056640625
E 83.943373018 100.0 30.0 15.0 40 40 -3.037109375 -3.046875
E 84.012374838 99.0 29.0 22.0 40 40 -3.056640625 -3.056640625
E 84.061377694 99.0 29.0 31.0 40 40 -3.0859375 -3.06640625
E 84.110493656 98.0 30.0 37.0 40 40 -3.056640625 -3.076171875
E 84.169182706 97.0 29.0 43.0 40 40 -3.046875 -3.076171875
E 84.218185352 96.0 30.0 49.0 40 40 -3.076171875 -3.0859375
E 84.267186626 95.0 30.0 55.0 40 40 -3.037109375 -3.076171875
E 84.316448160 94.0 31.0 62.0 40 40 -2.9296875 -3.0859375
E 84.375089316 92.0 33.0 76.0 40 40 -2.880859375 -3.0859375
E 84.424091514 88.0 33.0 82.0 40 40 -2.83203125 -3.0859375
E 84.473093390 84.0 34.0 83.0 40 40 -2.79296875 -3.0859375
E 84.522209842 80.0 34.0 82.0 40 40 -2.7734375 -3.076171875
E 84.580898150 75.0 33.0 83.0 40 40 -2.75390625 -3.076171875
E 84.629901258 70.0 34.0 85.0 40 40 -2.6953125 -3.06640625
E 84.678904394 65.0 33.0 85.0 40 40 -2.67578125 -3.06640625
E 84.728572558 61.0 32.0 86.0 40 40 -2.666015625 -3.06640625
E 84.786610524 55.0 32.0 87.0 40 40 -2.65625 -3.06640625
E 84.835612246 51.0 33.0 87.0 40 40 -2.685546875 -3.06640625
E 84.884614752 47.0 33.0 87.0 40 40 -2.71484375 -3.076171875
E 84.933828798 43.0 34.0 87.0 40 40 -2.71484375 -3.076171875
E 85.012517680 39.0 34.0 88.0 40 40 -2.734375 -3.076171875
E 85.061455030 35.0 35.0 93.0 40 40 -2.75390625 -3.0859375
E 85.110423838 31.0 35.0 98.0 40 40 -2.75390625 -3.076171875
E 85.159541004 27.0 34.0 100.0 40 40 -2.75390625 -3.076171875
E 85.218229578 23.0 33.0 100.0 40 40 -2.763671875 -3.076171875
E 85.267230208 21.0 33.0 100.0 40 40 -2.763671875 -3.076171875
E 85.316233764 17.0 32.0 100.0 40 40 -2.783203125 -3.0859375
E 85.365350496 14.0 31.0 100.0 40 40 -2.783203125 -3.076171875
E 85.424038804 12.0 31.0 100.0 40 40 -2.783203125 -3.0859375
E 85.473040960 9.0 31.0 100.0 40 40 -2.783203125 -3.0859375
E 85.522042500 6.0 30.0 100.0 40 40 -2.763671875 -3.0859375
E 85.571159750 4.0 30.0 100.0 40 40 -2.75390625 -3.0859375
E 85.629848170 4.0 32.0 98.0 40 40 -2.7734375 -3.095703125
E 98.287218204 97.0 29.0 9.0 40 35 -2.666015625 -3.0859375
E 98.346020976 97.0 28.0 9.0 40 35 -2.646484375 -3.0859375
E 98.395363654 97.0 28.0 9.0 40 35 -2.63671875 -3.076171875
E 98.453825862 97.0 29.0 9.0 40 35 -2.646484375 -3.076171875
E 98.502828102 97.0 30.0 9.0 40 35 -2.626953125 -3.076171875
