3.0 100.0 100.0 50.0 50.0 60.0 1.67 20.0 1.0 0.0 0.0 1.0 10.0 1000.0 50.0
3.0 100.0 100.0 50.0 50.0 60.0 1.67 20.0 1.0 0.0 0.0 1.0 10.0 1000.0 50.0
E 10120.176109850 15 14 15 14 0 161 0
H 10120.179905138 15 108 15 100 98 161 0
E 10120.234798130 15 14 15 14 0 161 0
H 10120.238476056 15 97 15 97 98 161 0
E 10120.283800244 15 14 15 14 0 161 0
H 10120.287479066 15 103 15 100 98 161 0
E 10120.332802778 15 14 15 14 0 161 0
H 10120.336481754 14 108 14 100 98 161 0
E 10120.381919244 15 14 15 14 0 161 0
H 10120.385686644 15 111 15 100 98 161 0
E 10120.440607622 16 14 16 14 0 161 0
H 10120.444402112 15 110 15 100 98 161 0
E 10120.489609876 16 14 16 14 0 161 0
H 10120.493288852 15 102 15 100 98 161 0
E 10120.538612130 16 13 16 13 0 161 0
H 10120.542291176 15 106 15 100 98 161 0
E 10120.588474264 16 14 16 14 0 161 0
H 10120.592372004 16 113 16 100 98 161 0
E 10120.646417422 16 14 16 14 0 161 0
H 10120.650096958 16 116 16 100 98 161 0
E 10120.695419354 15 13 15 13 0 161 0
H 10120.699215888 16 108 16 100 98 161 0
E 10120.744421510 15 13 15 13 0 161 0
H 10120.748100318 15 108 15 100 98 161 0
E 10120.793538074 15 12 15 12 0 161 0
H 10120.797304984 15 111 15 100 98 161 0
E 10120.852226298 16 13 16 13 0 161 0
H 10120.855905960 15 121 15 100 98 161 0
E 10120.901228720 16 13 16 13 0 161 0
H 10120.904906618 16 125 16 100 98 161 0
E 10120.950231072 16 13 16 13 0 161 0
H 10120.954022062 15 112 15 100 98 161 0
E 10121.019347538 15 13 15 13 0 161 0
H 10121.022937768 15 116 15 100 98 161 0
E 10121.078035986 15 13 15 13 0 161 0
H 10121.081711658 15 121 15 100 98 161 0
E 10121.127038072 15 13 15 13 0 161 0
H 10121.130716208 15 120 15 100 98 161 0
E 10121.176040214 15 14 15 14 0 161 0
H 10121.179717776 15 115 15 100 98 161 0
E 10121.225156876 14 14 14 14 0 161 0
H 10121.228952906 15 110 15 100 98 161 0
E 10121.283845184 14 14 14 14 0 161 0
H 10121.287524734 15 115 15 100 98 161 0
E 10121.332847396 14 14 14 14 0 161 0
H 10121.336614726 15 118 15 100 98 161 0
E 10121.381849804 14 14 14 14 0 161 0
H 10121.385528906 15 116 15 100 98 161 0
E 10121.430966340 14 14 14 14 0 161 0
H 10121.434644490 14 105 14 100 98 161 0
E 10121.489654732 15 14 15 14 0 161 0
H 10121.493450678 14 102 14 100 98 161 0
E 10121.538656888 15 14 15 14 0 161 0
H 10121.542336508 14 103 14 100 98 161 0
E 10121.587659044 16 14 16 14 0 161 0
H 10121.591425702 14 107 14 100 98 161 0
E 10121.636775608 16 14 16 14 0 161 0
H 10121.640454864 15 109 15 100 98 161 0
