device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T
E 59.238932890 91.0 9.0 38.0 10 10
H 59.242369162 5.0 4.0 13.0 10 10
E 59.297622458 81.0 14.0 33.0 10 10
H 59.301548828 5.0 4.0 16.0 10 10
E 59.346624866 76.0 22.0 29.0 10 10
H 59.350582512 4.0 4.0 18.0 10 10
E 59.395626938 74.0 30.0 26.0 10 10
H 59.399571746 3.0 5.0 21.0 10 10
E 59.444742186 73.0 30.0 27.0 10 10
H 59.448622034 4.0 5.0 30.0 10 10
E 59.503431838 73.0 27.0 29.0 10 10
H 59.506948302 3.0 6.0 40.0 10 10
E 59.552433966 72.0 24.0 29.0 10 10
H 59.555950976 4.0 6.0 44.0 10 10
E 59.601436416 71.0 22.0 30.0 10 10
H 59.604952166 3.0 6.0 48.0 10 10
E 59.650552084 71.0 22.0 32.0 10 10
H 59.654444042 3.0 7.0 48.0 10 10
E 59.709241344 68.0 21.0 36.0 10 10
H 59.712757262 3.0 7.0 50.0 10 10
E 59.758243668 63.0 24.0 42.0 10 10
H 59.761760314 4.0 8.0 51.0 10 10
E 59.807245670 58.0 31.0 45.0 10 10
H 59.810761000 3.0 8.0 49.0 10 10
E 59.856360274 54.0 36.0 46.0 10 10
H 59.860339704 3.0 9.0 48.0 10 10
E 59.915050598 52.0 39.0 46.0 10 10
H 59.918565928 4.0 9.0 53.0 10 10
E 59.964052936 50.0 41.0 44.0 10 10
H 59.967567230 3.0 9.0 57.0 10 10
E 60.033055120 49.0 41.0 45.0 10 10
H 60.036479968 3.0 9.0 56.0 10 10
E 60.082723354 48.0 41.0 50.0 10 10
H 60.086148636 4.0 9.0 56.0 10 10
E 60.140860160 46.0 43.0 59.0 10 10
H 60.144374384 3.0 9.0 58.0 10 10
E 60.189862260 42.0 46.0 66.0 10 10
H 60.193378136 4.0 9.0 57.0 10 10
E 60.238864542 37.0 49.0 71.0 10 10
H 60.242381076 3.0 9.0 54.0 10 10
E 60.287980560 31.0 53.0 73.0 10 10
H 60.291688838 3.0 9.0 52.0 10 10
E 60.346669512 26.0 60.0 78.0 10 10
H 60.350186088 3.0 8.0 49.0 10 10
