device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value_0 daq_value_1
E 8961.790633214 0.0 13.0 16.0 50 50 1732 1757
H 8961.794223164 98.0 96.0 13.0 50 50 1731 1757
E 8961.849321774 0.0 12.0 16.0 50 50 1731 1757
H 8961.852912900 98.0 100.0 13.0 50 50 1732 1757
E 8961.898324112 0.0 12.0 16.0 50 50 1732 1757
H 8961.902002682 98.0 100.0 13.0 50 50 1732 1757
E 8961.947326184 0.0 13.0 16.0 50 50 1732 1757
H 8961.951033734 98.0 100.0 13.0 50 50 1732 1757
E 8962.016442510 0.0 13.0 16.0 50 50 1731 1757
H 8962.019943868 98.0 100.0 14.0 50 50 1731 1757
E 8962.075131014 0.0 13.0 16.0 50 50 1732 1757
H 8962.078720404 98.0 100.0 14.0 50 50 1732 1757
E 8962.124133324 0.0 13.0 16.0 50 50 1731 1757
H 8962.127724590 98.0 100.0 14.0 50 50 1731 1757
E 8962.173135704 0.0 13.0 16.0 50 50 1731 1757
H 8962.176726732 98.0 100.0 14.0 50 50 1732 1757
E 8962.222252086 0.0 13.0 16.0 50 50 1732 1757
H 8962.225957158 98.0 100.0 15.0 50 50 1732 1757
E 8962.280940576 0.0 13.0 16.0 50 50 1731 1757
H 8962.284529994 98.0 100.0 15.0 50 50 1732 1757
E 8962.329942746 0.0 13.0 16.0 50 50 1732 1757
H 8962.333534530 98.0 100.0 14.0 50 50 1732 1757
E 8962.378944944 0.0 14.0 16.0 50 50 1731 1757
H 8962.382532346 98.0 100.0 14.0 50 50 1732 1757
E 8962.428061452 0.0 14.0 16.0 50 50 1731 1757
H 8962.431739644 98.0 100.0 14.0 50 50 1732 1757
E 8962.486750082 0.0 14.0 16.0 50 50 1732 1757
H 8962.490457534 98.0 100.0 14.0 50 50 1731 1757
E 8962.535752154 0.0 14.0 16.0 50 50 1732 1757
H 8962.539343336 98.0 100.0 13.0 50 50 1731 1757
E 8962.584754282 0.0 14.0 16.0 50 50 1732 1757
H 8962.588433412 98.0 100.0 13.0 50 50 1731 1757
E 8962.633870860 0.0 13.0 16.0 50 50 1732 1757
H 8962.637461426 98.0 100.0 13.0 50 50 1732 1757
E 8962.692559350 0.0 13.0 16.0 50 50 1732 1757
H 8962.696150420 98.0 100.0 13.0 50 50 1731 1757
E 8962.741561436 0.0 13.0 16.0 50 50 1732 1757
H 8962.745357354 98.0 100.0 13.0 50 50 1731 1757
E 8962.790563844 0.0 13.0 16.0 50 50 1732 1757
H 8962.794154438 98.0 100.0 13.0 50 50 1732 1757
E 8962.839680128 0.0 13.0 16.0 50 50 1732 1757
H 8962.843271100 98.0 100.0 13.0 50 50 1732 1757
E 8962.898368730 0.0 13.0 16.0 50 50 1732 1757
H 8962.902045046 98.0 100.0 13.0 50 50 1732 1757
E 8962.947371054 0.0 14.0 16.0 50 50 1731 1757
H 8962.950962180 98.0 100.0 14.0 50 50 1732 1757
E 8963.016373056 0.0 14.0 16.0 50 50 1732 1757
H 8963.020089146 98.0 100.0 14.0 50 50 1732 1757
E 8963.065489536 0.0 14.0 16.0 50 50 1732 1764
H 8963.068991314 98.0 100.0 14.0 50 50 1732 1766
E 8963.124178208 0.0 14.0 16.0 50 50 1732 1767
H 8963.127856554 98.0 100.0 14.0 50 50 1731 1770
E 8963.173180322 0.0 14.0 16.0 50 50 1732 1775
H 8963.176770972 98.0 100.0 14.0 50 50 1732 1776
E 8963.222182604 0.0 14.0 17.0 50 50 1731 1774
H 8963.225773506 98.0 100.0 14.0 50 50 1732 1775
E 8963.271298944 0.0 14.0 16.0 50 50 1732 1773
H 8963.275004674 98.0 100.0 14.0 50 50 1732 1770
E 8963.329987406 0.0 14.0 16.0 50 50 1732 1773
H 8963.333578294 98.0 100.0 14.0 50 50 1732 1769
E 8963.378989674 0.0 14.0 16.0 50 50 1732 1767
H 8963.382581318 98.0 100.0 14.0 50 50 1732 1766
E 8963.427991998 0.0 14.0 16.0 50 50 1731 1766
H 8963.431583390 98.0 100.0 14.0 50 50 1732 1766
E 8963.477108422 0.0 14.0 16.0 50 50 1731 1763
H 8963.480786670 98.0 100.0 14.0 50 50 1731 1757
E 8963.535796926 0.0 14.0 16.0 50 50 1732 1757
H 8963.539504868 98.0 100.0 14.0 50 50 1731 1757
E 8963.584799012 0.0 14.0 15.0 50 50 1732 1757
H 8963.588390278 98.0 100.0 14.0 50 50 1731 1760
E 8963.633801504 0.0 14.0 16.0 50 50 1732 1761
H 8963.637479696 98.0 100.0 14.0 50 50 1732 1760
E 8963.683471320 0.0 14.0 16.0 50 50 1732 1762
H 8963.687060164 98.0 100.0 13.0 50 50 1732 1764
E 8963.741606306 0.0 14.0 15.0 50 50 1733 1760
H 8963.745197082 98.0 100.0 13.0 50 50 1734 1757
E 8963.790608714 0.0 13.0 15.0 50 50 1732 1757
H 8963.794400810 98.0 100.0 14.0 50 50 1733 1757
E 8963.839610772 0.0 13.0 15.0 50 50 1745 1757
H 8963.843201898 98.0 100.0 14.0 50 50 1751 1757
E 8963.888727028 0.0 13.0 15.0 50 50 1750 1757
H 8963.892317930 98.0 100.0 14.0 50 50 1755 1757
E 8963.947415658 0.0 13.0 16.0 50 50 1752 1757
H 8963.951090994 98.0 100.0 14.0 50 50 1749 1757
E 8964.016418066 0.0 12.0 16.0 50 50 1732 1757
H 8964.020016766 98.0 100.0 14.0 50 50 1732 1757
E 8964.065420320 0.0 12.0 16.0 50 50 1732 1757
H 8964.069136354 98.0 100.0 14.0 50 50 1731 1757
E 8964.114536618 0.0 12.0 16.0 50 50 1732 1757
H 8964.118128080 98.0 100.0 15.0 50 50 1732 1757
E 8964.173225094 0.0 13.0 16.0 50 50 1732 1757
H 8964.176904028 98.0 95.0 14.0 50 50 1737 1757
E 8964.222227488 0.0 13.0 16.0 50 50 1732 1757
H 8964.225935920 98.0 89.0 14.0 50 50 1732 1757
E 8964.271229672 0.0 13.0 15.0 50 50 1743 1757
H 8964.274821232 98.0 100.0 14.0 50 50 1790 1757
E 8964.320345984 0.0 13.0 15.0 50 50 1845 1757
H 8964.323936592 98.0 100.0 14.0 50 50 1860 1757
E 8964.379034306 0.0 13.0 15.0 50 50 1866 1757
H 8964.382624088 98.0 100.0 14.0 50 50 1870 1757
E 8964.428036714 0.0 13.0 15.0 50 50 1871 1757
H 8964.431627126 98.0 100.0 14.0 50 50 1872 1757
E 8964.477039122 0.0 13.0 15.0 50 50 1871 1757
H 8964.480746042 98.0 100.0 13.0 50 50 1868 1757
E 8964.526155448 0.0 13.0 15.0 50 50 1837 1757
H 8964.529747316 98.0 100.0 13.0 50 50 1748 1757
E 8964.584843966 0.0 13.0 15.0 50 50 1732 1757
H 8964.588435750 98.0 100.0 13.0 50 50 1732 1757
E 8964.633846332 0.0 13.0 16.0 50 50 1732 1757
H 8964.637437458 98.0 100.0 13.0 50 50 1732 1757
E 8964.682848404 0.0 12.0 16.0 50 50 1732 1757
H 8964.686526456 98.0 96.0 13.0 50 50 1731 1757
E 8964.731964632 0.0 13.0 16.0 50 50 1732 1757
H 8964.735555520 98.0 100.0 12.0 50 50 1731 1769
E 8964.790653444 0.0 13.0 16.0 50 50 1732 1796
H 8964.794244248 98.0 100.0 12.0 50 50 1732 1802
E 8964.839655530 0.0 13.0 16.0 50 50 1731 1814
H 8964.843244108 98.0 100.0 12.0 50 50 1731 1815
E 8964.888657756 0.0 13.0 16.0 50 50 1731 1817
H 8964.892453520 98.0 100.0 12.0 50 50 1731 1816
E 8964.937774404 0.0 13.0 16.0 50 50 1732 1814
H 8964.941365432 98.0 100.0 12.0 50 50 1732 1811
E 8965.016462810 0.0 13.0 15.0 50 50 1732 1805
H 8965.020061608 98.0 100.0 12.0 50 50 1732 1757
E 8965.065465120 0.0 13.0 15.0 50 50 1731 1757
H 8965.069180258 98.0 100.0 12.0 50 50 1732 1757
E 8965.114467332 0.0 13.0 15.0 50 50 1731 1757
H 8965.118146490 98.0 100.0 13.0 50 50 1731 1757
E 8965.163583588 0.0 14.0 15.0 50 50 1732 1757
H 8965.167174938 98.0 100.0 13.0 50 50 1731 1757
E 8965.222272134 0.0 14.0 15.0 50 50 1731 1757
H 8965.225863498 98.0 100.0 13.0 50 50 1731 1757
E 8965.271274444 0.0 14.0 15.0 50 50 1732 1757
H 8965.274955324 98.0 100.0 13.0 50 50 1731 1757
E 8965.320276642 0.0 14.0 15.0 50 50 1731 1757
H 8965.323984164 98.0 100.0 13.0 50 50 1732 1757
E 8965.369393248 0.0 14.0 15.0 50 50 1731 1757
H 8965.372984822 98.0 100.0 14.0 50 50 1732 1757
E 8965.428081570 0.0 14.0 15.0 50 50 1731 1757
H 8965.431672346 98.0 100.0 14.0 50 50 1731 1757
