3.0 100.0 100.0 50.0 50.0 60.0 1.67 20.0 1.0 0.0 0.0 1.0 10.0 1000.0 50.0
3.0 100.0 100.0 50.0 50.0 60.0 1.67 20.0 1.0 0.0 0.0 1.0 10.0 1000.0 50.0
E 382.674624202 6 19 6 19 8 201 0
H 382.678270880 8 10 8 10 9 201 0
E 382.723626456 7 20 7 20 8 201 0
H 382.727273442 7 9 7 9 9 201 0
E 382.772743524 6 20 6 20 8 201 0
H 382.776291670 7 10 7 10 9 201 0
E 382.831431356 7 19 7 19 7 201 0
H 382.835127034 7 10 7 10 9 201 0
E 382.880433638 7 19 7 19 7 201 0
H 382.884224320 7 10 7 10 9 201 0
E 382.929435766 7 20 7 20 8 201 0
H 382.933226560 8 10 8 10 9 201 0
E 382.978552876 7 22 7 22 8 201 0
H 383.002107238 8 10 8 10 9 201 0
E 383.057240904 8 25 8 25 8 201 0
H 383.060478124 9 19 9 19 9 201 0
E 383.106243046 8 31 8 31 8 201 0
H 383.109890480 10 35 10 35 9 201 0
E 383.155245412 9 38 9 38 8 201 0
H 383.158894666 12 49 12 48 9 201 0
E 383.204362284 11 43 11 43 9 201 0
H 383.207864818 14 55 14 55 9 201 0
E 383.263050340 13 49 13 49 10 201 0
H 383.266639730 16 60 16 60 10 201 0
E 383.312052496 14 53 14 53 11 201 0
H 383.315642838 19 61 19 61 10 201 0
E 383.361054876 15 55 15 55 12 201 0
H 383.364787290 22 60 22 60 10 201 0
E 383.410171804 16 58 16 58 12 201 0
H 383.413903042 23 56 23 56 10 201 0
E 383.468859692 19 66 19 66 12 201 0
H 383.472450692 24 52 24 52 10 201 0
E 383.517861988 22 75 22 75 12 201 0
H 383.521452778 26 51 26 51 10 201 0
E 383.566864004 24 83 24 83 16 201 0
H 383.570552234 27 51 27 51 10 201 0
E 383.615981268 26 88 26 88 20 201 0
H 383.619571890 27 50 27 50 10 201 0
E 383.674669002 27 93 27 93 26 239 0
H 383.678401220 30 46 30 46 10 239 0
E 383.723671438 27 96 27 96 31 239 0
H 383.727263166 36 45 36 45 10 239 0
E 383.772673594 27 101 27 100 36 239 0
H 383.776542522 44 44 44 44 10 239 0
E 383.821790480 27 107 27 100 42 239 0
H 383.825557138 50 42 50 42 10 239 0
E 383.880478662 26 109 26 100 49 239 0
H 383.884245110 58 39 58 39 10 239 0
E 383.929480720 25 107 25 100 55 239 0
H 383.933246958 64 37 64 37 10 239 0
E 383.978482974 24 102 24 100 61 239 0
H 384.002249450 65 36 65 36 10 239 0
E 384.047599972 23 99 23 99 66 239 0
H 384.051243304 66 34 66 34 10 239 0
E 384.106287860 23 97 23 97 73 239 0
H 384.109978078 63 31 63 31 10 239 0
E 384.155290100 23 98 23 98 78 239 0
H 384.158878440 64 28 64 28 10 239 0
E 384.204292522 23 101 23 100 83 239 0
H 384.208058662 68 27 68 27 10 239 0
E 384.253962618 24 105 24 100 87 239 0
H 384.257830454 67 26 67 26 10 239 0
E 384.312097324 25 112 25 100 93 239 0
H 384.315863408 63 25 63 25 10 239 0
E 384.361099508 26 114 26 100 97 239 0
H 384.364865228 60 25 60 25 10 239 0
E 384.410101664 27 117 27 100 101 239 0
H 384.413955920 58 26 58 26 10 239 0
E 384.459218760 28 121 28 100 105 239 0
H 384.463211700 57 27 57 27 10 239 0
E 384.517906592 29 129 29 100 108 168 0
H 384.521862880 56 28 56 28 10 168 0
E 384.566909014 30 136 30 100 111 168 0
H 384.570763382 53 31 53 31 10 168 0
E 384.615911128 31 140 31 100 114 168 0
H 384.619905188 51 33 51 33 10 168 0
E 384.665028238 32 144 32 100 116 168 0
H 384.668881640 51 34 51 34 10 168 0
E 384.723716126 35 159 35 100 118 168 0
H 384.727570690 51 38 51 38 10 168 0
E 384.772718366 38 175 38 100 119 168 0
H 384.776816180 52 42 52 42 10 168 0
E 384.821720620 40 189 40 100 120 168 0
H 384.825575170 54 46 54 46 10 168 0
E 384.870837534 41 203 41 100 121 168 0
H 384.874690936 55 48 55 48 10 168 0
E 384.929525534 43 219 43 100 121 168 0
H 384.933522156 56 50 56 50 10 168 0
E 384.978527858 42 220 42 100 121 168 0
H 385.002377480 56 50 56 50 10 168 0
E 385.047530070 40 221 40 100 122 168 0
H 385.051294446 54 48 54 48 10 168 0
E 385.096647082 39 226 39 100 121 168 0
H 385.100513000 53 47 53 47 10 168 0
E 385.155334872 39 222 39 100 121 168 0
H 385.159188022 52 45 52 45 10 168 0
E 385.204337168 38 217 38 100 121 168 0
H 385.208189520 51 44 51 44 10 168 0
E 385.253339492 37 217 37 100 122 168 0
H 385.257194574 51 43 51 43 10 168 0
E 385.302456532 37 217 37 100 122 168 0
H 385.306451852 50 41 50 41 10 168 0
E 385.361144322 38 216 38 100 122 168 0
H 385.365100106 49 40 49 40 10 168 0
E 385.410146660 41 220 41 100 122 168 0
H 385.414000286 50 39 50 39 10 168 0
E 385.459148774 44 223 44 100 122 168 0
H 385.463145550 50 39 50 39 10 168 0
E 385.508265898 44 221 44 100 122 168 0
H 385.512120154 51 41 51 41 10 168 0
E 385.566953716 43 226 43 100 122 610 0
H 385.570808602 54 42 54 42 10 610 0
E 385.615956026 43 230 43 100 122 610 0
H 385.620053826 53 41 53 41 10 610 0
E 385.664958210 43 234 43 100 122 610 0
H 385.668812452 52 42 52 42 10 610 0
E 385.714075390 43 233 43 100 122 610 0
H 385.717929730 53 42 53 42 10 610 0
E 385.772763236 42 226 42 100 122 610 0
H 385.776759760 54 45 54 45 10 610 0
E 385.821765266 41 226 41 100 122 610 0
H 385.825619620 54 51 54 51 10 610 0
E 385.870767534 42 226 42 100 122 610 0
H 385.874722142 55 60 55 60 10 610 0
E 385.919884840 41 219 41 100 122 610 0
H 385.923881868 57 67 57 67 10 610 0
E 385.978572532 38 208 38 100 122 610 0
H 386.002428706 59 68 59 68 10 610 0
E 386.047574758 36 200 36 100 122 610 0
H 386.051441222 63 68 63 68 10 610 0
E 386.096576998 34 190 34 100 122 610 0
H 386.100342452 70 69 70 69 10 610 0
E 386.145693702 33 183 33 100 122 610 0
H 386.149690338 75 68 75 68 10 610 0
E 386.204381870 33 177 33 100 122 610 0
H 386.208335484 75 69 75 69 10 610 0
E 386.253384250 33 175 33 100 122 610 0
H 386.257238352 76 70 76 70 10 610 0
E 386.302386322 32 177 32 100 122 610 0
H 386.306382356 80 69 80 69 10 610 0
E 386.352056544 32 174 32 100 122 610 0
H 386.355910800 82 68 82 68 10 610 0
E 386.410191404 32 169 32 100 122 610 0
H 386.414045212 84 69 84 69 10 610 0
E 386.459193504 33 172 33 100 122 610 0
H 386.463290954 87 73 87 73 10 610 0
E 386.508195758 34 180 34 100 122 610 0
H 386.512049916 95 77 95 77 10 610 0
E 386.557312644 35 189 35 100 123 610 0
H 386.561166648 105 84 100 84 10 610 0
E 386.616000700 35 194 35 100 122 800 0
