device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T
E 1227.704251828 1.0 13.0 14.0 30 30
H 1227.707842814 98.0 100.0 13.0 30 30
E 1227.753368028 1.0 13.0 14.0 30 30
H 1227.757070426 98.0 100.0 13.0 30 30
E 1227.812056672 1.0 13.0 15.0 30 30
H 1227.815735998 98.0 100.0 12.0 30 30
E 1227.861059122 1.0 13.0 15.0 30 30
H 1227.864649982 98.0 100.0 12.0 30 30
E 1227.910061362 1.0 13.0 14.0 30 30
H 1227.913651060 98.0 100.0 12.0 30 30
E 1227.959177436 1.0 13.0 14.0 30 30
H 1227.962769318 98.0 100.0 12.0 30 30
E 1228.037866318 1.0 13.0 14.0 30 30
H 1228.041480628 98.0 100.0 12.0 30 30
E 1228.086868558 1.0 14.0 15.0 30 30
H 1228.090458984 98.0 100.0 12.0 30 30
E 1228.135870588 1.0 14.0 15.0 30 30
H 1228.139461840 98.0 100.0 12.0 30 30
E 1228.184986914 1.0 13.0 14.0 30 30
E 1228.410397218 1.0 14.0 15.0 20 20
H 1228.413987308 98.0 90.0 12.0 20 20
E 1228.469085988 1.0 14.0 15.0 20 20
H 1228.472677002 98.0 98.0 12.0 20 20
E 1228.518088088 1.0 14.0 14.0 20 20
H 1228.521790850 98.0 100.0 11.0 20 20
E 1228.567090468 1.0 14.0 14.0 20 20
H 1228.570768338 98.0 100.0 11.0 20 20
E 1228.616206458 1.0 13.0 14.0 20 20
H 1228.619797710 98.0 99.0 12.0 20 20
E 1228.674895312 1.0 13.0 15.0 20 20
H 1228.678484716 98.0 100.0 12.0 20 20
E 1228.723897664 1.0 13.0 15.0 20 20
H 1228.727487026 98.0 100.0 12.0 20 20
E 1228.772900044 1.0 13.0 15.0 20 20
H 1228.776603058 98.0 100.0 13.0 20 20
E 1228.822015824 1.0 13.0 15.0 20 20
H 1228.825694282 98.0 100.0 13.0 20 20
E 1228.880704930 1.0 13.0 15.0 20 20
E 1229.165316676 1.0 14.0 14.0 10 10
H 1229.168907886 98.0 100.0 12.0 10 10
E 1229.214319126 1.0 15.0 14.0 10 10
H 1229.217910266 98.0 100.0 12.0 10 10
E 1229.263435060 1.0 15.0 15.0 10 10
H 1229.267139054 98.0 100.0 13.0 10 10
E 1229.322123970 1.0 15.0 15.0 10 10
H 1229.325803590 98.0 100.0 13.0 10 10
E 1229.371126112 1.0 14.0 15.0 10 10
H 1229.374718624 98.0 100.0 13.0 10 10
E 1229.420128408 1.0 14.0 15.0 10 10
H 1229.423718022 98.0 100.0 13.0 10 10
E 1229.469797874 1.0 14.0 15.0 10 10
H 1229.473389266 98.0 100.0 13.0 10 10
E 1229.527933560 1.0 13.0 15.0 10 10
H 1229.531637946 98.0 100.0 13.0 10 10
E 1229.576935786 1.0 13.0 16.0 10 10
H 1229.580615462 98.0 100.0 13.0 10 10
E 1229.625937802 1.0 13.0 16.0 10 10
H 1229.629526170 98.0 100.0 13.0 10 10
E 1229.675053932 1.0 13.0 16.0 10 10
