device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value_0 daq_value_1
E 2984.625279004 0.0 12.0 14.0 20 20 -3.0859375 -2.841796875
H 2984.628862766 2.0 17.0 21.0 20 20 -3.0859375 -2.841796875
E 2984.674281272 0.0 12.0 14.0 20 20 -3.095703125 -2.841796875
H 2984.678108256 2.0 17.0 21.0 20 20 -3.095703125 -2.841796875
E 2984.723283526 0.0 12.0 14.0 20 20 -3.0859375 -2.841796875
H 2984.726867344 2.0 17.0 22.0 20 20 -3.0859375 -2.83203125
E 2984.772400188 0.0 12.0 14.0 20 20 -3.095703125 -2.841796875
H 2984.775984370 2.0 17.0 22.0 20 20 -3.0859375 -2.841796875
E 2984.831088370 0.0 12.0 15.0 20 20 -3.0859375 -2.841796875
H 2984.834917188 2.0 17.0 22.0 20 20 -3.0859375 -2.841796875
E 2984.880090596 0.0 12.0 15.0 20 20 -3.095703125 -2.841796875
H 2984.883673112 2.0 17.0 22.0 20 20 -3.0859375 -2.841796875
E 2984.929092850 0.0 12.0 14.0 20 20 -3.095703125 -2.841796875
H 2984.932673994 2.0 17.0 21.0 20 20 -3.0859375 -2.841796875
E 2984.978762820 0.0 12.0 15.0 20 20 -3.095703125 -2.841796875
H 2985.002348262 2.0 17.0 20.0 20 20 -3.0859375 -2.83203125
E 2985.056897694 0.0 13.0 15.0 20 20 -3.0859375 -2.841796875
H 2985.060393074 2.0 17.0 20.0 20 20 -3.0859375 -2.841796875
E 2985.105899948 0.0 13.0 15.0 20 20 -3.095703125 -2.841796875
H 2985.109483402 2.0 17.0 21.0 20 20 -3.0859375 -2.83203125
E 2985.154902314 0.0 13.0 14.0 20 20 -3.0859375 -2.841796875
H 2985.158481470 2.0 17.0 21.0 20 20 -3.0859375 -2.841796875
E 2985.204018976 0.0 14.0 14.0 20 20 -3.095703125 -2.841796875
H 2985.207713296 2.0 17.0 21.0 20 20 -3.0859375 -2.841796875
E 2985.262707158 0.0 13.0 14.0 20 20 -3.095703125 -2.841796875
H 2985.266291382 2.0 18.0 20.0 20 20 -3.0859375 -2.841796875
E 2985.311709272 0.0 13.0 15.0 20 20 -3.095703125 -2.841796875
H 2985.315293370 2.0 18.0 20.0 20 20 -3.0859375 -2.841796875
E 2985.360711652 0.0 13.0 15.0 20 20 -3.0859375 -2.841796875
H 2985.364407890 2.0 17.0 21.0 20 20 -3.0859375 -2.841796875
E 2985.409828300 0.0 13.0 15.0 20 20 -3.095703125 -2.841796875
H 2985.413410102 2.0 17.0 21.0 20 20 -3.095703125 -2.841796875
E 2985.468516608 0.0 13.0 15.0 20 20 -3.0859375 -2.841796875
H 2985.472233510 2.0 18.0 21.0 20 20 -3.0859375 -2.841796875
E 2985.517518848 0.0 13.0 15.0 20 20 -3.0859375 -2.841796875
H 2985.521103296 2.0 18.0 21.0 20 20 -3.0859375 -2.841796875
E 2985.566521004 0.0 13.0 15.0 20 20 -3.0859375 -2.841796875
H 2985.570104836 2.0 18.0 21.0 20 20 -3.0859375 -2.841796875
