device_type time pose Biceps_effort Triceps_effort Biceps_E_T Triceps_E_T
E 65.932562540 14.0 57.0 6.0 10 10
H 65.935888730 84.0 69.0 48.0 10 10
E 66.011365298 20.0 60.0 8.0 10 10
H 66.014602280 87.0 59.0 54.0 10 10
E 66.060363464 26.0 67.0 10.0 10 10
H 66.064096452 86.0 52.0 59.0 10 10
E 66.109478614 32.0 73.0 12.0 10 10
H 66.113175678 86.0 45.0 64.0 10 10
E 66.168168126 41.0 78.0 13.0 10 10
H 66.171965864 81.0 40.0 77.0 10 10
E 66.217170618 47.0 83.0 14.0 10 10
H 66.220967292 74.0 36.0 89.0 10 10
E 66.266172956 54.0 88.0 15.0 10 10
H 66.269966424 64.0 32.0 98.0 10 10
E 66.315288064 61.0 90.0 16.0 10 10
H 66.318980396 55.0 29.0 100.0 10 10
E 66.373981832 70.0 91.0 16.0 10 10
H 66.377772794 42.0 25.0 99.0 10 10
E 66.422984100 76.0 92.0 17.0 10 10
H 66.426775412 31.0 23.0 96.0 10 10
E 66.471986326 83.0 94.0 18.0 10 10
H 66.475779640 21.0 21.0 85.0 10 10
E 66.521101630 90.0 98.0 21.0 10 10
H 66.524798876 11.0 19.0 76.0 10 10
E 66.579787040 97.0 96.0 22.0 10 10
H 66.583571758 3.0 17.0 66.0 10 10
E 66.628789322 102.0 93.0 22.0 10 10
H 66.632593374 4.0 16.0 61.0 10 10
E 66.677791688 107.0 93.0 22.0 10 10
H 66.681595796 4.0 15.0 58.0 10 10
E 66.726908056 112.0 96.0 24.0 10 10
H 66.730615452 4.0 14.0 54.0 10 10
E 66.785600816 117.0 95.0 26.0 10 10
H 66.789499718 4.0 13.0 50.0 10 10
E 66.834602748 119.0 94.0 28.0 10 10
H 66.838503260 4.0 12.0 47.0 10 10
E 66.883605254 120.0 94.0 30.0 10 10
H 66.887504898 4.0 12.0 45.0 10 10
E 66.932721706 120.0 95.0 32.0 10 10
H 66.936524246 4.0 12.0 42.0 10 10
E 67.011405884 120.0 99.0 37.0 10 10
H 67.015312864 4.0 12.0 38.0 10 10
E 67.060408026 120.0 97.0 36.0 10 10
H 67.064311464 4.0 12.0 35.0 10 10
E 67.109410364 120.0 90.0 33.0 10 10
H 67.113316560 4.0 11.0 32.0 10 10
E 67.159079312 120.0 85.0 29.0 10 10
H 67.162667022 4.0 11.0 29.0 10 10
E 67.217215264 119.0 79.0 25.0 10 10
H 67.220997392 4.0 11.0 25.0 10 10
E 67.266217560 119.0 70.0 21.0 10 10
H 67.269998036 4.0 11.0 23.0 10 10
E 67.315219800 119.0 62.0 19.0 10 10
H 67.319001060 4.0 11.0 21.0 10 10
