device_type time pose Biceps_effort Triceps_effort Biceps_E_T Triceps_E_T
E 1899.608381452 0.0 100.0 100.0 10 10
H 1899.612318994 1.0 100.0 100.0 10 10
E 1899.667070754 0.0 100.0 100.0 10 10
H 1899.671013000 1.0 100.0 100.0 10 10
E 1899.716072952 0.0 100.0 100.0 10 10
H 1899.720137334 1.0 100.0 100.0 10 10
E 1899.765075276 0.0 100.0 100.0 10 10
H 1899.769129550 1.0 100.0 100.0 10 10
E 1899.814190972 0.0 100.0 100.0 10 10
H 1899.818133792 1.0 100.0 100.0 10 10
E 1899.872880120 0.0 100.0 100.0 10 10
H 1899.876822646 1.0 100.0 100.0 10 10
E 1899.921882360 0.0 100.0 100.0 10 10
H 1899.925826986 1.0 100.0 100.0 10 10
E 1900.000685034 0.0 100.0 100.0 10 10
H 1900.004481190 1.0 100.0 100.0 10 10
E 1900.049800744 0.0 100.0 100.0 10 10
H 1900.053759916 1.0 100.0 100.0 10 10
E 1900.108490004 0.0 100.0 100.0 10 10
H 1900.112430458 1.0 100.0 100.0 10 10
E 1900.157492314 0.0 100.0 100.0 10 10
H 1900.161433538 1.0 100.0 100.0 10 10
E 1900.206494610 0.0 100.0 100.0 10 10
H 1900.210434378 1.0 100.0 100.0 10 10
E 1900.265410572 0.0 100.0 100.0 10 10
H 1900.269476578 1.0 100.0 100.0 10 10
E 1900.324100028 0.0 100.0 100.0 10 10
H 1900.328153392 1.0 100.0 100.0 10 10
E 1900.373102184 0.0 100.0 100.0 10 10
H 1900.377043912 1.0 100.0 100.0 10 10
E 1900.422104410 0.0 100.0 100.0 10 10
H 1900.426044654 1.0 100.0 100.0 10 10
E 1900.481020414 0.0 100.0 100.0 10 10
H 1900.484958180 1.0 100.0 100.0 10 10
E 1900.539709884 0.0 100.0 100.0 10 10
H 1900.543774210 1.0 100.0 100.0 10 10
E 1900.588711998 0.0 100.0 100.0 10 10
E 1901.334611746 0.0 100.0 100.0 10 15
H 1901.338873570 1.0 100.0 100.0 10 15
E 1901.392747768 0.0 100.0 100.0 10 15
H 1901.396797688 1.0 100.0 100.0 10 15
E 1901.441750106 0.0 100.0 100.0 10 15
H 1901.445691666 1.0 100.0 100.0 10 15
H 1916.309111992 1.0 100.0 100.0 10 15
E 1917.422865660 0.0 100.0 100.0 10 20
H 1917.426919262 1.0 100.0 100.0 10 20
E 1917.481668376 0.0 100.0 100.0 10 20
H 1917.485608284 1.0 100.0 100.0 10 20
E 1917.530784002 0.0 100.0 100.0 10 20
H 1917.534849364 1.0 100.0 100.0 10 20
E 1917.589473318 0.0 100.0 100.0 10 20
H 1917.593416362 1.0 100.0 100.0 10 20
E 1917.638475516 0.0 100.0 100.0 10 20
H 1917.642419680 1.0 100.0 100.0 10 20
E 1917.687477840 0.0 100.0 100.0 10 20
H 1917.691527606 1.0 100.0 100.0 10 20
E 1917.746393788 0.0 100.0 100.0 10 20
H 1917.750337532 1.0 100.0 100.0 10 20
E 1917.805083202 0.0 100.0 100.0 10 20
H 1917.809143538 1.0 100.0 100.0 10 20
E 1917.854085456 0.0 100.0 100.0 10 20
H 1917.858028430 1.0 100.0 100.0 10 20
E 1917.903087724 0.0 100.0 100.0 10 20
H 1917.907026316 1.0 100.0 100.0 10 20
E 1917.952203280 0.0 100.0 100.0 10 20
H 1917.956257610 1.0 100.0 100.0 10 20
E 1918.030892652 0.0 100.0 100.0 10 20
H 1918.034745116 1.0 100.0 100.0 10 20
E 1918.079894808 0.0 100.0 100.0 10 20
H 1918.083872572 1.0 100.0 100.0 10 20
E 1918.128897118 0.0 100.0 100.0 10 20
H 1918.132840834 1.0 100.0 100.0 10 20
E 1918.178566122 0.0 100.0 100.0 10 20
H 1918.182509068 1.0 100.0 100.0 10 20
E 1918.236701948 0.0 100.0 100.0 10 20
H 1918.240755424 1.0 100.0 100.0 10 20
E 1918.285704188 0.0 100.0 100.0 10 20
H 1918.289645720 1.0 100.0 100.0 10 20
E 1918.334706624 0.0 100.0 100.0 10 20
H 1918.338768066 1.0 100.0 100.0 10 20
E 1918.383822026 0.0 100.0 100.0 10 20
H 1918.387764860 1.0 100.0 100.0 10 20
E 1918.442511384 0.0 100.0 100.0 10 20
H 1918.446454134 1.0 100.0 100.0 10 20
E 1918.491513694 0.0 100.0 100.0 10 20
E 1919.187744550 0.0 100.0 100.0 10 25
H 1919.191687748 1.0 100.0 100.0 10 25
E 1919.236860274 0.0 100.0 100.0 10 25
H 1919.240801918 1.0 100.0 100.0 10 25
E 1919.295549408 0.0 100.0 100.0 10 25
H 1919.299605082 1.0 100.0 100.0 10 25
E 1919.354352264 0.0 100.0 100.0 10 25
H 1919.358294664 1.0 100.0 100.0 10 25
E 1919.403354504 0.0 100.0 100.0 10 25
H 1919.407420412 1.0 100.0 100.0 10 25
E 1919.452470074 0.0 100.0 100.0 10 25
H 1919.456412026 1.0 100.0 100.0 10 25
E 1919.511159376 0.0 100.0 100.0 10 25
H 1919.515103246 1.0 100.0 100.0 10 25
E 1919.560161630 0.0 100.0 100.0 10 25
H 1919.564215666 1.0 100.0 100.0 10 25
E 1919.618964276 0.0 100.0 100.0 10 25
H 1919.622906424 1.0 100.0 100.0 10 25
E 1919.668079972 0.0 100.0 100.0 10 25
H 1919.672145740 1.0 100.0 100.0 10 25
E 1919.726769246 0.0 100.0 100.0 10 25
H 1919.730712206 1.0 100.0 100.0 10 25
E 1919.775771444 0.0 100.0 100.0 10 25
H 1919.779712906 1.0 100.0 100.0 10 25
E 1919.824773600 0.0 100.0 100.0 10 25
H 1919.828827566 1.0 100.0 100.0 10 25
E 1919.883689688 0.0 100.0 100.0 10 25
H 1919.887628840 1.0 100.0 100.0 10 25
E 1919.942378962 0.0 100.0 100.0 10 25
H 1919.946446256 1.0 100.0 100.0 10 25
E 1920.021181776 0.0 100.0 100.0 10 25
H 1920.025031034 1.0 100.0 100.0 10 25
E 1920.070184016 0.0 100.0 100.0 10 25
H 1920.074036298 1.0 100.0 100.0 10 25
E 1920.119299670 0.0 100.0 100.0 10 25
H 1920.123354112 1.0 100.0 100.0 10 25
E 1920.177988804 0.0 100.0 100.0 10 25
H 1920.181930910 1.0 100.0 100.0 10 25
E 1920.226991142 0.0 100.0 100.0 10 25
E 1920.952337568 0.0 100.0 100.0 10 30
H 1920.956279632 1.0 100.0 100.0 10 30
E 1921.031026968 0.0 100.0 100.0 10 30
H 1921.034994750 1.0 100.0 100.0 10 30
E 1921.080029306 0.0 100.0 100.0 10 30
H 1921.083879894 1.0 100.0 100.0 10 30
E 1921.129031490 0.0 100.0 100.0 10 30
H 1921.132972112 1.0 100.0 100.0 10 30
E 1921.178147130 0.0 100.0 100.0 10 30
H 1921.182200592 1.0 100.0 100.0 10 30
E 1921.236836474 0.0 100.0 100.0 10 30
H 1921.240775150 1.0 100.0 100.0 10 30
E 1921.285838616 0.0 100.0 100.0 10 30
H 1921.289901332 1.0 100.0 100.0 10 30
E 1921.334840996 0.0 100.0 100.0 10 30
H 1921.338775514 1.0 100.0 100.0 10 30
E 1921.383956398 0.0 100.0 100.0 10 30
H 1921.387899764 1.0 100.0 100.0 10 30
E 1921.442645700 0.0 100.0 100.0 10 30
H 1921.446698224 1.0 100.0 100.0 10 30
E 1921.491647982 0.0 100.0 100.0 10 30
H 1921.495590970 1.0 100.0 100.0 10 30
E 1921.540650264 0.0 100.0 100.0 10 30
H 1921.544710908 1.0 100.0 100.0 10 30
E 1921.589765946 0.0 100.0 100.0 10 30
H 1921.593704342 1.0 100.0 100.0 10 30
E 1921.648455486 0.0 100.0 100.0 10 30
H 1921.652397830 1.0 100.0 100.0 10 30
E 1921.697457432 0.0 100.0 100.0 10 30
H 1921.701510250 1.0 100.0 100.0 10 30
E 1921.756260204 0.0 100.0 100.0 10 30
H 1921.760199832 1.0 100.0 100.0 10 30
E 1921.805375620 0.0 100.0 100.0 10 30
H 1921.809441444 1.0 100.0 100.0 10 30
E 1921.864065006 0.0 100.0 100.0 10 30
H 1921.868000210 1.0 100.0 100.0 10 30
E 1921.913067372 0.0 100.0 100.0 10 30
H 1921.917009282 1.0 100.0 100.0 10 30
E 1921.962069570 0.0 100.0 100.0 10 30
H 1921.966118524 1.0 100.0 100.0 10 30
E 1922.040985574 0.0 100.0 100.0 10 30
E 1922.815107594 0.0 100.0 100.0 10 35
H 1922.819049770 1.0 100.0 100.0 10 35
E 1922.864223066 0.0 100.0 100.0 10 35
H 1922.868288274 1.0 100.0 100.0 10 35
E 1922.922912438 0.0 100.0 100.0 10 35
H 1922.926852276 1.0 100.0 100.0 10 35
E 1923.001715154 0.0 100.0 100.0 10 35
H 1923.005479138 1.0 100.0 100.0 10 35
E 1923.050717562 0.0 100.0 100.0 10 35
H 1923.054680962 1.0 100.0 100.0 10 35
E 1923.099833160 0.0 100.0 100.0 10 35
H 1923.103685680 1.0 100.0 100.0 10 35
E 1923.158522392 0.0 100.0 100.0 10 35
H 1923.162588972 1.0 100.0 100.0 10 35
E 1923.207524562 0.0 100.0 100.0 10 35
H 1923.211465422 1.0 100.0 100.0 10 35
E 1923.266327292 0.0 100.0 100.0 10 35
H 1923.270271064 1.0 100.0 100.0 10 35
E 1923.315442736 0.0 100.0 100.0 10 35
H 1923.319492824 1.0 100.0 100.0 10 35
E 1923.374132318 0.0 100.0 100.0 10 35
H 1923.378074746 1.0 100.0 100.0 10 35
E 1923.423134376 0.0 100.0 100.0 10 35
H 1923.427200382 1.0 100.0 100.0 10 35
E 1923.472136630 0.0 100.0 100.0 10 35
H 1923.476078232 1.0 100.0 100.0 10 35
E 1923.521252382 0.0 100.0 100.0 10 35
H 1923.525190134 1.0 100.0 100.0 10 35
E 1923.579941628 0.0 100.0 100.0 10 35
H 1923.583996490 1.0 100.0 100.0 10 35
E 1923.628943882 0.0 100.0 100.0 10 35
H 1923.632886212 1.0 100.0 100.0 10 35
E 1923.677946108 0.0 100.0 100.0 10 35
H 1923.682012156 1.0 100.0 100.0 10 35
E 1923.727061664 0.0 100.0 100.0 10 35
H 1923.731003784 1.0 100.0 100.0 10 35
E 1923.785751162 0.0 100.0 100.0 10 35
H 1923.789689824 1.0 100.0 100.0 10 35
E 1923.834753416 0.0 100.0 100.0 10 35
H 1923.838800620 1.0 100.0 100.0 10 35
E 1923.893556062 0.0 100.0 100.0 10 35
E 1924.638789116 0.0 100.0 100.0 10 40
H 1924.642843236 1.0 100.0 100.0 10 40
E 1924.697591734 0.0 100.0 100.0 10 40
H 1924.701531782 1.0 100.0 100.0 10 40
E 1924.746594212 0.0 100.0 100.0 10 40
H 1924.750652994 1.0 100.0 100.0 10 40
E 1924.795709530 0.0 100.0 100.0 10 40
H 1924.799652112 1.0 100.0 100.0 10 40
E 1924.854399056 0.0 100.0 100.0 10 40
H 1924.858341624 1.0 100.0 100.0 10 40
E 1924.903401450 0.0 100.0 100.0 10 40
H 1924.907455066 1.0 100.0 100.0 10 40
E 1924.962203942 0.0 100.0 100.0 10 40
H 1924.966146104 1.0 100.0 100.0 10 40
E 1925.031319400 0.0 100.0 100.0 10 40
H 1925.035295498 1.0 100.0 100.0 10 40
E 1925.090008772 0.0 100.0 100.0 10 40
H 1925.093855734 1.0 100.0 100.0 10 40
E 1925.139010970 0.0 100.0 100.0 10 40
H 1925.142948470 1.0 100.0 100.0 10 40
