device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value_0 daq_value_1
E 1375.278191942 68.0 27.0 8.0 50 50 1774 1760
H 1375.281695176 83.0 38.0 11.0 50 50 1774 1760
E 1375.336879214 68.0 27.0 8.0 50 50 1775 1760
H 1375.340506138 83.0 39.0 10.0 50 50 1774 1760
E 1375.385881370 68.0 27.0 8.0 50 50 1775 1760
H 1375.389383120 83.0 40.0 10.0 50 50 1774 1758
E 1375.434883876 68.0 28.0 8.0 50 50 1774 1758
H 1375.438530022 83.0 41.0 11.0 50 50 1774 1758
E 1375.484001238 68.0 29.0 8.0 50 50 1773 1758
H 1375.487504136 83.0 42.0 11.0 50 50 1772 1758
E 1375.542688846 68.0 28.0 8.0 50 50 1772 1758
H 1375.546192150 83.0 43.0 11.0 50 50 1772 1758
E 1375.591691086 68.0 27.0 8.0 50 50 1773 1758
H 1375.595318038 83.0 43.0 11.0 50 50 1773 1758
E 1375.640693242 68.0 27.0 8.0 50 50 1772 1758
H 1375.644195622 83.0 42.0 11.0 50 50 1773 1758
E 1375.689809484 68.0 27.0 8.0 50 50 1771 1758
H 1375.693454972 83.0 42.0 11.0 50 50 1771 1758
E 1375.748498086 68.0 26.0 7.0 50 50 1772 1758
H 1375.752001670 83.0 42.0 11.0 50 50 1773 1758
E 1375.797500452 69.0 26.0 7.0 50 50 1772 1758
H 1375.801003602 83.0 41.0 11.0 50 50 1772 1758
E 1375.846502720 68.0 27.0 7.0 50 50 1773 1760
H 1375.850130036 83.0 41.0 11.0 50 50 1774 1758
E 1375.895619200 68.0 30.0 8.0 50 50 1774 1758
H 1375.899122238 83.0 47.0 11.0 50 50 1774 1758
E 1375.954307466 68.0 34.0 9.0 50 50 1774 1758
H 1375.957952982 83.0 56.0 11.0 50 50 1774 1758
E 1376.023309832 68.0 35.0 9.0 50 50 1774 1758
H 1376.026723550 83.0 60.0 10.0 50 50 1773 1760
E 1376.072312086 68.0 35.0 9.0 50 50 1773 1760
H 1376.075723942 83.0 60.0 10.0 50 50 1772 1760
E 1376.121428930 68.0 36.0 9.0 50 50 1773 1760
H 1376.125053488 83.0 57.0 10.0 50 50 1772 1760
E 1376.180117056 68.0 34.0 9.0 50 50 1771 1760
H 1376.183619212 83.0 54.0 10.0 50 50 1768 1760
E 1376.229119254 68.0 33.0 8.0 50 50 1770 1760
H 1376.232746220 83.0 51.0 11.0 50 50 1770 1760
E 1376.278121312 68.0 32.0 8.0 50 50 1771 1760
H 1376.281624952 83.0 48.0 12.0 50 50 1773 1760
E 1376.327238464 68.0 31.0 8.0 50 50 1772 1758
H 1376.330741544 83.0 46.0 13.0 50 50 1772 1760
E 1376.385926240 68.0 31.0 8.0 50 50 1772 1760
H 1376.389553234 83.0 43.0 14.0 50 50 1772 1760
E 1376.434928690 68.0 29.0 8.0 50 50 1770 1760
H 1376.438431812 83.0 41.0 15.0 50 50 1771 1760
E 1376.483930902 68.0 28.0 8.0 50 50 1771 1760
