3.0 100.0 100.0 20.0 20.0 60.0 1.67 20.0 1.0 0.0 0.0 1.0 10.0 1000.0 50.0
3.0 45.0 40.0 10.0 10.0 60.0 1.67 20.0 1.0 0.0 0.0 1.0 10.0 1000.0 50.0
E 4387.080485944 15 12 15 12 6 160 0
H 4387.083980386 9 6 21 17 98 160 0
E 4387.130155130 15 12 15 12 5 160 0
H 4387.133993720 9 6 20 17 98 160 0
E 4387.188290830 15 12 15 12 6 160 0
H 4387.191875278 9 7 20 17 98 160 0
E 4387.237292972 14 11 14 11 6 160 0
H 4387.240877756 9 7 21 17 98 160 0
E 4387.286295226 14 11 14 11 6 160 0
H 4387.289877028 9 7 21 17 98 160 0
E 4387.335411062 14 11 14 11 6 160 0
H 4387.339119690 9 6 22 17 98 160 0
E 4387.394100266 15 11 15 11 6 160 0
H 4387.397815964 9 7 21 17 98 160 0
E 4387.443102338 15 11 15 11 6 160 0
H 4387.446687150 9 7 20 17 98 160 0
E 4387.492104732 15 11 15 11 5 160 0
H 4387.495813122 9 7 20 17 98 160 0
E 4387.541220414 14 11 14 11 5 160 0
H 4387.544805156 9 6 21 17 98 160 0
E 4387.599909842 14 11 14 11 6 160 0
H 4387.603492008 10 7 22 17 98 160 0
E 4387.648911830 14 11 14 11 5 160 0
H 4387.652751302 10 7 22 17 98 160 0
E 4387.697914140 14 11 14 11 6 160 0
H 4387.701499050 9 7 22 17 98 160 0
E 4387.747029864 15 11 15 11 6 160 0
H 4387.750613864 9 7 21 18 98 160 0
E 4387.805719040 15 11 15 11 5 160 0
H 4387.809557280 10 7 22 18 98 160 0
E 4387.854721322 15 11 15 11 6 160 0
H 4387.858306666 10 7 23 18 98 160 0
E 4387.903723436 16 12 16 12 6 160 0
H 4387.907307198 10 7 23 18 98 160 0
E 4387.952839216 16 12 16 12 6 160 0
H 4387.956419408 10 7 23 17 98 160 0
E 4388.031528364 15 12 15 12 6 160 0
H 4388.035024346 10 7 23 18 98 160 0
E 4388.080530730 15 12 15 12 5 160 0
H 4388.084155750 10 7 23 18 98 160 0
E 4388.129532970 15 12 15 12 5 160 0
H 4388.133115696 10 7 23 18 98 160 0
E 4388.178648666 15 12 15 12 6 160 0
H 4388.182233590 11 7 24 17 98 160 0
E 4388.237337660 15 12 15 12 6 160 0
H 4388.240922192 11 7 25 18 98 160 0
E 4388.286340250 15 12 15 12 6 160 0
H 4388.289924320 11 7 24 18 98 160 0
E 4388.335342364 15 12 15 12 6 160 0
H 4388.339059028 11 7 24 18 98 160 0
E 4388.384458088 15 12 15 12 6 160 0
H 4388.388042802 10 7 24 18 98 160 0
E 4388.443147152 15 12 15 12 6 160 0
H 4388.446729780 10 7 24 18 98 160 0
E 4388.492149392 15 12 15 12 6 160 0
H 4388.495734246 10 7 24 18 98 160 0
E 4388.541151744 15 12 15 12 5 160 0
H 4388.544860400 10 7 23 18 98 160 0
E 4388.590267370 15 12 15 12 5 160 0
H 4388.593982116 10 7 22 17 98 160 0
E 4388.648956644 16 13 16 13 5 160 0
H 4388.652538978 9 7 22 18 98 160 0
E 4388.697958772 16 13 16 13 5 160 0
H 4388.701667428 9 7 22 18 98 160 0
E 4388.746961096 16 13 16 13 6 160 0
H 4388.750677214 10 7 22 17 98 160 0
E 4388.796076904 16 13 16 13 5 160 0
H 4388.799659420 10 7 22 17 98 160 0
