device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value_0 daq_value_1
E 7519.118309786 0.0 13.0 14.0 50 50 1732 1757
H 7519.121898742 98.0 100.0 13.0 50 50 1731 1757
E 7519.167426294 0.0 14.0 14.0 50 50 1731 1757
H 7519.171017966 98.0 100.0 14.0 50 50 1732 1757
E 7519.226114840 0.0 14.0 15.0 50 50 1732 1757
H 7519.229793690 98.0 100.0 14.0 50 50 1732 1757
E 7519.275116870 0.0 14.0 15.0 50 50 1731 1757
H 7519.278707856 98.0 100.0 14.0 50 50 1731 1757
E 7519.324119348 0.0 13.0 15.0 50 50 1732 1757
H 7519.327827752 98.0 100.0 13.0 50 50 1731 1757
E 7519.373235688 0.0 13.0 15.0 50 50 1732 1757
H 7519.376828592 98.0 100.0 13.0 50 50 1732 1757
E 7519.431924248 0.0 14.0 15.0 50 50 1732 1757
H 7519.435515556 98.0 100.0 14.0 50 50 1731 1757
E 7519.480926390 0.0 14.0 16.0 50 50 1732 1757
H 7519.484603924 98.0 100.0 14.0 50 50 1732 1757
E 7519.529928546 0.0 14.0 16.0 50 50 1732 1757
H 7519.533519952 98.0 100.0 13.0 50 50 1732 1757
E 7519.579045096 0.0 14.0 16.0 50 50 1731 1757
H 7519.582752240 98.0 100.0 13.0 50 50 1731 1757
E 7519.637733698 0.0 14.0 15.0 50 50 1731 1757
H 7519.641325216 98.0 100.0 14.0 50 50 1731 1757
E 7519.686735644 0.0 14.0 15.0 50 50 1731 1757
H 7519.690327540 98.0 100.0 14.0 50 50 1732 1757
E 7519.735737926 0.0 14.0 16.0 50 50 1732 1757
H 7519.739416650 98.0 100.0 13.0 50 50 1732 1757
E 7519.784854378 0.0 14.0 16.0 50 50 1732 1757
H 7519.788445588 98.0 100.0 13.0 50 50 1731 1757
E 7519.843542938 0.0 14.0 15.0 50 50 1732 1757
H 7519.847250768 98.0 100.0 13.0 50 50 1732 1757
E 7519.892545304 0.0 14.0 15.0 50 50 1731 1757
H 7519.896133714 98.0 100.0 13.0 50 50 1731 1757
E 7519.941547418 0.0 14.0 15.0 50 50 1732 1757
H 7519.945138908 98.0 100.0 13.0 50 50 1732 1757
E 7520.010663856 0.0 13.0 15.0 50 50 1731 1757
H 7520.014253106 98.0 100.0 13.0 50 50 1732 1757
E 7520.069352374 0.0 13.0 15.0 50 50 1731 1757
H 7520.072853872 98.0 100.0 12.0 50 50 1732 1757
E 7520.118354726 0.0 13.0 15.0 50 50 1732 1757
H 7520.122062332 98.0 100.0 12.0 50 50 1731 1757
E 7520.167356854 0.0 13.0 15.0 50 50 1732 1757
H 7520.170947686 98.0 100.0 12.0 50 50 1732 1757
E 7520.216473306 0.0 14.0 15.0 50 50 1732 1757
H 7520.220061772 98.0 100.0 12.0 50 50 1732 1757
E 7520.275161866 0.0 14.0 15.0 50 50 1731 1757
H 7520.278840954 98.0 100.0 12.0 50 50 1732 1757
E 7520.324163854 0.0 14.0 15.0 50 50 1732 1757
H 7520.327754742 98.0 100.0 13.0 50 50 1732 1757
E 7520.373166346 0.0 13.0 15.0 50 50 1732 1757
H 7520.376873728 98.0 100.0 13.0 50 50 1732 1757
E 7520.422282574 0.0 14.0 16.0 50 50 1732 1757
H 7520.425870872 98.0 100.0 13.0 50 50 1732 1757
E 7520.480971274 0.0 13.0 16.0 50 50 1732 1758
H 7520.484559166 98.0 100.0 13.0 50 50 1731 1757
E 7520.529973458 0.0 13.0 16.0 50 50 1732 1757
H 7520.533652000 98.0 100.0 13.0 50 50 1731 1757
E 7520.578975782 0.0 13.0 16.0 50 50 1732 1758
H 7520.582566516 98.0 100.0 13.0 50 50 1732 1757
E 7520.628092080 0.0 13.0 17.0 50 50 1731 1757
H 7520.631797908 98.0 100.0 13.0 50 50 1732 1757
E 7520.686780766 0.0 14.0 16.0 50 50 1731 1757
H 7520.690371080 98.0 100.0 13.0 50 50 1732 1757
E 7520.735782922 0.0 14.0 16.0 50 50 1731 1757
H 7520.739373600 98.0 100.0 13.0 50 50 1731 1757
E 7520.784785022 0.0 14.0 16.0 50 50 1731 1757
H 7520.788463270 98.0 100.0 13.0 50 50 1732 1757
E 7520.834454922 0.0 14.0 16.0 50 50 1731 1757
H 7520.838045656 98.0 100.0 13.0 50 50 1732 1757
E 7520.892590006 0.0 13.0 16.0 50 50 1732 1757
H 7520.896296100 98.0 100.0 13.0 50 50 1731 1757
E 7520.941592120 0.0 13.0 16.0 50 50 1732 1757
H 7520.945180236 98.0 100.0 13.0 50 50 1731 1758
E 7521.010594416 0.0 14.0 16.0 50 50 1732 1757
H 7521.014092610 98.0 100.0 13.0 50 50 1732 1757
E 7521.059710924 0.0 14.0 16.0 50 50 1732 1757
H 7521.063300146 98.0 100.0 13.0 50 50 1732 1757
E 7521.118399400 0.0 14.0 15.0 50 50 1732 1757
H 7521.121989658 98.0 100.0 13.0 50 50 1732 1757
E 7521.167401542 0.0 14.0 15.0 50 50 1732 1757
H 7521.171109582 98.0 100.0 13.0 50 50 1732 1757
E 7521.216403796 0.0 14.0 15.0 50 50 1731 1757
H 7521.219994880 98.0 100.0 13.0 50 50 1732 1757
E 7521.265520206 0.0 13.0 15.0 50 50 1731 1757
H 7521.269111346 98.0 100.0 13.0 50 50 1731 1757
E 7521.324208780 0.0 13.0 15.0 50 50 1732 1757
H 7521.327886720 98.0 100.0 13.0 50 50 1731 1757
E 7521.373211006 0.0 13.0 15.0 50 50 1731 1757
H 7521.376801446 98.0 100.0 13.0 50 50 1732 1758
E 7521.422213414 0.0 14.0 16.0 50 50 1732 1758
H 7521.425918388 98.0 100.0 13.0 50 50 1731 1757
E 7521.471329684 0.0 14.0 16.0 50 50 1732 1757
H 7521.474920894 98.0 100.0 13.0 50 50 1731 1757
E 7521.530018118 0.0 14.0 16.0 50 50 1732 1757
H 7521.533606556 98.0 100.0 13.0 50 50 1731 1757
E 7521.579020498 0.0 14.0 15.0 50 50 1731 1757
H 7521.582697122 98.0 100.0 13.0 50 50 1731 1757
E 7521.628022696 0.0 14.0 15.0 50 50 1732 1757
H 7521.631612786 98.0 100.0 13.0 50 50 1731 1757
E 7521.677139064 0.0 13.0 16.0 50 50 1732 1757
H 7521.680846138 98.0 100.0 13.0 50 50 1732 1757
E 7521.735827666 0.0 13.0 15.0 50 50 1732 1757
H 7521.739418848 98.0 100.0 13.0 50 50 1731 1757
E 7521.784829990 0.0 13.0 15.0 50 50 1732 1758
H 7521.788421382 98.0 100.0 13.0 50 50 1731 1757
E 7521.833832132 0.0 13.0 16.0 50 50 1731 1757
H 7521.837510730 98.0 100.0 13.0 50 50 1731 1757
E 7521.882948556 0.0 13.0 16.0 50 50 1731 1757
H 7521.886539920 98.0 100.0 13.0 50 50 1732 1757
E 7521.941636962 0.0 14.0 16.0 50 50 1732 1757
H 7521.945344932 98.0 100.0 13.0 50 50 1731 1757
E 7522.010639258 0.0 14.0 16.0 50 50 1732 1757
H 7522.014140476 98.0 100.0 12.0 50 50 1731 1757
E 7522.059641498 0.0 14.0 16.0 50 50 1731 1757
H 7522.063143556 98.0 100.0 12.0 50 50 1731 1757
E 7522.108757866 0.0 14.0 16.0 50 50 1732 1757
H 7522.112435694 98.0 100.0 12.0 50 50 1731 1757
E 7522.167446510 0.0 14.0 15.0 50 50 1732 1757
H 7522.171037216 98.0 100.0 12.0 50 50 1732 1757
E 7522.216448792 0.0 14.0 16.0 50 50 1732 1757
H 7522.220156762 98.0 100.0 12.0 50 50 1732 1757
E 7522.265450976 0.0 14.0 16.0 50 50 1731 1757
H 7522.269036964 98.0 100.0 12.0 50 50 1732 1758
E 7522.314567330 0.0 13.0 16.0 50 50 1732 1757
H 7522.318158512 98.0 100.0 13.0 50 50 1732 1757
E 7522.373255750 0.0 13.0 16.0 50 50 1731 1757
H 7522.376934782 98.0 100.0 14.0 50 50 1732 1757
E 7522.422258032 0.0 13.0 15.0 50 50 1732 1757
H 7522.425850096 98.0 93.0 14.0 50 50 1731 1757
E 7522.471260314 0.0 13.0 15.0 50 50 1732 1757
H 7522.474967556 98.0 100.0 14.0 50 50 1732 1757
E 7522.520376682 0.0 13.0 15.0 50 50 1732 1757
H 7522.523967248 98.0 100.0 13.0 50 50 1731 1757
E 7522.579065088 0.0 13.0 15.0 50 50 1731 1757
H 7522.582655178 98.0 100.0 13.0 50 50 1731 1757
E 7522.628067468 0.0 13.0 15.0 50 50 1731 1757
H 7522.631745744 98.0 100.0 13.0 50 50 1732 1757
E 7522.677069708 0.0 13.0 15.0 50 50 1732 1757
H 7522.680660078 98.0 100.0 13.0 50 50 1732 1757
E 7522.726186230 0.0 13.0 15.0 50 50 1731 1757
H 7522.729894200 98.0 100.0 13.0 50 50 1731 1757
E 7522.784874846 0.0 13.0 15.0 50 50 1732 1757
H 7522.788466448 98.0 100.0 13.0 50 50 1732 1757
E 7522.833876890 0.0 14.0 15.0 50 50 1732 1757
H 7522.837468072 98.0 100.0 13.0 50 50 1731 1757
E 7522.882879088 0.0 13.0 15.0 50 50 1732 1757
H 7522.886557420 98.0 100.0 13.0 50 50 1732 1757
E 7522.932548890 0.0 13.0 15.0 50 50 1731 1757
H 7522.936139918 98.0 100.0 13.0 50 50 1731 1757
E 7523.010684156 0.0 13.0 15.0 50 50 1732 1757
H 7523.014302260 98.0 100.0 13.0 50 50 1732 1757
E 7523.059686354 0.0 13.0 15.0 50 50 1731 1757
H 7523.063188678 98.0 100.0 13.0 50 50 1731 1757
E 7523.108688524 0.0 13.0 15.0 50 50 1732 1757
H 7523.112279398 98.0 100.0 13.0 50 50 1732 1757
E 7523.157804990 0.0 13.0 15.0 50 50 1731 1757
H 7523.161483854 98.0 100.0 13.0 50 50 1731 1757
E 7523.216493452 0.0 14.0 15.0 50 50 1731 1757
H 7523.220082590 98.0 100.0 13.0 50 50 1731 1757
E 7523.265495636 0.0 14.0 15.0 50 50 1732 1757
H 7523.269203634 98.0 100.0 13.0 50 50 1732 1757
E 7523.314497974 0.0 14.0 15.0 50 50 1731 1757
H 7523.318084802 98.0 100.0 13.0 50 50 1732 1757
E 7523.363614426 0.0 13.0 16.0 50 50 1731 1757
H 7523.367205454 98.0 100.0 13.0 50 50 1731 1757
E 7523.422302944 0.0 13.0 16.0 50 50 1732 1757
H 7523.425981612 98.0 100.0 13.0 50 50 1731 1757
E 7523.471305016 0.0 13.0 16.0 50 50 1732 1757
H 7523.474895358 98.0 100.0 13.0 50 50 1731 1757
E 7523.520307326 0.0 13.0 15.0 50 50 1732 1757
H 7523.524013630 98.0 100.0 12.0 50 50 1732 1757
E 7523.569423792 0.0 14.0 16.0 50 50 1732 1757
H 7523.573015114 98.0 100.0 13.0 50 50 1732 1757
E 7523.628112170 0.0 14.0 16.0 50 50 1732 1757
H 7523.631703058 98.0 100.0 13.0 50 50 1732 1757
E 7523.677114592 0.0 14.0 16.0 50 50 1731 1757
H 7523.680793890 98.0 100.0 13.0 50 50 1731 1757
E 7523.726116790 0.0 14.0 16.0 50 50 1732 1757
H 7523.729708350 98.0 100.0 13.0 50 50 1731 1757
E 7523.775233186 0.0 14.0 16.0 50 50 1732 1757
H 7523.778938650 98.0 100.0 13.0 50 50 1732 1757
E 7523.833921844 0.0 14.0 16.0 50 50 1732 1757
H 7523.837512998 98.0 100.0 13.0 50 50 1731 1757
E 7523.882924042 0.0 14.0 15.0 50 50 1732 1757
H 7523.886512718 98.0 100.0 13.0 50 50 1731 1757
E 7523.931926268 0.0 14.0 15.0 50 50 1731 1757
H 7523.935605132 98.0 100.0 13.0 50 50 1731 1757
E 7524.001042678 0.0 14.0 15.0 50 50 1732 1757
H 7524.004454912 98.0 100.0 14.0 50 50 1732 1757
E 7524.059730902 0.0 14.0 16.0 50 50 1732 1757
H 7524.063348754 98.0 100.0 14.0 50 50 1732 1757
E 7524.108733282 0.0 13.0 15.0 50 50 1731 1757
H 7524.112324310 98.0 100.0 14.0 50 50 1732 1757
E 7524.157735634 0.0 13.0 15.0 50 50 1732 1757
H 7524.161326326 98.0 100.0 14.0 50 50 1732 1757
E 7524.206852128 0.0 13.0 15.0 50 50 1731 1757
H 7524.210530726 98.0 100.0 14.0 50 50 1732 1757
E 7524.265540506 0.0 13.0 14.0 50 50 1732 1757
H 7524.269129672 98.0 100.0 14.0 50 50 1732 1757
E 7524.314542662 0.0 13.0 15.0 50 50 1732 1757
H 7524.318249148 98.0 100.0 14.0 50 50 1731 1757
E 7524.363545084 0.0 13.0 15.0 50 50 1731 1757
H 7524.367136448 98.0 100.0 13.0 50 50 1732 1757
E 7524.412661438 0.0 13.0 15.0 50 50 1731 1757
H 7524.416253096 98.0 100.0 13.0 50 50 1731 1757
E 7524.471349844 0.0 13.0 15.0 50 50 1731 1757
H 7524.475028764 98.0 100.0 13.0 50 50 1731 1757
E 7524.520352042 0.0 13.0 15.0 50 50 1732 1757
H 7524.523941614 98.0 100.0 13.0 50 50 1731 1757
E 7524.569354240 0.0 13.0 15.0 50 50 1731 1757
H 7524.573061566 98.0 100.0 13.0 50 50 1732 1757
E 7524.618470930 0.0 13.0 15.0 50 50 1732 1757
H 7524.622061538 98.0 100.0 13.0 50 50 1731 1757
E 7524.677159196 0.0 13.0 15.0 50 50 1732 1757
H 7524.680751484 98.0 100.0 13.0 50 50 1732 1757
E 7524.726161478 0.0 13.0 15.0 50 50 1732 1757
H 7524.729840566 98.0 100.0 13.0 50 50 1732 1757
E 7524.775163844 0.0 13.0 15.0 50 50 1732 1757
H 7524.778755152 98.0 100.0 13.0 50 50 1731 1757
E 7524.824280310 0.0 13.0 15.0 50 50 1732 1757
H 7524.827987720 98.0 100.0 13.0 50 50 1731 1757
E 7524.882968744 0.0 13.0 15.0 50 50 1731 1757
H 7524.886560458 98.0 100.0 13.0 50 50 1732 1757
E 7524.931971012 0.0 13.0 15.0 50 50 1732 1757
H 7524.935560822 98.0 100.0 13.0 50 50 1732 1757
E 7525.000973336 0.0 14.0 15.0 50 50 1732 1757
H 7525.004384814 98.0 100.0 14.0 50 50 1731 1757
E 7525.050642928 0.0 14.0 15.0 50 50 1732 1757
H 7525.054144258 98.0 100.0 14.0 50 50 1731 1757
E 7525.108777956 0.0 14.0 15.0 50 50 1731 1757
H 7525.112485142 98.0 100.0 14.0 50 50 1731 1757
E 7525.157780406 0.0 14.0 15.0 50 50 1731 1757
H 7525.161370216 98.0 100.0 14.0 50 50 1731 1757
E 7525.206782534 0.0 13.0 15.0 50 50 1732 1757
H 7525.210372918 98.0 100.0 13.0 50 50 1732 1757
E 7525.255899000 0.0 13.0 15.0 50 50 1731 1757
H 7525.259576282 98.0 100.0 13.0 50 50 1731 1757
E 7525.314587574 0.0 13.0 15.0 50 50 1731 1757
H 7525.318179106 98.0 100.0 13.0 50 50 1732 1757
E 7525.363589772 0.0 13.0 16.0 50 50 1731 1757
H 7525.367298036 98.0 100.0 13.0 50 50 1731 1757
E 7525.412591914 0.0 13.0 16.0 50 50 1732 1757
H 7525.416180982 98.0 100.0 13.0 50 50 1731 1757
E 7525.461708464 0.0 13.0 16.0 50 50 1732 1757
H 7525.465299030 98.0 100.0 13.0 50 50 1732 1757
E 7525.520396996 0.0 13.0 16.0 50 50 1731 1757
H 7525.524075216 98.0 100.0 13.0 50 50 1732 1757
E 7525.569399236 0.0 13.0 16.0 50 50 1732 1757
H 7525.572990950 98.0 100.0 13.0 50 50 1732 1757
E 7525.618401476 0.0 12.0 15.0 50 50 1732 1757
H 7525.622109152 98.0 100.0 13.0 50 50 1732 1757
E 7525.667517732 0.0 12.0 15.0 50 50 1731 1757
H 7525.671109614 98.0 100.0 13.0 50 50 1731 1757
E 7525.726206306 0.0 13.0 15.0 50 50 1732 1757
H 7525.729797054 98.0 100.0 12.0 50 50 1732 1757
