device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value_0 daq_value_1
E 887.863848832 82.0 15.0 65.0 50 50 1747 1782
H 887.867437046 5.0 11.0 14.0 50 50 1748 1782
E 887.912851058 80.0 16.0 68.0 50 50 1747 1783
H 887.916441358 5.0 11.0 15.0 50 50 1747 1782
E 887.961966600 76.0 16.0 72.0 50 50 1747 1781
H 887.965556326 5.0 11.0 15.0 50 50 1747 1782
E 888.040655944 71.0 16.0 72.0 50 50 1747 1782
H 888.044285836 5.0 11.0 14.0 50 50 1748 1782
E 888.089658254 66.0 16.0 68.0 50 50 1749 1782
H 888.093155006 5.0 10.0 13.0 50 50 1748 1782
E 888.138660424 63.0 15.0 66.0 50 50 1748 1782
H 888.142250920 5.0 9.0 13.0 50 50 1748 1782
E 888.187775700 60.0 14.0 64.0 50 50 1749 1782
H 888.191490796 5.0 9.0 13.0 50 50 1749 1782
E 888.246465520 57.0 14.0 67.0 50 50 1749 1781
H 888.250053958 5.0 9.0 13.0 50 50 1749 1781
E 888.295467788 54.0 15.0 72.0 50 50 1750 1781
H 888.299188918 5.0 8.0 13.0 50 50 1750 1782
E 888.344469804 50.0 14.0 72.0 50 50 1750 1782
H 888.348059964 5.0 8.0 13.0 50 50 1750 1782
E 888.393586942 47.0 14.0 72.0 50 50 1750 1783
H 888.397275984 5.0 8.0 13.0 50 50 1750 1783
E 888.452274774 42.0 13.0 72.0 50 50 1751 1784
H 888.455865410 5.0 8.0 12.0 50 50 1751 1784
E 888.501277168 39.0 13.0 73.0 50 50 1750 1784
H 888.504864444 5.0 8.0 12.0 50 50 1750 1783
E 888.550279268 36.0 13.0 75.0 50 50 1750 1779
H 888.553999404 5.0 8.0 12.0 50 50 1751 1779
E 888.599396126 32.0 13.0 78.0 50 50 1751 1778
H 888.603079666 5.0 8.0 15.0 50 50 1750 1780
E 888.658084098 28.0 13.0 82.0 50 50 1749 1779
H 888.661671206 5.0 8.0 18.0 50 50 1750 1780
E 888.707086534 23.0 12.0 90.0 50 50 1749 1779
H 888.710675518 5.0 9.0 19.0 50 50 1749 1780
E 888.756088592 19.0 12.0 98.0 50 50 1749 1779
H 888.759809092 5.0 9.0 18.0 50 50 1748 1780
E 888.805203014 14.0 11.0 100.0 50 50 1748 1780
H 888.809066048 5.0 9.0 19.0 50 50 1748 1781
E 888.863893590 8.0 12.0 100.0 50 50 1747 1781
H 888.867572356 5.0 9.0 19.0 50 50 1749 1780
E 888.912895844 3.0 12.0 100.0 50 50 1749 1781
H 888.916575394 5.0 10.0 18.0 50 50 1748 1781
E 888.961898168 3.0 13.0 100.0 50 50 1748 1781
H 888.965796412 5.0 10.0 18.0 50 50 1748 1781
E 889.031566990 3.0 14.0 100.0 50 50 1749 1781
