device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T
E 7820.057747382 119.0 77.0 52.0 10 10
H 7820.061537868 0.0 23.0 16.0 10 10
E 7820.106749496 121.0 75.0 54.0 10 10
H 7820.110515482 0.0 23.0 16.0 10 10
E 7820.155865178 123.0 71.0 52.0 10 10
H 7820.159730956 0.0 23.0 16.0 10 10
E 7820.214554410 124.0 68.0 56.0 10 10
H 7820.218320508 0.0 22.0 16.0 10 10
E 7820.263556580 124.0 65.0 60.0 10 10
H 7820.267323308 0.0 22.0 16.0 10 10
E 7820.312558848 124.0 61.0 58.0 10 10
H 7820.316437534 0.0 23.0 16.0 10 10
E 7820.361674488 124.0 58.0 55.0 10 10
H 7820.365441776 0.0 23.0 16.0 10 10
E 7820.420363692 124.0 55.0 52.0 10 10
H 7820.424252472 0.0 23.0 15.0 10 10
E 7820.469366072 124.0 52.0 49.0 10 10
H 7820.473132268 0.0 22.0 15.0 10 10
E 7820.518368354 124.0 50.0 47.0 10 10
H 7820.522134886 0.0 22.0 14.0 10 10
E 7820.567484078 124.0 49.0 45.0 10 10
H 7820.571363870 0.0 21.0 14.0 10 10
E 7820.626173226 124.0 48.0 43.0 10 10
H 7820.629937896 0.0 22.0 15.0 10 10
E 7820.675175368 124.0 47.0 41.0 10 10
H 7820.679065688 0.0 22.0 15.0 10 10
E 7820.724177762 124.0 46.0 40.0 10 10
H 7820.727945022 0.0 22.0 15.0 10 10
E 7820.773293346 124.0 45.0 40.0 10 10
H 7820.777060410 0.0 22.0 15.0 10 10
E 7820.831982844 124.0 45.0 38.0 10 10
H 7820.835863308 0.0 22.0 15.0 10 10
E 7820.880984930 124.0 45.0 37.0 10 10
H 7820.884750650 0.0 22.0 15.0 10 10
E 7820.929987254 123.0 44.0 36.0 10 10
H 7820.933877602 0.0 22.0 15.0 10 10
E 7820.979102824 124.0 43.0 36.0 10 10
H 7821.002870070 0.0 22.0 15.0 10 10
E 7821.057792280 123.0 43.0 36.0 10 10
H 7821.061469478 0.0 21.0 15.0 10 10
E 7821.106794310 123.0 43.0 35.0 10 10
H 7821.110673122 0.0 21.0 15.0 10 10
E 7821.155796466 123.0 42.0 35.0 10 10
H 7821.159563054 0.0 21.0 15.0 10 10
E 7821.204911980 123.0 42.0 35.0 10 10
H 7821.208800662 0.0 22.0 14.0 10 10
E 7821.263601408 124.0 42.0 34.0 10 10
H 7821.267367422 0.0 21.0 14.0 10 10
E 7821.312603760 123.0 41.0 34.0 10 10
H 7821.316367422 0.0 21.0 14.0 10 10
E 7821.361605916 123.0 41.0 34.0 10 10
H 7821.365485554 0.0 21.0 14.0 10 10
E 7821.410721514 123.0 41.0 34.0 10 10
H 7821.414488046 0.0 21.0 14.0 10 10
E 7821.469410900 124.0 41.0 34.0 10 10
H 7821.473299960 0.0 21.0 14.0 10 10
E 7821.518413098 123.0 41.0 35.0 10 10
H 7821.522180106 0.0 20.0 14.0 10 10
E 7821.567415422 123.0 40.0 34.0 10 10
H 7821.571182192 0.0 20.0 14.0 10 10
E 7821.616531062 123.0 40.0 33.0 10 10
H 7821.620411008 0.0 20.0 14.0 10 10
E 7821.675220140 123.0 40.0 32.0 10 10
H 7821.678986210 0.0 20.0 14.0 10 10
E 7821.724222660 123.0 40.0 33.0 10 10
H 7821.728112560 0.0 21.0 14.0 10 10
E 7821.773224704 123.0 40.0 33.0 10 10
H 7821.776991404 0.0 21.0 14.0 10 10
E 7821.822340456 123.0 40.0 33.0 10 10
H 7821.826107282 0.0 21.0 14.0 10 10
E 7821.881029744 123.0 40.0 33.0 10 10
H 7821.884908990 0.0 21.0 15.0 10 10
E 7821.930031998 124.0 40.0 33.0 10 10
H 7821.933797186 0.0 21.0 15.0 10 10
E 7821.979034168 123.0 40.0 32.0 10 10
H 7822.002925328 0.0 21.0 15.0 10 10
E 7822.048899228 123.0 40.0 32.0 10 10
H 7822.052689798 0.0 21.0 15.0 10 10
E 7822.106839208 123.0 39.0 33.0 10 10
H 7822.110604956 0.0 21.0 14.0 10 10
E 7822.155841462 123.0 39.0 33.0 10 10
H 7822.159732496 0.0 21.0 14.0 10 10
E 7822.204843758 124.0 39.0 33.0 10 10
H 7822.208610150 0.0 21.0 14.0 10 10
E 7822.253959188 123.0 40.0 33.0 10 10
H 7822.257726616 0.0 21.0 14.0 10 10
E 7822.312648602 123.0 40.0 32.0 10 10
H 7822.316528940 0.0 21.0 14.0 10 10
E 7822.361650744 124.0 40.0 31.0 10 10
H 7822.365417486 0.0 21.0 14.0 10 10
E 7822.410652872 123.0 41.0 31.0 10 10
H 7822.414542954 0.0 21.0 14.0 10 10
E 7822.459768610 123.0 40.0 32.0 10 10
H 7822.463535380 0.0 21.0 14.0 10 10
E 7822.518457996 123.0 40.0 32.0 10 10
H 7822.522224850 0.0 21.0 15.0 10 10
E 7822.567460208 123.0 41.0 32.0 10 10
H 7822.571340000 0.0 21.0 15.0 10 10
E 7822.616462322 123.0 41.0 32.0 10 10
