device_type time pose Biceps_effort Triceps_effort Biceps_E_T Triceps_E_T
E 565.475075426 12.0 27.0 15.0 10 10
H 565.478674308 80.0 100.0 23.0 10 10
E 565.533014846 14.0 30.0 14.0 10 10
H 565.536516666 92.0 100.0 25.0 10 10
E 565.582017170 16.0 31.0 13.0 10 10
H 565.585518458 99.0 100.0 27.0 10 10
E 565.631019200 19.0 34.0 13.0 10 10
H 565.634517128 98.0 100.0 28.0 10 10
E 565.680135106 21.0 39.0 13.0 10 10
H 565.683929834 98.0 100.0 28.0 10 10
E 565.738824436 26.0 46.0 13.0 10 10
H 565.742327166 98.0 100.0 33.0 10 10
E 565.787826690 29.0 50.0 13.0 10 10
H 565.791329420 97.0 100.0 38.0 10 10
E 565.836828538 34.0 55.0 13.0 10 10
H 565.840432166 97.0 100.0 42.0 10 10
E 565.885945592 39.0 64.0 15.0 10 10
H 565.889764764 96.0 100.0 46.0 10 10
E 565.944633634 46.0 74.0 17.0 10 10
H 565.948224480 96.0 95.0 47.0 10 10
E 566.013635776 53.0 82.0 19.0 10 10
H 566.017232012 96.0 84.0 48.0 10 10
E 566.062638086 60.0 88.0 22.0 10 10
H 566.066258836 96.0 75.0 49.0 10 10
E 566.111754720 67.0 89.0 24.0 10 10
H 566.115541580 96.0 67.0 50.0 10 10
E 566.170443140 75.0 90.0 24.0 10 10
H 566.174130250 96.0 60.0 52.0 10 10
E 566.219445198 82.0 93.0 25.0 10 10
H 566.223157060 96.0 56.0 54.0 10 10
E 566.268447592 88.0 97.0 26.0 10 10
H 566.272038186 96.0 52.0 58.0 10 10
E 566.317564394 90.0 100.0 27.0 10 10
H 566.321524952 96.0 49.0 62.0 10 10
E 566.376252632 91.0 100.0 28.0 10 10
H 566.379931160 92.0 45.0 65.0 10 10
E 566.425254704 92.0 99.0 28.0 10 10
H 566.428844654 87.0 43.0 68.0 10 10
E 566.474256888 92.0 100.0 31.0 10 10
H 566.478023560 81.0 43.0 72.0 10 10
E 566.523373872 93.0 100.0 34.0 10 10
H 566.527628122 74.0 42.0 76.0 10 10
E 566.582061900 94.0 98.0 35.0 10 10
H 566.585748688 65.0 39.0 76.0 10 10
E 566.631064126 94.0 92.0 34.0 10 10
H 566.634653768 57.0 36.0 72.0 10 10
E 566.680066198 94.0 87.0 33.0 10 10
H 566.683652438 48.0 34.0 69.0 10 10
E 566.729183490 94.0 84.0 31.0 10 10
H 566.733069904 39.0 31.0 64.0 10 10
E 566.787871168 93.0 76.0 28.0 10 10
H 566.791461734 29.0 29.0 59.0 10 10
E 566.836873436 92.0 73.0 26.0 10 10
H 566.840552090 22.0 27.0 57.0 10 10
E 566.885875620 91.0 73.0 24.0 10 10
H 566.889564774 16.0 25.0 55.0 10 10
E 566.934992716 90.0 68.0 23.0 10 10
H 566.938775936 9.0 24.0 52.0 10 10
E 567.013680758 87.0 58.0 25.0 10 10
H 567.017270218 3.0 23.0 51.0 10 10
E 567.062682816 86.0 50.0 26.0 10 10
H 567.066271478 3.0 22.0 50.0 10 10
E 567.111685364 85.0 43.0 27.0 10 10
H 567.115276154 3.0 20.0 47.0 10 10
E 567.160801942 84.0 38.0 31.0 10 10
H 567.164711680 3.0 20.0 46.0 10 10
E 567.219490110 82.0 32.0 37.0 10 10
H 567.223077162 3.0 19.0 43.0 10 10
E 567.268492490 81.0 29.0 41.0 10 10
H 567.272082384 3.0 19.0 39.0 10 10
E 567.317494380 77.0 26.0 45.0 10 10
H 567.321182708 4.0 18.0 35.0 10 10
E 567.366611350 73.0 23.0 50.0 10 10
H 567.370483974 3.0 17.0 31.0 10 10
E 567.425299588 66.0 20.0 52.0 10 10
H 567.428976590 3.0 16.0 27.0 10 10
E 567.474301660 60.0 18.0 53.0 10 10
H 567.477891498 4.0 15.0 25.0 10 10
E 567.523303872 54.0 16.0 53.0 10 10
H 567.526892030 3.0 15.0 23.0 10 10
E 567.573167252 48.0 15.0 51.0 10 10
H 567.576885834 3.0 14.0 20.0 10 10
E 567.631108940 41.0 14.0 50.0 10 10
H 567.634610886 4.0 13.0 18.0 10 10
E 567.680111180 36.0 13.0 48.0 10 10
H 567.683612230 4.0 13.0 18.0 10 10
E 567.729113378 31.0 12.0 49.0 10 10
H 567.732615044 4.0 13.0 17.0 10 10
E 567.778229970 26.0 11.0 54.0 10 10
H 567.782025314 4.0 13.0 17.0 10 10
E 567.836918362 21.0 11.0 59.0 10 10
H 567.840418278 4.0 13.0 16.0 10 10
E 567.885920560 20.0 11.0 63.0 10 10
H 567.889422324 4.0 13.0 14.0 10 10
E 567.934922940 20.0 11.0 67.0 10 10
H 567.938513338 4.0 13.0 14.0 10 10
E 568.004039392 20.0 11.0 70.0 10 10
H 568.007689290 4.0 13.0 14.0 10 10
E 568.062727574 19.0 11.0 74.0 10 10
H 568.066138142 4.0 13.0 14.0 10 10
E 568.111729996 18.0 10.0 79.0 10 10
H 568.115320996 4.0 12.0 13.0 10 10
E 568.160732152 18.0 11.0 80.0 10 10
H 568.164362912 4.0 12.0 12.0 10 10
E 568.209848562 18.0 14.0 70.0 10 10
H 568.213546060 4.0 19.0 14.0 10 10
E 568.268537164 18.0 19.0 60.0 10 10
H 568.272216462 4.0 28.0 18.0 10 10
E 568.317539404 18.0 25.0 53.0 10 10
H 568.321231568 6.0 40.0 23.0 10 10
E 568.366541560 19.0 32.0 47.0 10 10
H 568.370132112 10.0 51.0 28.0 10 10
E 568.415658222 19.0 37.0 41.0 10 10
H 568.419568310 16.0 62.0 34.0 10 10
E 568.474346782 20.0 43.0 36.0 10 10
H 568.477937908 26.0 79.0 40.0 10 10
E 568.523348798 21.0 46.0 33.0 10 10
H 568.526939280 37.0 90.0 43.0 10 10
E 568.572350996 23.0 52.0 30.0 10 10
H 568.576043062 49.0 100.0 46.0 10 10
E 568.621467840 26.0 65.0 29.0 10 10
H 568.625351048 62.0 100.0 50.0 10 10
E 568.680155910 32.0 80.0 29.0 10 10
H 568.683842992 75.0 100.0 57.0 10 10
E 568.729158164 39.0 86.0 30.0 10 10
H 568.732748940 83.0 100.0 61.0 10 10
E 568.778160362 46.0 92.0 30.0 10 10
H 568.781750116 92.0 100.0 63.0 10 10
E 568.827277010 54.0 96.0 30.0 10 10
H 568.831151622 97.0 100.0 65.0 10 10
E 568.885965234 62.0 100.0 28.0 10 10
H 568.889643384 96.0 100.0 66.0 10 10
E 568.934967530 70.0 100.0 27.0 10 10
H 568.938742966 96.0 100.0 65.0 10 10
E 569.003969798 76.0 100.0 27.0 10 10
H 569.007588672 96.0 100.0 62.0 10 10
E 569.053086334 83.0 100.0 28.0 10 10
H 569.056866138 96.0 100.0 60.0 10 10
E 569.111774894 90.0 100.0 29.0 10 10
H 569.115541328 97.0 100.0 59.0 10 10
E 569.160776924 90.0 100.0 31.0 10 10
H 569.164543022 97.0 100.0 58.0 10 10
E 569.209779290 91.0 100.0 32.0 10 10
H 569.213456054 96.0 100.0 60.0 10 10
E 569.258895672 92.0 100.0 35.0 10 10
H 569.262858526 96.0 94.0 63.0 10 10
E 569.317584036 92.0 100.0 39.0 10 10
H 569.321262088 96.0 84.0 64.0 10 10
E 569.366586430 93.0 100.0 38.0 10 10
H 569.370263894 96.0 76.0 63.0 10 10
E 569.415588642 93.0 100.0 38.0 10 10
H 569.419355314 96.0 69.0 61.0 10 10
E 569.464704996 93.0 99.0 37.0 10 10
H 569.468613278 96.0 62.0 61.0 10 10
E 569.523393528 93.0 91.0 34.0 10 10
H 569.527107728 96.0 55.0 62.0 10 10
E 569.572396076 92.0 88.0 31.0 10 10
H 569.575986096 96.0 50.0 63.0 10 10
E 569.621398092 92.0 86.0 28.0 10 10
H 569.624988532 93.0 46.0 65.0 10 10
E 569.671261514 91.0 84.0 26.0 10 10
H 569.674949394 88.0 44.0 66.0 10 10
E 569.729202908 90.0 80.0 24.0 10 10
H 569.732790562 82.0 41.0 66.0 10 10
E 569.778205218 89.0 73.0 22.0 10 10
H 569.781795686 76.0 38.0 64.0 10 10
E 569.827207346 88.0 65.0 21.0 10 10
H 569.830796694 71.0 35.0 62.0 10 10
E 569.876324036 86.0 58.0 23.0 10 10
H 569.880233116 64.0 32.0 58.0 10 10
E 569.935012386 86.0 48.0 27.0 10 10
H 569.938722764 58.0 29.0 53.0 10 10
E 570.004014570 85.0 42.0 30.0 10 10
H 570.007524132 53.0 27.0 51.0 10 10
E 570.053016782 84.0 37.0 34.0 10 10
H 570.056511910 48.0 25.0 48.0 10 10
E 570.102133948 81.0 33.0 38.0 10 10
H 570.106062908 42.0 23.0 45.0 10 10
E 570.160821612 80.0 28.0 44.0 10 10
H 570.164411380 37.0 21.0 41.0 10 10
E 570.209824020 75.0 26.0 52.0 10 10
H 570.213410162 33.0 19.0 37.0 10 10
E 570.258826246 70.0 25.0 56.0 10 10
H 570.262514882 30.0 18.0 34.0 10 10
E 570.307943090 64.0 23.0 58.0 10 10
H 570.311822168 27.0 17.0 31.0 10 10
E 570.366631342 56.0 19.0 59.0 10 10
H 570.370221712 24.0 16.0 27.0 10 10
E 570.415633302 50.0 18.0 59.0 10 10
H 570.419321266 23.0 15.0 24.0 10 10
E 570.464635626 43.0 18.0 62.0 10 10
H 570.468355034 23.0 15.0 22.0 10 10
E 570.513750874 37.0 17.0 67.0 10 10
