device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value
E 1830.887850250 93.0 7.0 4.0 20 20 1767
H 1830.891272508 83.0 26.0 52.0 20 20 1767
E 1830.936967430 93.0 7.0 4.0 20 20 1767
H 1830.940294292 80.0 26.0 56.0 20 20 1766
E 1831.015796858 93.0 7.0 4.0 20 20 1766
H 1831.019034946 75.0 26.0 62.0 20 20 1766
E 1831.064659322 93.0 7.0 5.0 20 20 1768
H 1831.068040644 70.0 27.0 64.0 20 20 1768
E 1831.113760388 92.0 7.0 5.0 20 20 1768
H 1831.117087348 65.0 27.0 65.0 20 20 1767
E 1831.163332050 93.0 7.0 5.0 20 20 1768
H 1831.166754686 60.0 28.0 65.0 20 20 1766
E 1831.221610326 93.0 7.0 5.0 20 20 1766
H 1831.224937636 54.0 27.0 63.0 20 20 1763
E 1831.270468534 93.0 7.0 5.0 20 20 1764
H 1831.273938434 49.0 25.0 61.0 20 20 1765
E 1831.319473952 93.0 7.0 5.0 20 20 1766
H 1831.322801556 45.0 23.0 56.0 20 20 1768
E 1831.368689804 93.0 7.0 5.0 20 20 1766
H 1831.372017002 41.0 21.0 52.0 20 20 1764
E 1831.427378070 93.0 7.0 5.0 20 20 1765
H 1831.430704162 37.0 18.0 47.0 20 20 1764
E 1831.476282996 93.0 7.0 4.0 20 20 1766
H 1831.479709062 34.0 16.0 43.0 20 20 1767
E 1831.525428848 93.0 7.0 4.0 20 20 1767
H 1831.528756452 31.0 14.0 39.0 20 20 1768
E 1831.574401688 93.0 7.0 4.0 20 20 1767
H 1831.577871756 29.0 13.0 35.0 20 20 1767
E 1831.633088988 93.0 7.0 4.0 20 20 1766
H 1831.636556312 27.0 11.0 31.0 20 20 1767
E 1831.682094364 93.0 7.0 4.0 20 20 1766
H 1831.685418286 26.0 11.0 32.0 20 20 1766
E 1831.731195234 93.0 7.0 4.0 20 20 1767
H 1831.734522628 24.0 11.0 35.0 20 20 1770
E 1831.780212090 93.0 7.0 4.0 20 20 1770
H 1831.783636616 21.0 12.0 36.0 20 20 1770
E 1831.838904066 93.0 7.0 4.0 20 20 1770
H 1831.842407482 18.0 15.0 34.0 20 20 1770
E 1831.888049862 93.0 7.0 4.0 20 20 1767
H 1831.891375128 17.0 15.0 31.0 20 20 1767
E 1831.936908700 93.0 7.0 4.0 20 20 1767
H 1831.940377886 18.0 15.0 29.0 20 20 1766
E 1832.006024858 93.0 7.0 4.0 20 20 1766
H 1832.009173206 18.0 16.0 27.0 20 20 1766
E 1832.064842134 93.0 7.0 4.0 20 20 1767
H 1832.068080306 19.0 17.0 25.0 20 20 1770
E 1832.113712564 93.0 7.0 4.0 20 20 1770
H 1832.117169612 20.0 17.0 22.0 20 20 1772
E 1832.162859984 93.0 6.0 4.0 20 20 1771
H 1832.166187798 20.0 16.0 21.0 20 20 1771
E 1832.211834154 93.0 6.0 4.0 20 20 1772
H 1832.215305146 20.0 17.0 19.0 20 20 1771
E 1832.270522042 93.0 6.0 4.0 20 20 1772
H 1832.273990864 20.0 18.0 17.0 20 20 1772
E 1832.319525066 93.0 7.0 4.0 20 20 1771
H 1832.322851326 20.0 18.0 17.0 20 20 1772
E 1832.368668678 93.0 7.0 4.0 20 20 1772
H 1832.371996562 20.0 19.0 19.0 20 20 1772
E 1832.417642666 93.0 7.0 4.0 20 20 1772
H 1832.421111992 20.0 23.0 22.0 20 20 1772
E 1832.476329574 93.0 7.0 4.0 20 20 1772
H 1832.479796254 21.0 27.0 28.0 20 20 1773
E 1832.525476700 93.0 7.0 4.0 20 20 1772
H 1832.528803590 21.0 28.0 33.0 20 20 1773
E 1832.574336756 93.0 7.0 4.0 20 20 1773
H 1832.577807174 21.0 32.0 34.0 20 20 1773
E 1832.623451990 93.0 7.0 4.0 20 20 1773
H 1832.626779398 21.0 35.0 34.0 20 20 1771
E 1832.682282524 93.0 7.0 4.0 20 20 1771
H 1832.685608014 21.0 38.0 34.0 20 20 1770
E 1832.731144106 93.0 6.0 4.0 20 20 1770
H 1832.734612718 21.0 47.0 34.0 20 20 1766
E 1832.780289608 93.0 6.0 4.0 20 20 1773
H 1832.783616022 21.0 55.0 34.0 20 20 1772
E 1832.829261678 93.0 6.0 4.0 20 20 1773
H 1832.832732782 23.0 59.0 37.0 20 20 1771
E 1832.887950574 93.0 6.0 4.0 20 20 1771
H 1832.891420250 29.0 65.0 41.0 20 20 1770
E 1832.936952954 93.0 7.0 4.0 20 20 1772
H 1832.940280670 34.0 69.0 41.0 20 20 1768
E 1833.006057240 93.0 7.0 4.0 20 20 1772
H 1833.009204916 40.0 70.0 42.0 20 20 1772
E 1833.055071114 93.0 7.0 4.0 20 20 1773
H 1833.058410156 45.0 66.0 44.0 20 20 1774
E 1833.113903748 93.0 7.0 4.0 20 20 1772
H 1833.117231324 50.0 58.0 41.0 20 20 1770
E 1833.162762712 93.0 6.0 4.0 20 20 1770
H 1833.166234180 50.0 50.0 37.0 20 20 1767
E 1833.211764462 93.0 6.0 4.0 20 20 1765
