device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value
E 1818.593262558 108.0 49.0 15.0 30 30 1752
H 1818.597030224 97.0 74.0 20.0 30 30 1752
E 1818.642164180 109.0 48.0 15.0 30 30 1752
H 1818.646130044 96.0 74.0 21.0 30 30 1751
E 1818.700967904 110.0 47.0 14.0 30 30 1751
H 1818.705030536 97.0 76.0 22.0 30 30 1752
E 1818.759884202 111.0 48.0 14.0 30 30 1751
H 1818.763651056 97.0 78.0 23.0 30 30 1752
E 1818.818665316 112.0 49.0 14.0 30 30 1752
H 1818.822530338 97.0 78.0 24.0 30 30 1751
E 1818.867766984 112.0 48.0 14.0 30 30 1749
H 1818.871534972 97.0 74.0 25.0 30 30 1749
E 1818.916580224 112.0 46.0 13.0 30 30 1749
H 1818.920634246 97.0 70.0 25.0 30 30 1748
E 1818.965696914 112.0 44.0 13.0 30 30 1748
H 1818.969552822 97.0 68.0 24.0 30 30 1748
E 1819.044386356 112.0 42.0 12.0 30 30 1749
H 1819.048346256 97.0 65.0 24.0 30 30 1749
E 1819.093388008 112.0 41.0 12.0 30 30 1750
H 1819.097377476 96.0 64.0 23.0 30 30 1752
E 1819.142391886 111.0 40.0 12.0 30 30 1749
H 1819.146345276 97.0 64.0 23.0 30 30 1748
E 1819.191635164 111.0 39.0 12.0 30 30 1747
H 1819.195403516 96.0 62.0 22.0 30 30 1747
E 1819.250198270 111.0 37.0 11.0 30 30 1748
H 1819.254286592 97.0 59.0 22.0 30 30 1747
E 1819.299201196 111.0 36.0 11.0 30 30 1750
H 1819.303065980 97.0 56.0 22.0 30 30 1754
E 1819.358004836 111.0 35.0 10.0 30 30 1752
H 1819.361868542 96.0 51.0 22.0 30 30 1752
E 1819.407263920 111.0 33.0 10.0 30 30 1755
H 1819.411031628 96.0 48.0 21.0 30 30 1755
E 1819.465933006 111.0 31.0 9.0 30 30 1755
H 1819.469862932 96.0 45.0 20.0 30 30 1756
E 1819.514936940 111.0 30.0 9.0 30 30 1757
H 1819.518722582 96.0 43.0 20.0 30 30 1755
E 1819.563939824 111.0 29.0 9.0 30 30 1756
H 1819.567727958 96.0 40.0 20.0 30 30 1759
E 1819.622856388 111.0 28.0 9.0 30 30 1761
H 1819.626545640 96.0 37.0 19.0 30 30 1762
E 1819.681692466 111.0 28.0 8.0 30 30 1760
H 1819.685381844 96.0 35.0 18.0 30 30 1764
E 1819.730550212 111.0 27.0 8.0 30 30 1766
H 1819.734379086 96.0 33.0 17.0 30 30 1768
E 1819.779555588 111.0 25.0 7.0 30 30 1766
H 1819.783486802 96.0 31.0 16.0 30 30 1770
E 1819.828671662 111.0 23.0 7.0 30 30 1768
H 1819.832360578 96.0 30.0 16.0 30 30 1767
E 1819.887361440 110.0 22.0 7.0 30 30 1766
H 1819.891149182 96.0 31.0 16.0 30 30 1770
E 1819.946164772 110.0 20.0 6.0 30 30 1764
H 1819.949953354 95.0 31.0 16.0 30 30 1767
E 1820.015167418 110.0 18.0 6.0 30 30 1772
H 1820.018669994 95.0 32.0 16.0 30 30 1773
E 1820.064281798 109.0 17.0 6.0 30 30 1774
H 1820.067980612 95.0 33.0 15.0 30 30 1774
E 1820.122971338 109.0 15.0 6.0 30 30 1775
H 1820.126759108 95.0 33.0 15.0 30 30 1777
E 1820.171976896 109.0 14.0 5.0 30 30 1779
H 1820.175759724 95.0 32.0 15.0 30 30 1780
E 1820.230779570 108.0 13.0 5.0 30 30 1780
H 1820.234562286 95.0 30.0 16.0 30 30 1780
E 1820.289696512 108.0 11.0 5.0 30 30 1781
H 1820.293385848 95.0 29.0 17.0 30 30 1781
E 1820.348526374 107.0 10.0 5.0 30 30 1785
H 1820.352215850 95.0 29.0 16.0 30 30 1785
E 1820.397389454 107.0 10.0 5.0 30 30 1784
H 1820.401221800 95.0 28.0 16.0 30 30 1783
E 1820.446392688 107.0 9.0 5.0 30 30 1786
H 1820.449808828 95.0 26.0 15.0 30 30 1789
E 1820.496062196 107.0 9.0 5.0 30 30 1790
H 1820.499474192 95.0 24.0 14.0 30 30 1790
E 1820.554068676 107.0 8.0 5.0 30 30 1792
H 1820.557483234 95.0 21.0 13.0 30 30 1790
E 1820.603215998 107.0 7.0 5.0 30 30 1790
H 1820.606630668 95.0 19.0 12.0 30 30 1790
E 1820.652218644 107.0 7.0 6.0 30 30 1789
H 1820.655633482 95.0 20.0 12.0 30 30 1787
E 1820.701333836 106.0 7.0 6.0 30 30 1789
H 1820.704940936 95.0 22.0 12.0 30 30 1792
E 1820.760025308 106.0 6.0 8.0 30 30 1788
H 1820.763438382 95.0 25.0 12.0 30 30 1785
E 1820.809027534 105.0 6.0 9.0 30 30 1781
H 1820.812440118 95.0 26.0 12.0 30 30 1779
E 1820.858030222 105.0 6.0 10.0 30 30 1778
H 1820.861812112 95.0 27.0 12.0 30 30 1779
E 1820.907004994 105.0 6.0 10.0 30 30 1778
H 1820.910834134 95.0 29.0 13.0 30 30 1779
E 1820.965694240 104.0 6.0 11.0 30 30 1781
H 1820.969283182 95.0 31.0 13.0 30 30 1784
E 1821.034697558 104.0 7.0 12.0 30 30 1787
H 1821.038199238 95.0 31.0 14.0 30 30 1789
E 1821.083842612 104.0 7.0 15.0 30 30 1790
H 1821.087345328 95.0 31.0 13.0 30 30 1790
E 1821.132959750 103.0 7.0 18.0 30 30 1793
H 1821.136648092 95.0 32.0 14.0 30 30 1792
E 1821.191506770 103.0 7.0 19.0 30 30 1799
H 1821.195436290 95.0 32.0 14.0 30 30 1801
E 1821.250310158 103.0 8.0 20.0 30 30 1806
