device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value
E 1848.917872676 92.0 8.0 4.0 30 30 1783
H 1848.921396266 97.0 82.0 24.0 30 30 1786
E 1848.976675266 92.0 9.0 4.0 30 30 1790
H 1849.000284718 97.0 82.0 23.0 30 30 1790
E 1849.045791284 92.0 9.0 5.0 30 30 1792
H 1849.049367192 97.0 80.0 22.0 30 30 1794
E 1849.104480264 92.0 8.0 5.0 30 30 1795
H 1849.108145968 97.0 76.0 23.0 30 30 1796
E 1849.153482560 91.0 8.0 6.0 30 30 1798
H 1849.157006500 97.0 76.0 25.0 30 30 1801
E 1849.202484716 91.0 8.0 7.0 30 30 1803
H 1849.205900352 97.0 75.0 27.0 30 30 1801
E 1849.251600636 91.0 8.0 8.0 30 30 1809
H 1849.255266998 97.0 74.0 29.0 30 30 1809
E 1849.310289686 90.0 8.0 10.0 30 30 1812
H 1849.314132420 97.0 75.0 30.0 30 30 1808
E 1849.359291884 89.0 8.0 13.0 30 30 1812
H 1849.362991426 97.0 76.0 29.0 30 30 1813
E 1849.408294124 88.0 8.0 16.0 30 30 1819
H 1849.412084078 97.0 76.0 28.0 30 30 1817
E 1849.457409918 88.0 8.0 18.0 30 30 1817
H 1849.461198710 97.0 77.0 28.0 30 30 1819
E 1849.516099094 87.0 8.0 22.0 30 30 1817
H 1849.519744400 97.0 80.0 28.0 30 30 1821
E 1849.565101334 86.0 8.0 25.0 30 30 1819
H 1849.568603028 97.0 83.0 30.0 30 30 1822
E 1849.614103658 86.0 8.0 28.0 30 30 1823
H 1849.617606766 97.0 84.0 31.0 30 30 1823
E 1849.663219452 86.0 9.0 32.0 30 30 1823
H 1849.667058630 97.0 85.0 30.0 30 30 1822
E 1849.721908376 85.0 10.0 36.0 30 30 1823
H 1849.725925872 97.0 89.0 31.0 30 30 1822
E 1849.780711106 85.0 10.0 40.0 30 30 1822
H 1849.784389172 97.0 89.0 32.0 30 30 1820
E 1849.829713416 83.0 11.0 43.0 30 30 1820
H 1849.833481460 97.0 87.0 33.0 30 30 1819
E 1849.878829448 79.0 11.0 43.0 30 30 1816
H 1849.883085434 97.0 87.0 34.0 30 30 1811
E 1849.937518274 74.0 11.0 43.0 30 30 1805
H 1849.941296272 97.0 87.0 32.0 30 30 1801
E 1850.006520514 71.0 12.0 47.0 30 30 1797
H 1850.010020472 97.0 86.0 31.0 30 30 1786
E 1850.055522894 66.0 12.0 51.0 30 30 1784
H 1850.059113110 97.0 85.0 31.0 30 30 1778
E 1850.105389116 62.0 12.0 53.0 30 30 1765
H 1850.109164916 97.0 84.0 32.0 30 30 1761
E 1850.163327752 56.0 13.0 55.0 30 30 1753
H 1850.167095936 97.0 84.0 32.0 30 30 1743
E 1850.212330076 52.0 13.0 57.0 30 30 1741
H 1850.216107178 97.0 80.0 32.0 30 30 1738
E 1850.261332400 47.0 14.0 59.0 30 30 1738
H 1850.265012188 97.0 76.0 31.0 30 30 1738
E 1850.310448138 43.0 15.0 64.0 30 30 1740
H 1850.314603324 97.0 74.0 30.0 30 30 1741
E 1850.369137244 36.0 16.0 74.0 30 30 1741
H 1850.372816248 97.0 73.0 29.0 30 30 1739
E 1850.418139358 31.0 16.0 79.0 30 30 1739
H 1850.421818432 97.0 74.0 27.0 30 30 1737
E 1850.467141626 24.0 17.0 86.0 30 30 1736
H 1850.470909054 97.0 75.0 27.0 30 30 1737
E 1850.516257546 18.0 18.0 92.0 30 30 1737
H 1850.520513238 97.0 78.0 26.0 30 30 1739
E 1850.574946512 9.0 20.0 100.0 30 30 1737
H 1850.578808118 97.0 81.0 25.0 30 30 1738
