device_type time pose pose-last_pose vel comanded_vel Nocap_C_vel
E 400.293697978 1.0 2.0 0.0 0 0
H 400.297547572 1.0 2.0 0.0 0 0
E 400.342700078 1.0 0.0 0.0 0 0
H 400.346793286 1.0 0.0 0.0 0 0
E 400.401502738 1.0 0.0 0.0 0 0
H 400.405353760 1.0 0.0 0.0 0 0
E 400.460505052 1.0 0.0 0.0 0 0
H 400.464349690 1.0 0.0 0.0 0 0
E 400.519108268 1.0 0.0 0.0 0 0
H 400.522960382 1.0 0.0 0.0 0 0
E 400.577910928 2.0 1.0 17.0060334005387 0 0
H 400.581761670 1.0 0.0 0.0 0 0
E 400.626913126 1.0 -1.0 -20.407247854481124 0 0
H 400.631012046 1.0 0.0 0.0 0 0
E 400.686382438 1.0 0.0 0.0 0 0
H 400.690230632 1.0 0.0 0.0 0 0
E 400.744606730 2.0 1.0 17.174961955748515 0 0
H 400.748460314 1.0 0.0 0.0 0 0
E 400.793520644 1.0 -1.0 -20.444080594317064 0 0
H 400.797373444 1.0 0.0 0.0 0 0
E 400.852323514 2.0 1.0 17.00597266767061 0 0
H 400.856177518 1.0 0.0 0.0 0 0
E 400.901438762 1.0 -1.0 -20.360275896389098 0 0
H 400.905539740 1.0 0.0 0.0 0 0
E 400.960128302 1.0 0.0 0.0 0 0
H 400.963981130 1.0 0.0 0.0 0 0
E 401.039019064 1.0 0.0 0.0 0 0
H 401.042786828 1.0 0.0 0.0 0 0
E 401.087933314 1.0 0.0 0.0 0 0
H 401.091817796 1.0 0.0 0.0 0 0
E 401.137048646 1.0 0.0 0.0 0 0
H 401.140893998 1.0 0.0 0.0 0 0
E 401.195742400 1.0 0.0 0.0 0 0
H 401.199718190 1.0 0.0 0.0 0 0
E 401.244740412 1.0 0.0 0.0 0 0
H 401.248588634 1.0 0.0 0.0 0 0
E 401.303547286 1.0 0.0 0.0 0 0
H 401.307396796 1.0 0.0 0.0 0 0
E 401.352658586 1.0 0.0 0.0 0 0
H 401.356636448 1.0 0.0 0.0 0 0
E 401.411348000 1.0 0.0 0.0 0 0
H 401.415201542 1.0 0.0 0.0 0 0
E 401.460354384 1.0 0.0 0.0 0 0
H 401.464331420 1.0 0.0 0.0 0 0
E 401.509352606 2.0 1.0 20.408903816973044 0 0
H 401.513200814 1.0 0.0 0.0 0 0
E 401.568272670 1.0 -1.0 -16.97214721287304 0 0
H 401.572125974 1.0 0.0 0.0 0 0
E 401.626957828 1.0 0.0 0.0 0 0
H 401.630931364 1.0 0.0 0.0 0 0
E 401.685760558 1.0 0.0 0.0 0 0
H 401.689613820 1.0 0.0 0.0 0 0
E 401.744567320 1.0 0.0 0.0 0 0
H 401.748540716 1.0 0.0 0.0 0 0
E 401.793678732 1.0 0.0 0.0 0 0
H 401.797529824 1.0 0.0 0.0 0 0
E 401.852372248 1.0 0.0 0.0 0 0
H 401.856224992 1.0 0.0 0.0 0 0
E 401.901370414 2.0 1.0 20.408927142297674 0 0
H 401.905341374 1.0 0.0 0.0 0 0
E 401.960173088 1.0 -1.0 -17.006029351660757 0 0
H 401.964022052 1.0 0.0 0.0 0 0
E 402.029292732 1.0 0.0 0.0 0 0
H 402.033180798 1.0 0.0 0.0 0 0
E 402.087978100 1.0 0.0 0.0 0 0
H 402.091742266 1.0 0.0 0.0 0 0
E 402.136984470 1.0 0.0 0.0 0 0
H 402.140839314 1.0 0.0 0.0 0 0
E 402.185982426 1.0 0.0 0.0 0 0
H 402.189956886 1.0 0.0 0.0 0 0
E 402.235097926 1.0 0.0 0.0 0 0
H 402.238943782 1.0 0.0 0.0 0 0
E 402.293791638 1.0 0.0 0.0 0 0
H 402.297768408 1.0 0.0 0.0 0 0
E 402.352590098 1.0 0.0 0.0 0 0
