"device type" time pose "pose - last_pose" vel "comanded vel" "Nocap C_vel"
E 1404.893255342 9.0 0.0 -81.4375287422393 -339.77333333333337 -100
H 1404.896758226 13.0 0.0 -163.16791818526735 -100 -100
E 1404.951942642 4.0 0.0 -85.19730844666911 -349.7666666666667 -100
H 1404.955445652 3.0 0.0 -170.3942510615306 -100 -100
E 1405.020944966 3.0 0.0 -14.492265506896295 -379.74666666666667 -100
H 1405.024357326 3.0 0.0 0.0 -100 -100
E 1405.069947360 3.0 0.0 0.0 -419.72 -100
H 1405.073360518 3.0 0.0 0.0 -100 -100
E 1405.119064638 4.0 0.0 20.359434413266776 -439.7066666666667 -100
H 1405.122772944 3.0 0.0 0.0 -100 -100
E 1405.177752358 3.0 0.0 -17.039339746074855 -399.73333333333335 -100
H 1405.181255396 2.0 0.0 -17.099146253267477 -100 -100
E 1405.226754430 4.0 0.0 20.40730032798464 -329.78000000000003 -100
H 1405.230257132 2.0 0.0 0.0 -100 -100
E 1405.275756600 4.0 0.0 0.0 -299.8 -100
H 1405.279256516 2.0 0.0 0.0 -100 -100
E 1405.324874144 3.0 0.0 -20.359324155151423 -289.8066666666667 -100
H 1405.328466418 2.0 0.0 0.0 -100 -100
E 1405.383561696 4.0 0.0 17.039388523129386 -249.83333333333334 -100
H 1405.387094596 2.0 0.0 0.0 -100 -100
E 1405.432564006 4.0 0.0 0.0 -179.88000000000002 -100
H 1405.435977668 2.0 0.0 0.0 -100 -100
E 1405.481566022 4.0 0.0 0.0 -129.91333333333336 -100
H 1405.485069060 2.0 0.0 0.0 -100 -100
E 1405.530683524 4.0 0.0 0.0 -79.94666666666667 -79.94666666666667
H 1405.534216256 2.0 0.0 0.0 -100 -100
E 1405.589370838 4.0 0.0 0.0 -39.973333333333336 -39.973333333333336
H 1405.592783142 2.0 0.0 0.0 -100 -100
E 1405.638373372 4.0 0.0 0.0 0 0
H 1405.641787734 3.0 0.0 20.406250908047394 -100 -100
E 1405.687375472 4.0 0.0 0.0 0 0
H 1405.690879000 3.0 0.0 0.0 -100 -100
E 1405.736493086 4.0 0.0 0.0 0 0
H 1405.739908092 3.0 0.0 0.0 -100 -100
E 1405.795180386 4.0 0.0 0.0 0 0
H 1405.798770840 3.0 0.0 0.0 -100 -100
E 1405.844182486 4.0 0.0 0.0 0 0
H 1405.847994938 3.0 0.0 0.0 -100 -100
E 1405.893185048 5.0 0.0 20.40709626563106 0 0
H 1405.896775516 3.0 0.0 0.0 -100 -100
E 1405.942302592 6.0 0.0 20.359324155151423 0 0
H 1405.945893438 3.0 0.0 0.0 -100 -100
E 1406.020989654 6.0 0.0 0.0 39.973333333333336 39.973333333333336
H 1406.024403064 4.0 0.0 12.737291602957072 -100 -100
E 1406.069992146 9.0 0.0 61.221376251640905 99.93333333333334 99.93333333333334
H 1406.073406298 4.0 0.0 0.0 -100 -100
E 1406.118994134 11.0 0.0 40.81467062103516 139.90666666666667 100
H 1406.122584406 3.0 0.0 -20.33425116721535 -100 -100
E 1406.168111916 14.0 0.0 61.07767651242285 169.88666666666668 100
H 1406.171821650 4.0 0.0 20.30982887665369 -100 -100
E 1406.226799356 18.0 0.0 68.15768416563563 279.81333333333333 100
H 1406.230390090 4.0 0.0 0.0 -100 -100
E 1406.275801414 22.0 0.0 81.62922463372013 379.74666666666667 100
H 1406.279493480 4.0 0.0 0.0 -100 -100
E 1406.324803696 27.0 0.0 102.03606436135846 429.71333333333337 100
H 1406.328394570 4.0 0.0 0.0 -100 -100
E 1406.373920974 33.0 0.0 122.15660647960065 409.7266666666667 100
H 1406.377511638 4.0 0.0 0.0 -49.96666666666667 -49.96666666666667
E 1406.432608750 39.0 0.0 102.23594092205227 369.7533333333334 100
H 1406.436323258 4.0 0.0 0.0 0 0
E 1406.481610794 43.0 0.0 81.62924795551501 369.7533333333334 100
H 1406.485113426 4.0 0.0 0.0 0 0
E 1406.530613104 48.0 0.0 102.0360060579277 349.7666666666667 100
H 1406.534214534 5.0 0.0 20.3661391917836 0 0
E 1406.579730788 52.0 0.0 81.43706449991835 319.7866666666667 100
H 1406.583377354 6.0 0.0 20.340574442234132 0 0
E 1406.638417948 56.0 0.0 68.15800934981068 299.8 100
