device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value_0 daq_value_1
E 9777.542965682 0.0 12.0 16.0 50 50 1732 1757
H 9777.546644784 98.0 100.0 14.0 50 50 1732 1757
E 9777.601653990 0.0 12.0 16.0 50 50 1732 1757
H 9777.605244066 98.0 100.0 14.0 50 50 1732 1757
E 9777.650656356 0.0 12.0 15.0 50 50 1731 1757
H 9777.654362870 98.0 100.0 13.0 50 50 1732 1757
E 9777.699658610 0.0 12.0 15.0 50 50 1731 1757
H 9777.703247090 98.0 100.0 13.0 50 50 1732 1757
E 9777.748775174 0.0 13.0 15.0 50 50 1731 1757
H 9777.752366678 98.0 100.0 13.0 50 50 1732 1757
E 9777.807463412 0.0 13.0 15.0 50 50 1732 1757
H 9777.811141352 98.0 100.0 13.0 50 50 1732 1757
E 9777.856465778 0.0 13.0 16.0 50 50 1731 1757
H 9777.860056890 98.0 100.0 13.0 50 50 1732 1757
E 9777.905468116 0.0 13.0 16.0 50 50 1732 1757
H 9777.909175120 98.0 100.0 13.0 50 50 1731 1757
E 9777.954584442 0.0 13.0 16.0 50 50 1731 1757
H 9777.958175988 98.0 100.0 13.0 50 50 1732 1757
E 9778.033272960 0.0 13.0 17.0 50 50 1732 1757
H 9778.036774556 98.0 100.0 13.0 50 50 1732 1757
E 9778.082275032 0.0 13.0 17.0 50 50 1731 1757
H 9778.085864254 98.0 100.0 13.0 50 50 1731 1757
E 9778.131277328 0.0 13.0 17.0 50 50 1731 1758
H 9778.134869672 98.0 100.0 13.0 50 50 1732 1757
E 9778.180393934 0.0 13.0 16.0 50 50 1732 1758
H 9778.184100364 98.0 100.0 13.0 50 50 1732 1757
E 9778.239082340 0.0 13.0 16.0 50 50 1731 1757
H 9778.242672584 98.0 100.0 13.0 50 50 1732 1757
E 9778.288084538 0.0 13.0 16.0 50 50 1732 1757
H 9778.291674796 98.0 100.0 13.0 50 50 1731 1757
E 9778.337086736 0.0 14.0 16.0 50 50 1731 1757
H 9778.340764536 98.0 100.0 13.0 50 50 1731 1757
E 9778.386203384 0.0 14.0 16.0 50 50 1740 1757
H 9778.389794552 98.0 100.0 13.0 50 50 1766 1757
E 9778.444891706 0.0 14.0 16.0 50 50 1778 1757
H 9778.448599284 98.0 100.0 13.0 50 50 1796 1757
E 9778.493894156 0.0 14.0 16.0 50 50 1805 1757
