device_type time pose Biceps_effort Triceps_effort Biceps_E_T Triceps_E_T
E 1638.390772368 0.0 100.0 100.0 10 10
H 1638.394837520 1.0 100.0 100.0 10 10
E 1638.449575000 0.0 100.0 100.0 10 10
H 1638.453624556 1.0 100.0 100.0 10 10
E 1638.508491564 0.0 100.0 100.0 10 10
H 1638.512433222 1.0 100.0 100.0 10 10
E 1638.567395710 0.0 100.0 100.0 10 10
H 1638.571334610 1.0 100.0 100.0 10 10
E 1638.625983120 0.0 100.0 100.0 10 10
H 1638.629920914 1.0 100.0 100.0 10 10
E 1638.684785710 0.0 100.0 100.0 10 10
H 1638.688852738 1.0 100.0 100.0 10 10
E 1638.743588370 0.0 100.0 100.0 10 10
H 1638.747637254 1.0 100.0 100.0 10 10
E 1638.802620924 0.0 100.0 100.0 10 10
H 1638.806563408 1.0 100.0 100.0 10 10
E 1638.861300650 0.0 100.0 100.0 10 10
H 1638.865237520 1.0 100.0 100.0 10 10
E 1638.919996546 0.0 100.0 100.0 10 10
H 1638.923940472 1.0 100.0 100.0 10 10
E 1638.978799206 0.0 100.0 100.0 10 10
H 1639.002866444 1.0 100.0 100.0 10 10
E 1639.057715238 0.0 100.0 100.0 10 10
H 1639.061681368 1.0 100.0 100.0 10 10
E 1639.116526368 0.0 100.0 100.0 10 10
H 1639.120469790 1.0 100.0 100.0 10 10
E 1639.175315630 0.0 100.0 100.0 10 10
H 1639.179258100 1.0 100.0 100.0 10 10
E 1639.234009944 0.0 100.0 100.0 10 10
H 1639.237951658 1.0 100.0 100.0 10 10
E 1639.293479284 0.0 100.0 100.0 10 10
H 1639.297546718 1.0 100.0 100.0 10 10
E 1639.351616230 0.0 100.0 100.0 10 10
H 1639.355670364 1.0 100.0 100.0 10 10
E 1639.410541908 0.0 100.0 100.0 10 10
E 1639.675152436 0.0 100.0 100.0 10 15
H 1639.679094332 1.0 100.0 100.0 10 15
E 1639.734062798 0.0 100.0 100.0 10 15
H 1639.738001544 1.0 100.0 100.0 10 15
E 1639.792635508 0.0 100.0 100.0 10 15
H 1639.796576942 1.0 100.0 100.0 10 15
E 1639.851444244 0.0 100.0 100.0 10 15
H 1639.855507394 1.0 100.0 100.0 10 15
E 1639.910241878 0.0 100.0 100.0 10 15
H 1639.914294346 1.0 100.0 100.0 10 15
E 1639.969287872 0.0 100.0 100.0 10 15
H 1639.973232666 1.0 100.0 100.0 10 15
E 1640.047964364 0.0 100.0 100.0 10 15
H 1640.051816786 1.0 100.0 100.0 10 15
E 1640.106657530 0.0 100.0 100.0 10 15
H 1640.110595492 1.0 100.0 100.0 10 15
E 1640.165460974 0.0 100.0 100.0 10 15
H 1640.169525944 1.0 100.0 100.0 10 15
E 1640.224377314 0.0 100.0 100.0 10 15
H 1640.228428704 1.0 100.0 100.0 10 15
E 1640.283190880 0.0 100.0 100.0 10 15
H 1640.287132370 1.0 100.0 100.0 10 15
E 1640.341981822 0.0 100.0 100.0 10 15
H 1640.345921380 1.0 100.0 100.0 10 15
E 1640.400674204 0.0 100.0 100.0 10 15
H 1640.404614168 1.0 100.0 100.0 10 15
E 1640.459590502 0.0 100.0 100.0 10 15
H 1640.463652252 1.0 100.0 100.0 10 15
E 1640.518281246 0.0 100.0 100.0 10 15
H 1640.522329990 1.0 100.0 100.0 10 15
E 1640.577206994 0.0 100.0 100.0 10 15
H 1640.581150500 1.0 100.0 100.0 10 15
E 1640.635995374 0.0 100.0 100.0 10 15
H 1640.639933392 1.0 100.0 100.0 10 15
E 1640.694803200 0.0 100.0 100.0 10 15
