device_type time pose Biceps_effort Triceps_effort Biceps_E_T Triceps_E_T
E 6178.554896118 19.0 20.0 10.0 10 10
H 6178.558804708 3.0 35.0 100.0 10 10
E 6178.604011688 19.0 26.0 9.0 10 10
H 6178.607709284 3.0 36.0 100.0 10 10
E 6178.662703846 21.0 34.0 9.0 10 10
H 6178.666204504 4.0 37.0 93.0 10 10
E 6178.711706142 24.0 39.0 8.0 10 10
H 6178.715209152 4.0 37.0 82.0 10 10
E 6178.760708368 27.0 40.0 7.0 10 10
H 6178.764209768 4.0 42.0 72.0 10 10
E 6178.809823812 30.0 44.0 8.0 10 10
H 6178.813523704 4.0 48.0 64.0 10 10
E 6178.868522704 35.0 50.0 8.0 10 10
H 6178.872025616 4.0 56.0 56.0 10 10
E 6178.917515536 39.0 50.0 8.0 10 10
H 6178.921018658 5.0 66.0 50.0 10 10
E 6178.966517902 43.0 52.0 9.0 10 10
H 6178.970021990 8.0 79.0 45.0 10 10
E 6179.035633472 48.0 57.0 9.0 10 10
H 6179.039242406 15.0 95.0 41.0 10 10
E 6179.094322634 54.0 66.0 10.0 10 10
H 6179.098110446 27.0 100.0 39.0 10 10
E 6179.153125448 61.0 76.0 12.0 10 10
H 6179.156902032 40.0 100.0 38.0 10 10
E 6179.202128052 67.0 82.0 14.0 10 10
H 6179.206001026 51.0 100.0 39.0 10 10
E 6179.251240178 74.0 90.0 17.0 10 10
H 6179.255017644 61.0 100.0 39.0 10 10
E 6179.309932574 81.0 100.0 20.0 10 10
H 6179.313787194 72.0 100.0 42.0 10 10
E 6179.368735234 90.0 100.0 24.0 10 10
H 6179.372591856 82.0 100.0 46.0 10 10
E 6179.417734674 95.0 100.0 28.0 10 10
H 6179.421590890 89.0 100.0 47.0 10 10
E 6179.466850286 101.0 100.0 28.0 10 10
H 6179.470891470 96.0 100.0 49.0 10 10
E 6179.525539588 108.0 100.0 31.0 10 10
H 6179.529572554 97.0 96.0 54.0 10 10
E 6179.574544866 113.0 100.0 33.0 10 10
H 6179.578488134 97.0 91.0 59.0 10 10
E 6179.633344586 119.0 100.0 34.0 10 10
H 6179.637288778 96.0 84.0 61.0 10 10
E 6179.692270712 124.0 100.0 37.0 10 10
H 6179.696214246 96.0 78.0 64.0 10 10
E 6179.750949906 126.0 100.0 42.0 10 10
H 6179.754991020 96.0 71.0 67.0 10 10
E 6179.799952300 127.0 100.0 44.0 10 10
H 6179.803894126 96.0 66.0 67.0 10 10
E 6179.858876410 127.0 100.0 44.0 10 10
H 6179.862818838 96.0 57.0 63.0 10 10
E 6179.907870502 127.0 100.0 41.0 10 10
H 6179.911809794 95.0 50.0 60.0 10 10
E 6179.966559916 127.0 100.0 36.0 10 10
H 6179.970503674 94.0 43.0 58.0 10 10
E 6180.035564816 127.0 100.0 34.0 10 10
H 6180.039516820 91.0 39.0 60.0 10 10
E 6180.084564354 127.0 100.0 34.0 10 10
H 6180.088516624 87.0 35.0 68.0 10 10
E 6180.134233876 127.0 100.0 34.0 10 10
H 6180.138177788 82.0 32.0 78.0 10 10
E 6180.192369086 127.0 87.0 36.0 10 10
H 6180.196237118 73.0 30.0 89.0 10 10
E 6180.241374224 126.0 78.0 41.0 10 10
H 6180.245141008 64.0 29.0 94.0 10 10
E 6180.290373580 126.0 69.0 51.0 10 10
H 6180.294233898 56.0 28.0 97.0 10 10
E 6180.339489752 125.0 62.0 63.0 10 10
H 6180.343256452 46.0 27.0 100.0 10 10
E 6180.398178760 121.0 55.0 85.0 10 10
H 6180.402041332 35.0 25.0 100.0 10 10
E 6180.447180832 115.0 50.0 94.0 10 10
H 6180.451041528 25.0 24.0 100.0 10 10
