device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T
E 391.588104650 102.0 4.0 5.0 10 10
H 391.591429426 82.0 8.0 27.0 10 10
E 391.637221046 102.0 4.0 5.0 10 10
H 391.640737062 79.0 8.0 26.0 10 10
E 391.695909662 102.0 4.0 5.0 10 10
H 391.699235810 76.0 7.0 26.0 10 10
E 391.744911860 102.0 4.0 5.0 10 10
H 391.748238260 73.0 7.0 27.0 10 10
E 391.793914016 102.0 4.0 5.0 10 10
H 391.797240654 69.0 7.0 28.0 10 10
E 391.843030664 102.0 4.0 4.0 10 10
H 391.846544062 65.0 7.0 29.0 10 10
E 391.901719112 102.0 4.0 4.0 10 10
H 391.905044322 61.0 8.0 29.0 10 10
E 391.950721282 102.0 4.0 4.0 10 10
H 391.954045904 57.0 8.0 31.0 10 10
E 392.019723676 102.0 4.0 4.0 10 10
H 392.022961400 53.0 8.0 33.0 10 10
E 392.068839204 102.0 5.0 4.0 10 10
H 392.072076816 48.0 8.0 36.0 10 10
E 392.127528478 102.0 7.0 4.0 10 10
H 392.130855816 42.0 9.0 38.0 10 10
E 392.176530592 102.0 9.0 4.0 10 10
H 392.179857048 36.0 9.0 36.0 10 10
E 392.225532958 102.0 12.0 4.0 10 10
H 392.229230050 31.0 9.0 36.0 10 10
E 392.275201262 102.0 14.0 5.0 10 10
H 392.278703600 27.0 10.0 39.0 10 10
E 392.333337928 102.0 15.0 5.0 10 10
H 392.337036518 21.0 10.0 43.0 10 10
E 392.382340000 101.0 16.0 5.0 10 10
H 392.386034166 15.0 11.0 44.0 10 10
E 392.431342534 102.0 16.0 5.0 10 10
H 392.435041950 10.0 12.0 44.0 10 10
E 392.480457866 102.0 17.0 5.0 10 10
H 392.484078266 5.0 12.0 44.0 10 10
E 392.539147392 102.0 18.0 5.0 10 10
H 392.542934952 3.0 12.0 44.0 10 10
E 392.588149576 102.0 17.0 4.0 10 10
H 392.592036088 3.0 12.0 43.0 10 10
E 392.637151690 102.0 17.0 4.0 10 10
H 392.641039280 3.0 12.0 42.0 10 10
E 392.686267400 102.0 15.0 4.0 10 10
H 392.689770004 3.0 12.0 40.0 10 10
E 392.744956576 102.0 14.0 4.0 10 10
H 392.748656594 3.0 11.0 37.0 10 10
E 392.793958984 101.0 14.0 4.0 10 10
H 392.797659296 3.0 11.0 34.0 10 10
E 392.842961182 102.0 15.0 4.0 10 10
H 392.846658484 3.0 13.0 31.0 10 10
E 392.892076612 102.0 16.0 4.0 10 10
H 392.895578950 3.0 15.0 29.0 10 10
E 392.950765970 102.0 15.0 4.0 10 10
H 392.954460822 4.0 18.0 26.0 10 10
E 393.019768196 102.0 15.0 3.0 10 10
H 393.023371698 4.0 20.0 25.0 10 10
E 393.068770618 102.0 15.0 3.0 10 10
H 393.072375072 5.0 21.0 24.0 10 10
E 393.117886132 102.0 15.0 3.0 10 10
H 393.121388666 5.0 21.0 24.0 10 10
E 393.176579732 101.0 15.0 3.0 10 10
H 393.180279610 5.0 22.0 22.0 10 10
E 393.225577534 102.0 15.0 3.0 10 10
H 393.229280604 5.0 25.0 21.0 10 10
E 393.274579858 102.0 16.0 3.0 10 10
H 393.278283978 5.0 27.0 21.0 10 10
E 393.323699880 102.0 16.0 3.0 10 10
H 393.327202330 5.0 28.0 21.0 10 10
E 393.382384912 102.0 16.0 3.0 10 10
H 393.386132586 5.0 30.0 21.0 10 10
E 393.431387236 102.0 17.0 3.0 10 10
H 393.435288028 5.0 32.0 21.0 10 10
E 393.480389392 102.0 17.0 3.0 10 10
H 393.484287860 8.0 34.0 21.0 10 10
E 393.529504864 102.0 17.0 3.0 10 10
H 393.533207304 12.0 38.0 20.0 10 10
E 393.588194236 102.0 16.0 3.0 10 10
H 393.591995138 17.0 42.0 19.0 10 10
E 393.637196378 102.0 16.0 3.0 10 10
H 393.640997980 23.0 42.0 19.0 10 10
E 393.686198590 102.0 16.0 3.0 10 10
H 393.689999772 28.0 43.0 18.0 10 10
E 393.735314258 102.0 17.0 3.0 10 10
H 393.739016222 34.0 45.0 17.0 10 10
E 393.794003686 102.0 17.0 3.0 10 10
H 393.797803986 42.0 47.0 17.0 10 10
E 393.843005870 102.0 17.0 3.0 10 10
H 393.846805960 49.0 56.0 17.0 10 10
E 393.892008180 102.0 16.0 4.0 10 10
H 393.895807640 57.0 65.0 18.0 10 10
E 393.941124296 102.0 16.0 4.0 10 10
H 393.944825938 67.0 69.0 18.0 10 10
E 394.019813038 102.0 17.0 4.0 10 10
H 394.023623362 79.0 71.0 16.0 10 10
E 394.068815320 102.0 17.0 4.0 10 10
H 394.072623040 89.0 71.0 16.0 10 10
E 394.117817588 102.0 19.0 3.0 10 10
H 394.121604924 97.0 70.0 15.0 10 10
E 394.166933228 102.0 19.0 3.0 10 10
H 394.170622116 97.0 67.0 14.0 10 10
E 394.225622516 102.0 19.0 3.0 10 10
H 394.229411000 97.0 64.0 13.0 10 10
E 394.274624770 102.0 18.0 3.0 10 10
H 394.278412666 97.0 62.0 12.0 10 10
E 394.323627010 102.0 18.0 3.0 10 10
H 394.327409600 97.0 59.0 11.0 10 10
E 394.373295328 102.0 17.0 3.0 10 10
H 394.376796476 97.0 56.0 10.0 10 10
E 394.431431980 102.0 16.0 3.0 10 10
H 394.435131382 97.0 54.0 10.0 10 10
E 394.480434220 102.0 16.0 3.0 10 10
H 394.484227800 97.0 52.0 9.0 10 10
E 394.529436810 102.0 16.0 3.0 10 10
H 394.533227842 97.0 51.0 9.0 10 10
E 394.578552002 102.0 16.0 3.0 10 10
H 394.582152032 97.0 49.0 8.0 10 10
E 394.637241248 102.0 16.0 3.0 10 10
H 394.640936842 97.0 48.0 8.0 10 10
E 394.686243614 102.0 15.0 3.0 10 10
H 394.689938704 97.0 47.0 9.0 10 10
E 394.735245826 102.0 15.0 3.0 10 10
H 394.738941266 97.0 47.0 10.0 10 10
E 394.784361158 102.0 14.0 3.0 10 10
H 394.787962490 97.0 45.0 11.0 10 10
E 394.843050796 102.0 14.0 3.0 10 10
H 394.846745172 97.0 41.0 12.0 10 10
E 394.892052980 102.0 13.0 3.0 10 10
H 394.895745326 97.0 38.0 13.0 10 10
E 394.941055304 102.0 14.0 3.0 10 10
H 394.944750310 97.0 35.0 14.0 10 10
E 395.010170706 102.0 14.0 3.0 10 10
H 395.013776196 97.0 33.0 17.0 10 10
E 395.068860162 102.0 14.0 3.0 10 10
H 395.072273768 97.0 31.0 19.0 10 10
E 395.117862262 102.0 14.0 3.0 10 10
H 395.121557534 97.0 30.0 22.0 10 10
E 395.166864586 102.0 14.0 3.0 10 10
H 395.170560558 97.0 28.0 24.0 10 10
E 395.215980212 102.0 14.0 3.0 10 10
H 395.219580116 97.0 26.0 25.0 10 10
E 395.274669682 102.0 14.0 3.0 10 10
H 395.278364450 96.0 24.0 25.0 10 10
E 395.323671712 102.0 14.0 3.0 10 10
H 395.327364926 95.0 23.0 27.0 10 10
E 395.372673952 102.0 15.0 3.0 10 10
H 395.376370008 95.0 22.0 28.0 10 10
E 395.421789606 102.0 16.0 3.0 10 10
H 395.425386234 95.0 21.0 29.0 10 10
E 395.480478936 102.0 17.0 3.0 10 10
H 395.484177218 94.0 21.0 34.0 10 10
E 395.529481204 102.0 17.0 3.0 10 10
H 395.533274434 91.0 20.0 38.0 10 10
E 395.578483486 102.0 16.0 3.0 10 10
H 395.582274994 88.0 20.0 38.0 10 10
E 395.627598930 102.0 16.0 3.0 10 10
H 395.631198750 84.0 21.0 40.0 10 10
