device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value_0 daq_value_1
E 454.769239982 103.0 26.0 9.0 40 40 -2.919921875 -3.095703125
E 454.867244588 104.0 29.0 10.0 40 40 -2.919921875 -3.095703125
E 454.975049278 103.0 30.0 10.0 40 40 -2.91015625 -3.0859375
E 455.093053884 103.0 30.0 10.0 40 40 -2.890625 -3.095703125
E 455.200858658 104.0 29.0 10.0 40 40 -2.87109375 -3.095703125
E 455.298863180 103.0 29.0 10.0 40 40 -2.87109375 -3.095703125
E 455.406668108 103.0 29.0 9.0 40 40 -2.87109375 -3.095703125
E 455.504672518 103.0 27.0 9.0 40 40 -2.880859375 -3.095703125
E 455.612477516 103.0 29.0 9.0 40 40 -2.91015625 -3.095703125
E 455.710482038 103.0 28.0 10.0 40 40 -2.94921875 -3.095703125
E 455.818287134 103.0 28.0 11.0 40 40 -2.94921875 -3.095703125
E 455.916291572 103.0 28.0 14.0 40 40 -2.94921875 -3.095703125
E 456.044096318 102.0 29.0 24.0 40 40 -2.91015625 -3.095703125
E 456.142100966 101.0 31.0 38.0 40 40 -2.890625 -3.0859375
E 456.249905852 99.0 33.0 57.0 40 40 -2.900390625 -3.056640625
E 456.347910192 98.0 36.0 68.0 40 40 -2.841796875 -3.06640625
E 456.397026420 98.0 37.0 71.0 40 40 -2.8125 -3.046875
E 456.504717416 96.0 38.0 75.0 40 40 -2.79296875 -3.076171875
E 456.602835912 92.0 39.0 87.0 40 40 -2.783203125 -3.095703125
E 456.661524696 87.0 37.0 85.0 40 40 -2.802734375 -3.095703125
E 456.759529106 79.0 36.0 80.0 40 40 -2.783203125 -3.095703125
E 456.867333978 71.0 33.0 79.0 40 40 -2.763671875 -3.0859375
E 456.965338640 64.0 29.0 73.0 40 40 -2.6953125 -3.0859375
E 457.034454938 61.0 28.0 71.0 40 40 -2.71484375 -3.095703125
E 457.142145696 54.0 26.0 72.0 40 40 -2.71484375 -3.0859375
E 457.240264346 47.0 24.0 80.0 40 40 -2.783203125 -3.095703125
E 457.347955076 39.0 23.0 82.0 40 40 -2.880859375 -3.095703125
E 457.446073950 32.0 24.0 86.0 40 40 -2.939453125 -3.095703125
E 457.553764442 26.0 25.0 89.0 40 40 -3.017578125 -3.095703125
E 457.651883708 20.0 25.0 86.0 40 40 -3.06640625 -3.095703125
E 457.759573934 15.0 24.0 88.0 40 40 -3.076171875 -3.0859375
E 457.857693088 11.0 25.0 88.0 40 40 -3.0859375 -3.076171875
E 457.965383342 7.0 24.0 86.0 40 40 -3.095703125 -3.046875
E 458.142190370 5.0 23.0 77.0 40 40 -3.0859375 -3.046875
E 458.240194976 5.0 23.0 73.0 40 40 -3.095703125 -3.037109375
E 458.347999988 5.0 22.0 68.0 40 40 -3.095703125 -3.06640625
E 458.495121200 5.0 22.0 70.0 40 40 -3.095703125 -3.0859375
E 458.602811538 5.0 23.0 69.0 40 40 -3.095703125 -3.095703125
E 458.700930258 5.0 23.0 69.0 40 40 -3.0859375 -3.095703125
E 458.808620918 5.0 23.0 66.0 40 40 -3.0859375 -3.0859375
E 458.907487518 7.0 26.0 56.0 40 40 -3.0859375 -3.076171875
E 459.034430270 9.0 34.0 49.0 40 40 -3.095703125 -3.056640625
E 459.132549620 10.0 49.0 45.0 40 40 -3.095703125 -3.046875
E 459.240239552 11.0 54.0 39.0 40 40 -3.0859375 -3.076171875
E 459.338358706 12.0 68.0 36.0 40 40 -3.0859375 -3.0859375
E 459.397046874 12.0 76.0 33.0 40 40 -3.095703125 -3.0859375
E 459.495051410 20.0 86.0 31.0 40 40 -3.0859375 -3.095703125
E 459.602856212 31.0 84.0 26.0 40 40 -3.0859375 -3.095703125
E 459.700860804 40.0 82.0 24.0 40 40 -3.0859375 -3.095703125
E 459.808665732 50.0 78.0 22.0 40 40 -3.095703125 -3.095703125
E 459.906670226 59.0 76.0 21.0 40 40 -3.0859375 -3.095703125
E 460.034475140 68.0 71.0 19.0 40 40 -2.998046875 -3.095703125
E 460.132479564 75.0 70.0 17.0 40 40 -2.94921875 -3.095703125
E 460.240284534 82.0 70.0 16.0 40 40 -2.9296875 -3.095703125
E 460.338289070 88.0 68.0 16.0 40 40 -2.919921875 -3.095703125
E 460.446093830 93.0 68.0 15.0 40 40 -2.91015625 -3.095703125
E 460.544098394 97.0 68.0 16.0 40 40 -2.919921875 -3.095703125
E 460.651903350 100.0 71.0 16.0 40 40 -2.9296875 -3.095703125
E 460.749907634 103.0 79.0 15.0 40 40 -2.919921875 -3.095703125
E 460.857712814 106.0 88.0 16.0 40 40 -2.91015625 -3.095703125
E 460.955717294 110.0 84.0 15.0 40 40 -2.900390625 -3.0859375
E 461.083522110 111.0 76.0 15.0 40 40 -2.91015625 -3.0859375
E 461.181526688 111.0 63.0 15.0 40 40 -2.91015625 -3.095703125
E 461.289331574 111.0 54.0 15.0 40 40 -2.939453125 -3.095703125
E 461.387336138 109.0 49.0 14.0 40 40 -2.958984375 -3.095703125
E 461.544143068 109.0 46.0 12.0 40 40 -2.91015625 -3.095703125
E 461.642262096 109.0 44.0 12.0 40 40 -2.919921875 -3.095703125
E 461.749952420 109.0 41.0 12.0 40 40 -2.919921875 -3.095703125
E 461.848071462 109.0 40.0 11.0 40 40 -2.919921875 -3.095703125
E 461.906759742 109.0 39.0 10.0 40 40 -2.919921875 -3.095703125
E 462.024764348 109.0 39.0 11.0 40 40 -2.919921875 -3.095703125
E 462.132569010 109.0 35.0 11.0 40 40 -2.9296875 -3.095703125
E 462.181571376 109.0 35.0 11.0 40 40 -2.94921875 -3.095703125
E 462.279690110 109.0 37.0 14.0 40 40 -2.96875 -3.095703125
E 462.387380840 108.0 47.0 21.0 40 40 -2.919921875 -3.076171875
E 462.485499420 107.0 57.0 30.0 40 40 -2.919921875 -3.056640625
E 462.544187826 106.0 60.0 36.0 40 40 -2.890625 -3.037109375
E 462.691307358 105.0 62.0 49.0 40 40 -2.900390625 -3.037109375
E 462.798999488 104.0 67.0 75.0 40 40 -2.841796875 -2.998046875
E 462.897116934 104.0 66.0 91.0 40 40 -2.822265625 -3.0078125
E 470.476056924 101.0 56.0 12.0 40 35 -3.046875 -3.095703125
E 470.583748130 101.0 84.0 23.0 40 35 -3.037109375 -3.076171875
E 470.681866990 101.0 100.0 29.0 40 35 -3.046875 -3.095703125
E 470.740555228 101.0 100.0 35.0 40 35 -3.046875 -3.095703125
E 470.838559694 101.0 92.0 35.0 40 35 -2.98828125 -3.095703125
E 470.946364790 102.0 77.0 28.0 40 35 -2.978515625 -3.095703125
E 471.064369088 102.0 63.0 23.0 40 35 -2.978515625 -3.095703125
E 471.172174114 101.0 51.0 18.0 40 35 -3.046875 -3.095703125
E 471.270178454 100.0 43.0 16.0 40 35 -3.046875 -3.095703125
E 471.377983592 100.0 35.0 13.0 40 35 -3.056640625 -3.095703125
E 471.475987890 100.0 29.0 11.0 40 35 -3.056640625 -3.095703125
E 471.583792874 100.0 26.0 10.0 40 35 -3.056640625 -3.095703125
E 471.681797228 100.0 24.0 9.0 40 35 -3.046875 -3.095703125
E 471.789602156 100.0 21.0 9.0 40 35 -3.037109375 -3.095703125
E 471.887606664 100.0 20.0 8.0 40 35 -3.037109375 -3.095703125
E 472.015411676 100.0 17.0 7.0 40 35 -3.056640625 -3.095703125
E 472.113416100 100.0 14.0 6.0 40 35 -3.046875 -3.095703125
E 472.221221000 100.0 13.0 6.0 40 35 -3.046875 -3.0859375
E 472.319225592 100.0 11.0 5.0 40 35 -3.037109375 -3.095703125
E 472.427030408 100.0 10.0 5.0 40 35 -3.037109375 -3.0859375
E 472.525034972 100.0 10.0 5.0 40 35 -3.0078125 -3.0859375
E 472.632839844 99.0 18.0 7.0 40 35 -3.046875 -3.095703125
E 472.730844296 100.0 22.0 7.0 40 35 -3.037109375 -3.095703125
E 472.838649224 100.0 23.0 8.0 40 35 -3.017578125 -3.095703125
E 472.936653578 100.0 22.0 9.0 40 35 -3.02734375 -3.095703125
E 473.064458576 100.0 18.0 7.0 40 35 -3.037109375 -3.095703125
E 473.162463210 100.0 17.0 7.0 40 35 -3.037109375 -3.0859375
E 473.270268110 100.0 17.0 7.0 40 35 -3.037109375 -3.0859375
E 473.368272632 100.0 14.0 6.0 40 35 -3.02734375 -3.0859375
E 473.476077560 100.0 13.0 5.0 40 35 -3.02734375 -3.0859375
E 473.574081998 99.0 12.0 5.0 40 35 -3.037109375 -3.0859375
E 473.681886940 100.0 12.0 5.0 40 35 -3.037109375 -3.0859375
E 473.779891364 99.0 12.0 5.0 40 35 -3.017578125 -3.0859375
E 473.887696376 99.0 11.0 4.0 40 35 -2.978515625 -3.0859375
E 474.005700744 99.0 11.0 4.0 40 35 -3.017578125 -3.0859375
E 474.113505770 100.0 9.0 4.0 40 35 -3.017578125 -3.0859375
E 474.211510292 99.0 9.0 4.0 40 35 -2.998046875 -3.0859375
E 474.319314968 99.0 8.0 4.0 40 35 -2.998046875 -3.0859375
E 474.417319532 99.0 8.0 4.0 40 35 -2.998046875 -3.0859375
E 474.525124460 99.0 7.0 4.0 40 35 -3.0078125 -3.095703125
E 474.672244216 99.0 7.0 4.0 40 35 -2.998046875 -3.0859375
E 474.779936094 99.0 7.0 4.0 40 35 -2.978515625 -3.0859375
E 474.878053904 99.0 8.0 4.0 40 35 -3.017578125 -3.0859375
E 475.005745502 99.0 8.0 5.0 40 35 -3.017578125 -3.0859375
E 475.054747784 99.0 8.0 5.0 40 35 -3.017578125 -3.0859375
E 475.162552796 99.0 7.0 5.0 40 35 -3.02734375 -3.095703125
E 475.260557192 99.0 7.0 5.0 40 35 -3.02734375 -3.0859375
E 475.368362190 99.0 7.0 5.0 40 35 -3.02734375 -3.095703125
E 475.466366516 99.0 7.0 5.0 40 35 -3.02734375 -3.095703125
E 475.574171640 99.0 7.0 5.0 40 35 -3.02734375 -3.0859375
E 475.672175994 99.0 6.0 6.0 40 35 -3.02734375 -3.0859375
E 475.779980936 99.0 6.0 6.0 40 35 -3.02734375 -3.095703125
E 475.877985514 99.0 6.0 6.0 40 35 -3.02734375 -3.0859375
E 476.005790232 99.0 6.0 6.0 40 35 -3.02734375 -3.0859375
E 476.103794894 99.0 6.0 6.0 40 35 -3.02734375 -3.0859375
E 476.211599906 99.0 5.0 5.0 40 35 -3.017578125 -3.095703125
E 476.309604344 99.0 5.0 5.0 40 35 -3.0078125 -3.0859375
E 476.417409230 99.0 6.0 5.0 40 35 -3.0078125 -3.0859375
E 476.515413458 99.0 6.0 5.0 40 35 -3.017578125 -3.0859375
E 476.623218554 99.0 6.0 5.0 40 35 -3.02734375 -3.0859375
E 476.721223034 99.0 5.0 5.0 40 35 -3.02734375 -3.0859375
E 476.829028046 99.0 5.0 5.0 40 35 -3.02734375 -3.0859375
E 476.927032372 99.0 5.0 5.0 40 35 -3.017578125 -3.0859375
E 477.054837272 99.0 5.0 5.0 40 35 -3.0078125 -3.0859375
E 477.152841878 99.0 6.0 5.0 40 35 -2.998046875 -3.0859375
E 477.260646792 99.0 6.0 5.0 40 35 -2.958984375 -3.0859375
E 477.358651244 99.0 6.0 5.0 40 35 -2.98828125 -3.076171875
E 477.466456172 99.0 7.0 5.0 40 35 -2.978515625 -3.0859375
E 477.564460722 99.0 7.0 5.0 40 35 -2.96875 -3.0859375
E 477.672265468 99.0 6.0 5.0 40 35 -2.96875 -3.0859375
E 477.770270102 99.0 7.0 5.0 40 35 -2.96875 -3.076171875
E 477.878075072 99.0 8.0 5.0 40 35 -2.958984375 -3.076171875
E 477.976079496 99.0 8.0 6.0 40 35 -2.998046875 -3.076171875
E 478.103884466 99.0 8.0 6.0 40 35 -3.0078125 -3.0859375
E 478.201888778 99.0 8.0 5.0 40 35 -2.998046875 -3.0859375
E 478.251005454 99.0 8.0 5.0 40 35 -3.0078125 -3.0859375
E 478.358695946 99.0 8.0 5.0 40 35 -3.017578125 -3.0859375
E 478.456814498 100.0 9.0 5.0 40 35 -3.02734375 -3.0859375
E 478.613507594 100.0 8.0 5.0 40 35 -3.02734375 -3.0859375
E 486.143444504 100.0 13.0 5.0 40 30 -2.939453125 -3.0859375
E 486.242312672 100.0 13.0 5.0 40 30 -2.94921875 -3.0859375
E 486.349253940 100.0 12.0 5.0 40 30 -2.958984375 -3.0859375
E 486.447372996 100.0 13.0 5.0 40 30 -2.939453125 -3.0859375
E 486.555063306 100.0 12.0 5.0 40 30 -2.958984375 -3.0859375
E 486.653182586 100.0 10.0 5.0 40 30 -2.958984375 -3.0859375
E 486.760872728 100.0 10.0 4.0 40 30 -2.96875 -3.076171875
E 486.917679854 100.0 8.0 4.0 40 30 -2.958984375 -3.076171875
E 486.966682220 100.0 8.0 4.0 40 30 -2.958984375 -3.076171875
E 487.084801542 100.0 8.0 4.0 40 30 -2.978515625 -3.0859375
E 487.143489276 100.0 8.0 4.0 40 30 -2.978515625 -3.0859375
E 487.241493644 100.0 7.0 4.0 40 30 -2.958984375 -3.0859375
E 487.349298628 100.0 7.0 4.0 40 30 -2.978515625 -3.0859375
E 487.447303136 100.0 7.0 4.0 40 30 -2.96875 -3.076171875
E 487.555108162 100.0 7.0 4.0 40 30 -2.958984375 -3.076171875
E 487.653112586 100.0 7.0 4.0 40 30 -2.958984375 -3.0859375
E 487.760917500 100.0 7.0 4.0 40 30 -2.958984375 -3.0859375
E 487.858921952 100.0 7.0 4.0 40 30 -2.94921875 -3.0859375
E 487.966726880 100.0 7.0 4.0 40 30 -2.94921875 -3.0859375
E 488.084731346 100.0 7.0 4.0 40 30 -2.939453125 -3.0859375
E 488.192536232 100.0 7.0 4.0 40 30 -2.939453125 -3.0859375
E 488.290540796 100.0 6.0 4.0 40 30 -2.9296875 -3.0859375
E 488.398345570 100.0 6.0 4.0 40 30 -2.9296875 -3.0859375
E 488.496350246 100.0 5.0 4.0 40 30 -2.958984375 -3.0859375
E 488.604155034 100.0 5.0 4.0 40 30 -2.958984375 -3.0859375
E 488.702159500 100.0 5.0 3.0 40 30 -2.958984375 -3.0859375
E 488.809964526 100.0 4.0 3.0 40 30 -2.96875 -3.076171875
E 488.907968936 100.0 4.0 3.0 40 30 -2.96875 -3.076171875
E 489.035774060 100.0 4.0 3.0 40 30 -2.96875 -3.076171875
E 489.133778162 100.0 4.0 3.0 40 30 -2.958984375 -3.0859375
E 489.241583370 100.0 4.0 3.0 40 30 -2.96875 -3.076171875
E 489.339587724 100.0 4.0 3.0 40 30 -2.96875 -3.0859375
