device_type,time,tricep_effort,bicep_effort,joint_position,daq_0,daq_1
E,3551.462679546,100,75,130,-3.2421875,-3.251953125
E,3551.521482164,100,74,130,-3.2421875,-3.251953125
E,3551.580299286,100,72,130,-3.2421875,-3.2421875
E,3551.639202718,100,74,130,-3.251953125,-3.232421875
E,3551.697890228,100,71,129,-3.251953125,-3.251953125
E,3551.756692902,100,67,130,-3.251953125,-3.2421875
E,3551.815495506,100,65,130,-3.251953125,-3.2421875
E,3551.874431852,100,59,130,-3.251953125,-3.232421875
E,3551.933100882,100,57,130,-3.251953125,-3.2421875
E,3552.011903626,100,59,129,-3.251953125,-3.2421875
E,3552.070706356,100,58,130,-3.251953125,-3.2421875
E,3552.129624488,100,59,129,-3.251953125,-3.2421875
E,3552.188333642,100,57,129,-3.2421875,-3.251953125
E,3552.247114420,100,56,129,-3.2421875,-3.2421875
E,3552.305917234,100,55,129,-3.2421875,-3.251953125
E,3552.364835184,100,52,129,-3.2421875,-3.251953125
E,3552.423522372,100,51,129,-3.2421875,-3.251953125
E,3552.482350708,100,51,129,-3.251953125,-3.2421875
E,3552.541127734,100,53,129,-3.251953125,-3.251953125
E,3552.600045866,100,53,129,-3.1640625,-3.26171875
E,3552.658733194,100,49,129,-3.14453125,-3.26171875
E,3552.717535826,100,47,129,-3.134765625,-3.26171875
E,3552.776367676,100,45,129,-3.017578125,-3.251953125
E,3552.835256674,100,43,129,-2.96875,-3.22265625
E,3552.893943918,100,41,129,-2.91015625,-3.22265625
E,3552.952746676,100,38,129,-2.998046875,-3.203125
E,3553.031549252,100,35,129,-3.056640625,-3.22265625
E,3553.090470184,100,33,129,-3.0078125,-3.193359375
E,3553.149154768,100,31,127,-2.98828125,-3.1640625
E,3553.207957330,100,34,124,-2.978515625,-3.1640625
E,3553.266760018,100,36,123,-2.98828125,-3.1640625
E,3553.325676484,100,35,123,-2.978515625,-3.154296875
E,3553.384384616,100,36,122,-2.978515625,-3.18359375
E,3553.443168208,100,37,122,-2.958984375,-3.154296875
E,3553.501970742,100,37,121,-2.96875,-3.14453125
E,3553.561438962,100,39,121,-2.939453125,-3.14453125
E,3553.619576244,100,40,121,-2.98828125,-3.14453125
E,3553.678417754,100,41,121,-3.017578125,-3.18359375
E,3553.737181536,100,41,121,-3.037109375,-3.173828125
E,3553.796098030,100,40,121,-3.076171875,-3.193359375
E,3553.854786982,100,39,121,-3.095703125,-3.212890625
E,3553.913589628,100,38,121,-3.115234375,-3.193359375
E,3553.972435114,100,36,121,-3.095703125,-3.212890625
E,3554.051308628,100,32,121,-3.076171875,-3.212890625
E,3554.109997678,100,33,119,-3.076171875,-3.212890625
E,3554.168800394,100,34,118,-3.125,-3.232421875
E,3554.227603180,100,31,117,-3.18359375,-3.232421875
E,3554.286522348,100,28,114,-3.1640625,-3.212890625
E,3554.345208500,100,30,112,-3.0859375,-3.193359375
E,3554.404011174,100,30,111,-3.125,-3.232421875
E,3554.462813876,100,27,110,-3.14453125,-3.2421875
E,3554.521730244,100,29,108,-3.203125,-3.2421875
E,3554.580423228,100,34,107,-3.22265625,-3.2421875
E,3554.639221982,100,31,106,-3.2421875,-3.251953125
E,3554.698024502,97,28,105,-3.251953125,-3.2421875
E,3554.756941122,95,31,104,-3.251953125,-3.2421875
E,3554.815629808,98,32,104,-3.251953125,-3.2421875
E,3554.874465116,98,35,104,-3.26171875,-3.251953125
E,3554.933235310,95,42,104,-3.26171875,-3.251953125
E,3555.012151720,90,51,104,-3.26171875,-3.251953125
E,3555.070840672,85,54,104,-3.26171875,-3.2421875
E,3555.129643318,82,51,104,-3.26171875,-3.2421875
E,3555.188482028,82,50,104,-3.251953125,-3.2421875
E,3555.237561982,78,52,104,-3.26171875,-3.2421875
E,3555.296250990,76,55,104,-3.251953125,-3.2421875
E,3555.345253300,74,58,104,-3.203125,-3.2421875
E,3555.404055848,72,61,104,-3.125,-3.2421875
E,3555.463012018,71,63,104,-3.0859375,-3.2421875
E,3555.521661322,62,65,104,-3.037109375,-3.2421875
E,3555.580463968,54,69,104,-3.017578125,-3.22265625
E,3555.629466124,48,72,104,-3.017578125,-3.212890625
E,3555.678582226,46,76,104,-3.02734375,-3.193359375
E,3555.737313640,43,77,104,-2.998046875,-3.154296875
E,3555.786273292,38,75,104,-3.046875,-3.1640625
E,3555.845076134,33,72,105,-3.037109375,-3.1640625
E,3555.894742590,30,71,105,-3.037109375,-3.1640625
E,3555.952881118,27,70,105,-2.998046875,-3.1640625
