device_type,time,tricep_effort,bicep_effort,joint_position,daq_0,daq_1
E,3530.236328680,94,68,102,-3.06640625,-3.26171875
E,3530.285330808,96,69,102,-2.939453125,-3.26171875
E,3530.334333188,96,66,102,-2.998046875,-3.26171875
E,3530.383450858,94,64,103,-3.017578125,-3.26171875
E,3530.442138130,94,63,102,-3.0078125,-3.26171875
E,3530.491140328,96,62,103,-3.017578125,-3.2421875
E,3530.540142512,96,67,103,-3.037109375,-3.2421875
E,3530.589260182,90,75,102,-3.017578125,-3.2421875
E,3530.647947454,81,80,103,-3.037109375,-3.232421875
E,3530.696949820,78,78,102,-3.017578125,-3.251953125
E,3530.745951822,74,77,103,-3.076171875,-3.2421875
E,3530.795069660,69,78,103,-3.154296875,-3.2421875
E,3530.853756722,67,83,103,-3.1640625,-3.232421875
E,3530.912559634,64,81,103,-3.154296875,-3.232421875
E,3530.961561832,60,77,103,-3.203125,-3.232421875
E,3531.030679544,56,74,103,-3.203125,-3.232421875
E,3531.089366620,53,67,103,-3.134765625,-3.22265625
E,3531.138369028,52,62,103,-3.154296875,-3.212890625
E,3531.187371156,51,58,103,-3.134765625,-3.203125
E,3531.236488966,49,54,103,-3.134765625,-3.212890625
E,3531.295176238,47,56,103,-3.10546875,-3.212890625
E,3531.344178394,45,62,103,-3.076171875,-3.203125
E,3531.393180536,44,66,103,-3.06640625,-3.22265625
E,3531.442848392,41,69,103,-3.06640625,-3.232421875
E,3531.500985702,37,71,103,-3.056640625,-3.232421875
E,3531.549987760,36,71,103,-3.06640625,-3.232421875
E,3531.598989916,35,71,103,-3.0859375,-3.232421875
E,3531.648107628,35,70,103,-3.115234375,-3.251953125
E,3531.706794970,36,71,103,-3.203125,-3.251953125
E,3531.755797098,33,75,103,-3.2421875,-3.2421875
E,3531.804799772,30,83,104,-3.232421875,-3.251953125
E,3531.853917372,28,89,106,-3.232421875,-3.2421875
E,3531.912604448,26,90,109,-3.232421875,-3.251953125
E,3531.961606674,25,94,112,-3.2421875,-3.26171875
E,3532.030608886,23,98,116,-3.26171875,-3.251953125
E,3532.079726570,21,100,120,-3.26171875,-3.26171875
E,3532.138413744,20,100,125,-3.2421875,-3.26171875
E,3532.187415858,19,100,130,-3.251953125,-3.26171875
E,3532.236418294,19,100,133,-3.251953125,-3.26171875
E,3532.285535810,19,100,133,-3.251953125,-3.26171875
E,3532.344223110,18,100,133,-3.251953125,-3.26171875
E,3532.393225378,17,96,133,-3.26171875,-3.26171875
E,3532.442227520,17,96,132,-3.2421875,-3.251953125
E,3532.491345246,16,98,133,-3.232421875,-3.251953125
E,3532.550032532,16,100,133,-3.232421875,-3.251953125
E,3532.599034730,16,100,133,-3.232421875,-3.251953125
E,3532.648036970,16,100,132,-3.22265625,-3.251953125
E,3532.697154682,16,100,133,-3.212890625,-3.251953125
E,3532.755842024,15,94,132,-3.22265625,-3.251953125
E,3532.804844306,15,86,133,-3.2421875,-3.2421875
E,3532.853846434,15,82,133,-3.2421875,-3.2421875
E,3532.902964034,16,81,133,-3.193359375,-3.2421875
E,3532.961651376,16,82,133,-3.193359375,-3.22265625
E,3533.030653658,17,83,132,-3.14453125,-3.212890625
E,3533.079655814,20,80,132,-3.134765625,-3.212890625
E,3533.128773078,24,78,133,-3.154296875,-3.193359375
E,3533.187460658,28,74,133,-3.2421875,-3.232421875
E,3533.236462940,33,74,133,-3.2421875,-3.2421875
E,3533.285465194,35,77,133,-3.251953125,-3.232421875
E,3533.334582430,31,81,133,-3.26171875,-3.2421875
E,3533.393270206,30,80,133,-3.26171875,-3.2421875
E,3533.442272250,29,79,133,-3.26171875,-3.232421875
E,3533.491274714,29,78,133,-3.26171875,-3.2421875
E,3533.540942388,30,77,133,-3.26171875,-3.232421875
E,3533.599079572,34,75,133,-3.26171875,-3.232421875
E,3533.648081756,37,73,133,-3.26171875,-3.2421875
E,3533.697084052,36,75,133,-3.26171875,-3.232421875
E,3533.746201456,33,79,133,-3.26171875,-3.251953125
E,3533.804888896,31,85,133,-3.203125,-3.2421875
E,3533.853891206,29,86,132,-3.154296875,-3.251953125
E,3533.902893320,27,85,133,-3.0859375,-3.26171875
E,3533.952011032,26,85,133,-3.0078125,-3.26171875
E,3534.030698444,24,86,133,-2.919921875,-3.251953125
E,3534.079700656,22,89,133,-2.919921875,-3.26171875
