daq_0_bi,daq_1_tri
-2.96875,-3.203125
-3.0078125,-3.232421875
-3.076171875,-3.2421875
-3.125,-3.232421875
-3.115234375,-3.251953125
-3.125,-3.2421875
-3.125,-3.2421875
-3.14453125,-3.251953125
-3.154296875,-3.2421875
-3.14453125,-3.22265625
-3.1640625,-3.212890625
-3.1640625,-3.203125
-3.154296875,-3.203125
-3.154296875,-3.203125
-3.154296875,-3.203125
-3.154296875,-3.203125
-3.154296875,-3.203125
-3.154296875,-3.212890625
-3.134765625,-3.22265625
-3.14453125,-3.212890625
-3.134765625,-3.212890625
-3.14453125,-3.212890625
-3.134765625,-3.212890625
-3.125,-3.203125
-3.154296875,-3.203125
-3.14453125,-3.212890625
-3.154296875,-3.212890625
-3.154296875,-3.212890625
-3.154296875,-3.212890625
-3.154296875,-3.22265625
-3.154296875,-3.203125
-3.154296875,-3.212890625
-3.14453125,-3.212890625
-3.1640625,-3.203125
-3.154296875,-3.203125
-3.14453125,-3.203125
-3.134765625,-3.212890625
-3.134765625,-3.212890625
-3.134765625,-3.203125
-3.134765625,-3.203125
-3.125,-3.193359375
-3.14453125,-3.193359375
-3.14453125,-3.193359375
-3.154296875,-3.193359375
