device_type,time,tricep_effort,bicep_effort,joint_position,daq_0,daq_1
E,256.021407554,4,8,124,-3.26171875,-3.26171875
E,256.080218894,4,7,124,-3.26171875,-3.26171875
E,256.129131464,4,7,124,-3.26171875,-3.26171875
E,256.178100986,4,7,124,-3.26171875,-3.26171875
E,256.227215170,3,7,124,-3.26171875,-3.26171875
E,256.285905956,3,7,124,-3.26171875,-3.26171875
E,256.335028148,3,7,124,-3.26171875,-3.26171875
E,256.383941124,3,7,124,-3.26171875,-3.26171875
E,256.433578054,3,7,124,-3.26171875,-3.26171875
E,256.491714832,3,7,124,-3.26171875,-3.26171875
E,256.540839894,3,6,124,-3.26171875,-3.26171875
E,256.589719564,3,6,124,-3.26171875,-3.26171875
E,256.638868468,3,6,124,-3.26171875,-3.26171875
E,256.697521930,3,6,124,-3.26171875,-3.26171875
E,256.746526088,3,6,124,-3.26171875,-3.26171875
E,256.795649414,3,6,124,-3.26171875,-3.26171875
E,256.844640916,3,5,124,-3.26171875,-3.26171875
E,256.903366520,3,6,124,-3.26171875,-3.26171875
E,256.952336182,3,6,124,-3.26171875,-3.26171875
E,257.021334796,3,6,124,-3.26171875,-3.26171875
E,257.070575820,4,6,124,-3.26171875,-3.26171875
E,257.129141250,5,7,124,-3.251953125,-3.26171875
E,257.178178616,6,7,124,-3.251953125,-3.26171875
E,257.227147494,9,8,124,-3.26171875,-3.26171875
E,257.276263414,13,9,123,-3.26171875,-3.26171875
E,257.334952506,21,11,123,-3.26171875,-3.26171875
E,257.393756146,30,13,122,-3.26171875,-3.26171875
E,257.442757532,38,14,122,-3.26171875,-3.26171875
E,257.501673718,48,16,121,-3.26171875,-3.26171875
E,257.560504476,60,18,120,-3.26171875,-3.26171875
E,257.609364854,67,20,120,-3.26171875,-3.26171875
E,257.668168018,74,23,120,-3.26171875,-3.26171875
E,257.727083770,87,26,119,-3.251953125,-3.26171875
E,257.785773856,97,27,119,-3.076171875,-3.26171875
E,257.844670764,100,28,115,-2.98828125,-3.26171875
E,257.903378756,100,29,112,-2.96875,-3.26171875
E,257.962294760,100,29,108,-3.056640625,-3.26171875
