10.0 10.0
3, 100.00, 100.00, 50, 50, 60, 1.67, 20, 1, 0, 0, 1, 10, 1000, 50
E,240.255620344,18,107,18,100,119,182,0,-3.26171875,-3.26171875
H,240.259560630,59,86,78,100,8,182,0,-3.26171875,-3.26171875
E,240.314423550,17,99,17,99,124,182,0,-3.26171875,-3.26171875
H,240.318284652,51,89,68,100,8,182,0,-3.26171875,-3.26171875
E,240.363425706,16,91,16,91,127,182,0,-3.26171875,-3.251953125
H,240.367283812,46,91,62,100,8,182,0,-3.26171875,-3.26171875
E,240.422343698,14,81,14,81,131,182,0,-3.26171875,-3.26171875
H,240.426108802,41,86,55,100,8,182,0,-3.26171875,-3.26171875
E,240.481033784,13,72,13,72,132,182,0,-3.26171875,-3.26171875
H,240.484894872,37,80,50,100,8,182,0,-3.26171875,-3.26171875
E,240.530036570,12,64,12,64,132,182,0,-3.26171875,-3.26171875
H,240.533897140,34,76,46,100,8,182,0,-3.26171875,-3.26171875
E,240.579038726,11,56,11,56,132,182,0,-3.26171875,-3.26171875
H,240.582899702,31,71,42,95,8,182,0,-3.26171875,-3.26171875
E,240.628157222,10,48,10,48,132,182,0,-3.26171875,-3.26171875
H,240.631922508,28,64,38,85,8,182,0,-3.26171875,-3.26171875
E,240.686971684,9,41,9,41,131,182,0,-3.26171875,-3.26171875
H,240.690462066,25,59,34,79,8,182,0,-3.26171875,-3.26171875
E,240.735974372,8,36,8,36,131,182,0,-3.26171875,-3.26171875
H,240.739462654,24,56,32,75,8,182,0,-3.26171875,-3.26171875
E,240.784977242,7,31,7,31,131,182,0,-3.26171875,-3.26171875
H,240.788467946,22,53,30,71,8,182,0,-3.26171875,-3.26171875
E,240.834095710,6,27,6,27,131,182,0,-3.26171875,-3.26171875
H,240.837781126,21,52,28,69,8,182,0,-3.26171875,-3.26171875
E,240.892781232,6,23,6,23,131,182,0,-3.26171875,-3.251953125
H,240.896271306,20,57,27,76,8,182,0,-3.26171875,-3.26171875
E,240.941785992,5,21,5,21,131,182,0,-3.26171875,-3.26171875
H,240.945276444,20,65,27,87,8,182,0,-3.26171875,-3.26171875
E,241.010788148,5,19,5,19,131,182,0,-3.26171875,-3.26171875
H,241.014186396,19,70,26,94,8,182,0,-3.26171875,-3.26171875
E,241.059781274,5,18,5,18,131,182,0,-3.26171875,-3.26171875
H,241.063309680,19,72,25,96,8,182,0,-3.26171875,-3.26171875
E,241.118467020,4,16,4,16,131,182,0,-3.26171875,-3.26171875
H,241.122083346,17,71,23,94,8,182,0,-3.26171875,-3.28125
E,241.167471192,4,15,4,15,131,182,0,-3.26171875,-3.26171875
H,241.171088820,16,65,22,86,8,182,0,-3.26171875,-3.26171875
E,241.216471108,4,14,4,14,131,182,0,-3.26171875,-3.26171875
H,241.220085292,15,57,20,77,8,182,0,-3.26171875,-3.26171875
E,241.266141610,4,13,4,13,131,182,0,-3.26171875,-3.26171875
H,241.269755682,13,51,18,68,8,182,0,-3.26171875,-3.26171875
E,241.324312940,3,12,3,12,131,254,0,-3.26171875,-3.26171875
H,241.327803350,12,46,16,61,8,254,0,-3.26171875,-3.26171875
E,241.373283372,3,12,3,12,131,254,0,-3.26171875,-3.26171875
H,241.376807480,11,42,15,57,8,254,0,-3.26171875,-3.26171875
E,241.422409036,4,11,4,11,131,254,0,-3.26171875,-3.26171875
H,241.425898312,10,41,13,54,8,254,0,-3.26171875,-3.26171875
E,241.471530654,4,11,4,11,131,254,0,-3.271484375,-3.26171875
H,241.475251714,9,41,12,55,8,254,0,-3.26171875,-3.26171875
E,241.530217338,4,10,4,10,131,254,0,-3.26171875,-3.26171875
H,241.533707174,9,45,12,60,8,254,0,-3.26171875,-3.26171875
E,241.579220208,4,10,4,10,131,254,0,-3.26171875,-3.26171875
H,241.582710436,9,49,12,66,8,254,0,-3.26171875,-3.26171875
E,241.628224170,4,10,4,10,131,254,0,-3.26171875,-3.26171875
H,241.631714888,9,51,12,68,8,254,0,-3.26171875,-3.26171875
E,241.677343352,4,10,4,10,131,254,0,-3.26171875,-3.26171875
H,241.681065196,8,48,11,64,8,254,0,-3.26171875,-3.26171875
E,241.736029616,4,9,4,9,131,254,0,-3.26171875,-3.26171875
H,241.739342380,7,48,9,64,8,254,0,-3.26171875,-3.26171875
E,241.784905352,4,9,4,9,131,254,0,-3.26171875,-3.26171875
H,241.788346440,6,48,9,65,8,254,0,-3.26171875,-3.26171875
E,241.833908950,4,9,4,9,131,254,0,-3.26171875,-3.26171875
H,241.837222288,9,48,12,64,8,254,0,-3.26171875,-3.26171875
E,241.883060444,4,9,4,9,131,254,0,-3.26171875,-3.251953125
H,241.886373026,14,49,19,65,8,254,0,-3.26171875,-3.26171875
E,241.941715628,4,10,4,10,131,254,0,-3.26171875,-3.26171875
H,241.945239428,18,47,24,63,8,254,0,-3.26171875,-3.26171875
E,242.010845478,4,10,4,10,131,254,0,-3.26171875,-3.26171875
H,242.014246610,16,47,21,63,8,254,0,-3.26171875,-3.26171875
E,242.059718750,4,10,4,10,131,254,0,-3.26171875,-3.28125
H,242.063239652,14,46,19,62,8,254,0,-3.26171875,-3.26171875
E,242.108837218,4,10,4,10,131,254,0,-3.26171875,-3.26171875
H,242.112326032,12,41,17,55,8,254,0,-3.26171875,-3.26171875
E,242.167527416,4,10,4,10,131,254,0,-3.26171875,-3.26171875
H,242.171018834,11,36,15,48,8,254,0,-3.271484375,-3.26171875
E,242.216563298,4,10,4,10,131,254,0,-3.26171875,-3.26171875
H,242.220055010,10,33,13,45,8,254,0,-3.26171875,-3.26171875
E,242.265532988,4,10,4,10,131,254,0,-3.26171875,-3.26171875
H,242.269052672,9,30,12,41,8,254,0,-3.26171875,-3.26171875
E,242.314778380,4,10,4,10,131,254,0,-3.26171875,-3.26171875
H,242.318494904,8,29,11,39,8,254,0,-3.232421875,-3.26171875
E,242.373465512,4,10,4,10,131,147,0,-3.2421875,-3.26171875
H,242.376956818,7,30,9,40,8,147,0,-3.212890625,-3.26171875
E,242.422468074,4,10,4,10,131,147,0,-3.22265625,-3.26171875
H,242.425957756,6,29,9,38,8,147,0,-3.193359375,-3.26171875
E,242.471468550,4,11,4,11,131,147,0,-3.193359375,-3.26171875
H,242.474959030,6,27,8,36,8,147,0,-3.18359375,-3.26171875
E,242.520589860,4,12,4,12,131,147,0,-3.1640625,-3.26171875
H,242.524310304,6,28,8,38,8,147,0,-3.134765625,-3.26171875
E,242.579277146,5,15,5,15,131,147,0,-3.125,-3.26171875
H,242.582768410,5,31,7,41,8,147,0,-3.095703125,-3.26171875
E,242.628279764,7,19,7,19,131,147,0,-3.0859375,-3.26171875
H,242.631768242,5,31,7,42,8,147,0,-3.06640625,-3.26171875
E,242.677282928,8,24,8,24,131,147,0,-3.076171875,-3.26171875
H,242.680773954,5,32,7,43,8,147,0,-3.115234375,-3.26171875
E,242.726401396,9,26,9,26,131,147,0,-3.14453125,-3.26171875
H,242.730121406,5,34,7,45,8,147,0,-3.1640625,-3.26171875
E,242.785086666,9,26,9,26,131,147,0,-3.26171875,-3.26171875
H,242.788576740,5,33,7,45,8,147,0,-3.26171875,-3.26171875
E,242.834091818,8,25,8,25,131,147,0,-3.26171875,-3.26171875
H,242.837579834,5,33,6,44,8,147,0,-3.26171875,-3.26171875
E,242.883092966,7,24,7,24,131,147,0,-3.26171875,-3.26171875
H,242.886582606,7,33,9,44,8,147,0,-3.26171875,-3.26171875
E,242.932212596,7,23,7,23,131,147,0,-3.26171875,-3.26171875
H,242.935934118,13,40,17,53,8,147,0,-3.26171875,-3.26171875
E,243.010900330,7,21,7,21,131,147,0,-3.271484375,-3.26171875
H,243.014299852,26,54,35,72,8,147,0,-3.26171875,-3.26171875
E,243.059777018,7,20,7,20,130,147,0,-3.26171875,-3.26171875
H,243.063305788,37,67,50,90,8,147,0,-3.26171875,-3.26171875
E,243.108780098,9,19,9,19,131,147,0,-3.26171875,-3.26171875
H,243.112269360,45,78,60,100,8,147,0,-3.26171875,-3.251953125
E,243.157931746,16,18,16,18,130,147,0,-3.26171875,-3.26171875
H,243.161697396,51,84,68,100,8,147,0,-3.26171875,-3.26171875
E,243.216618934,28,18,28,18,130,147,0,-3.26171875,-3.26171875
H,243.220483648,61,89,81,100,8,147,0,-3.26171875,-3.26171875
E,243.265621748,36,18,36,18,130,147,0,-3.26171875,-3.26171875
H,243.269486112,70,97,93,100,8,147,0,-3.26171875,-3.26171875
E,243.324425584,46,20,46,20,130,147,0,-3.26171875,-3.26171875
