device_type,time,tricep_effort,bicep_effort,joint_position,daq_0,daq_1
E,224.284275040,75,38,96,-3.26171875,-3.26171875
E,224.333277266,77,38,96,-3.26171875,-3.26171875
E,224.382394250,75,38,96,-3.26171875,-3.26171875
E,224.441082208,73,40,96,-3.26171875,-3.26171875
E,224.490084504,72,41,96,-3.26171875,-3.26171875
E,224.548887178,74,41,96,-3.26171875,-3.26171875
E,224.598031938,72,40,96,-3.26171875,-3.28125
E,224.656692106,66,37,96,-3.212890625,-3.26171875
E,224.705694374,60,35,97,-3.18359375,-3.26171875
E,224.754696754,54,33,97,-3.125,-3.26171875
E,224.803816482,50,31,97,-3.154296875,-3.26171875
E,224.862501626,44,29,97,-3.251953125,-3.26171875
E,224.911503782,39,26,97,-3.26171875,-3.26171875
E,224.960505924,35,24,98,-3.26171875,-3.26171875
E,225.039426422,31,23,98,-3.26171875,-3.28125
E,225.098114198,30,21,101,-3.26171875,-3.26171875
E,225.147118048,27,20,102,-3.26171875,-3.26171875
E,225.196115836,24,21,103,-3.26171875,-3.26171875
E,225.245232876,22,25,104,-3.26171875,-3.26171875
E,225.303920890,20,30,105,-3.26171875,-3.26171875
E,225.352922990,19,37,105,-3.26171875,-3.26171875
E,225.401928044,18,46,106,-3.26171875,-3.26171875
E,225.451042284,18,58,107,-3.26171875,-3.26171875
E,225.509730144,18,70,109,-3.26171875,-3.26171875
E,225.558732398,18,77,112,-3.271484375,-3.26171875
E,225.607734568,19,82,116,-3.26171875,-3.26171875
E,225.656852924,19,84,120,-3.26171875,-3.26171875
E,225.715539706,18,88,125,-3.251953125,-3.26171875
E,225.764541890,16,89,129,-3.2421875,-3.26171875
E,225.813543892,15,83,132,-3.2421875,-3.26171875
E,225.862661212,13,74,132,-3.2421875,-3.26171875
E,225.921351900,12,65,132,-3.2421875,-3.26171875
E,225.970351228,11,58,132,-3.232421875,-3.26171875
E,226.039353370,10,51,132,-3.2421875,-3.26171875
E,226.088470690,9,45,132,-3.2421875,-3.26171875
E,226.147158340,9,38,132,-3.22265625,-3.26171875
E,226.196160664,8,33,132,-3.212890625,-3.26171875
E,226.245162806,7,29,132,-3.193359375,-3.26171875
E,226.294831628,7,26,131,-3.154296875,-3.26171875
E,226.352967832,6,23,132,-3.115234375,-3.26171875
E,226.401970072,6,21,131,-3.056640625,-3.26171875
E,226.450972172,6,19,131,-3.154296875,-3.26171875
E,226.500089380,5,18,131,-3.14453125,-3.26171875
E,226.558777170,5,16,131,-3.2421875,-3.26171875
E,226.607779480,4,15,131,-3.26171875,-3.26171875
E,226.656781748,4,14,131,-3.251953125,-3.26171875
