daq_0_bi,daq_1_tri
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.251953125
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
-3.26171875,-3.26171875
