10.0 10.0
3, 100.00, 100.00, 15, 15, 60, 1.67, 20, 1, 0, 0, 1, 10, 1000, 50
E,2150.419538000,36,32,36,32,130,384,0,-3.26171875,-3.076171875
H,2150.423324594,23,78,31,100,11,384,0,-3.26171875,-3.0859375
E,2150.468537468,42,32,42,32,130,384,0,-3.26171875,-3.06640625
H,2150.472292870,23,89,30,100,11,384,0,-3.26171875,-3.046875
E,2150.527340184,47,31,47,31,130,384,0,-3.26171875,-3.056640625
H,2150.531095264,22,91,30,100,10,384,0,-3.26171875,-3.046875
E,2150.576456160,49,31,49,31,129,384,0,-3.26171875,-3.095703125
H,2150.580210638,22,89,30,100,10,384,0,-3.26171875,-3.056640625
E,2150.635144888,49,30,49,30,127,384,0,-3.26171875,-3.037109375
H,2150.638899968,22,84,30,100,10,384,0,-3.26171875,-2.998046875
E,2150.684147296,48,29,48,29,125,384,0,-3.26171875,-2.96875
H,2150.687935668,23,80,30,100,10,384,0,-3.26171875,-2.958984375
E,2150.733149452,50,28,50,28,124,384,0,-3.251953125,-2.919921875
H,2150.737000950,25,82,33,100,10,384,0,-3.251953125,-2.919921875
E,2150.782265596,54,27,54,27,121,384,0,-3.251953125,-2.91015625
H,2150.786021320,28,87,37,100,10,384,0,-3.2421875,-2.919921875
E,2150.840954478,66,27,66,27,118,384,0,-3.2421875,-2.919921875
H,2150.844708704,30,95,40,100,11,384,0,-3.232421875,-2.900390625
E,2150.889956494,76,28,76,28,114,384,0,-3.22265625,-2.890625
H,2150.893809546,32,103,43,100,11,384,0,-3.232421875,-2.890625
E,2150.938958888,81,28,81,28,109,384,0,-3.22265625,-2.880859375
H,2150.942713814,35,111,46,100,11,384,0,-3.203125,-2.900390625
E,2151.008074906,79,28,79,28,104,384,0,-3.212890625,-2.890625
H,2151.011747876,37,131,50,100,11,384,0,-3.212890625,-2.9296875
E,2151.066763774,74,27,74,27,98,384,0,-3.203125,-2.939453125
H,2151.070637098,41,156,54,100,11,384,0,-3.22265625,-3.046875
E,2151.115766140,70,26,70,26,93,384,0,-3.22265625,-3.06640625
H,2151.119530222,43,171,58,100,11,384,0,-3.22265625,-3.037109375
E,2151.174570144,68,25,68,25,89,384,0,-3.2421875,-3.02734375
H,2151.178334296,46,183,62,100,11,384,0,-3.251953125,-3.06640625
E,2151.223684790,67,24,67,24,86,384,0,-3.26171875,-3.06640625
H,2151.227351026,48,188,64,100,12,384,0,-3.26171875,-3.076171875
E,2151.282373672,62,23,62,23,82,293,0,-3.26171875,-3.046875
H,2151.286138734,51,186,69,100,13,293,0,-3.26171875,-3.056640625
E,2151.341176304,54,22,54,22,80,293,0,-3.26171875,-3.02734375
H,2151.345038456,57,190,77,100,13,293,0,-3.26171875,-3.0078125
E,2151.390178572,50,21,50,21,79,293,0,-3.26171875,-2.998046875
H,2151.393975750,59,193,79,100,13,293,0,-3.26171875,-2.998046875
E,2151.449097880,46,20,46,20,78,293,0,-3.26171875,-2.98828125
H,2151.452796260,58,190,78,100,13,293,0,-3.26171875,-2.96875
E,2151.507783920,40,20,40,20,78,293,0,-3.251953125,-2.958984375
H,2151.511547260,57,187,76,100,13,293,0,-3.2421875,-2.958984375
E,2151.556786146,38,20,38,20,78,293,0,-3.232421875,-2.958984375
H,2151.560550970,53,182,71,100,13,293,0,-3.2421875,-2.94921875
E,2151.605788456,38,19,38,19,77,293,0,-3.212890625,-2.939453125
H,2151.609651448,55,178,74,100,13,293,0,-3.203125,-2.978515625
E,2151.664704866,37,18,37,18,77,293,0,-3.212890625,-2.96875
H,2151.668371984,60,176,80,100,13,293,0,-3.193359375,-2.98828125
E,2151.723401910,35,18,35,18,77,293,0,-3.18359375,-2.998046875
H,2151.727165544,62,181,83,100,13,293,0,-3.18359375,-2.98828125
E,2151.772395918,34,17,34,17,77,293,0,-3.18359375,-3.037109375
H,2151.776160882,61,180,81,100,13,293,0,-3.18359375,-3.037109375
E,2151.831198704,33,16,33,16,78,293,0,-3.193359375,-3.076171875
H,2151.834963766,59,171,79,100,13,293,0,-3.232421875,-3.076171875
E,2151.890115254,31,16,31,16,77,293,0,-3.2421875,-3.056640625
H,2151.893877684,61,165,81,100,13,293,0,-3.26171875,-3.02734375
E,2151.948804136,31,16,31,16,77,293,0,-3.26171875,-3.0078125
H,2151.952601258,60,163,80,100,13,293,0,-3.26171875,-2.96875
E,2152.017809372,29,16,29,16,78,293,0,-3.26171875,-2.94921875
H,2152.021612752,61,167,81,100,13,293,0,-3.26171875,-2.96875
E,2152.066808602,27,16,27,16,78,293,0,-3.26171875,-2.9296875
H,2152.070636552,62,173,83,100,13,293,0,-3.26171875,-2.8515625
E,2152.116476304,25,15,25,15,78,293,0,-3.26171875,-2.890625
H,2152.120143254,67,186,90,100,13,293,0,-3.26171875,-2.8125
E,2152.174623008,24,15,24,15,78,293,0,-3.26171875,-2.841796875
