daq_0_bi,daq_1_tri
-3.26171875,-2.91015625
-3.26171875,-2.958984375
-3.26171875,-3.0078125
-3.26171875,-3.017578125
-3.26171875,-3.017578125
-3.26171875,-3.02734375
-3.271484375,-3.017578125
-3.26171875,-3.017578125
-3.26171875,-3.017578125
-3.26171875,-3.017578125
-3.26171875,-2.998046875
-3.26171875,-2.998046875
-3.26171875,-2.998046875
-3.26171875,-2.998046875
-3.271484375,-2.998046875
-3.26171875,-3.0078125
-3.26171875,-3.0078125
-3.26171875,-3.017578125
-3.271484375,-3.017578125
-3.26171875,-3.0078125
-3.26171875,-3.0078125
-3.26171875,-3.0078125
-3.26171875,-3.017578125
-3.26171875,-3.0078125
-3.26171875,-3.0078125
-3.26171875,-3.017578125
-3.26171875,-3.0078125
-3.26171875,-3.0078125
-3.26171875,-3.0078125
-3.26171875,-3.0078125
-3.26171875,-3.0078125
-3.26171875,-3.0078125
-3.26171875,-3.0078125
-3.26171875,-3.0078125
-3.26171875,-3.0078125
-3.26171875,-3.0078125
-3.26171875,-2.998046875
-3.26171875,-2.998046875
-3.26171875,-2.998046875
-3.26171875,-2.998046875
-3.26171875,-2.98828125
-3.26171875,-2.998046875
-3.26171875,-2.998046875
-3.26171875,-2.998046875
-3.26171875,-2.998046875
