device_type,time,tricep_effort,bicep_effort,joint_position,daq_0,daq_1
E,2150.419538000,36,32,130,-3.26171875,-3.076171875
E,2150.468537468,42,32,130,-3.26171875,-3.06640625
E,2150.527340184,47,31,130,-3.26171875,-3.056640625
E,2150.576456160,49,31,129,-3.26171875,-3.095703125
E,2150.635144888,49,30,127,-3.26171875,-3.037109375
E,2150.684147296,48,29,125,-3.26171875,-2.96875
E,2150.733149452,50,28,124,-3.251953125,-2.919921875
E,2150.782265596,54,27,121,-3.251953125,-2.91015625
E,2150.840954478,66,27,118,-3.2421875,-2.919921875
E,2150.889956494,76,28,114,-3.22265625,-2.890625
E,2150.938958888,81,28,109,-3.22265625,-2.880859375
E,2151.008074906,79,28,104,-3.212890625,-2.890625
E,2151.066763774,74,27,98,-3.203125,-2.939453125
E,2151.115766140,70,26,93,-3.22265625,-3.06640625
E,2151.174570144,68,25,89,-3.2421875,-3.02734375
E,2151.223684790,67,24,86,-3.26171875,-3.06640625
E,2151.282373672,62,23,82,-3.26171875,-3.046875
E,2151.341176304,54,22,80,-3.26171875,-3.02734375
E,2151.390178572,50,21,79,-3.26171875,-2.998046875
E,2151.449097880,46,20,78,-3.26171875,-2.98828125
E,2151.507783920,40,20,78,-3.251953125,-2.958984375
E,2151.556786146,38,20,78,-3.232421875,-2.958984375
E,2151.605788456,38,19,77,-3.212890625,-2.939453125
E,2151.664704866,37,18,77,-3.212890625,-2.96875
E,2151.723401910,35,18,77,-3.18359375,-2.998046875
E,2151.772395918,34,17,77,-3.18359375,-3.037109375
E,2151.831198704,33,16,78,-3.193359375,-3.076171875
E,2151.890115254,31,16,77,-3.2421875,-3.056640625
E,2151.948804136,31,16,77,-3.26171875,-3.0078125
E,2152.017809372,29,16,78,-3.26171875,-2.94921875
E,2152.066808602,27,16,78,-3.26171875,-2.9296875
E,2152.116476304,25,15,78,-3.26171875,-2.890625
E,2152.174623008,24,15,78,-3.26171875,-2.841796875
E,2152.233416134,23,14,79,-3.26171875,-2.841796875
E,2152.292218878,23,13,79,-3.26171875,-2.8125
E,2152.341334938,24,13,79,-3.26171875,-2.919921875
E,2152.400023792,25,12,79,-3.26171875,-3.037109375
E,2152.458841810,28,12,79,-3.26171875,-3.154296875
E,2152.507828888,33,12,78,-3.26171875,-3.125
E,2152.566745354,39,14,76,-3.26171875,-3.076171875
E,2152.625434250,41,15,74,-3.2421875,-3.056640625
E,2152.674436420,44,15,71,-3.22265625,-2.94921875
E,2152.733241838,49,15,68,-3.18359375,-2.900390625
E,2152.782355168,52,15,64,-3.154296875,-2.919921875
E,2152.841043952,53,15,61,-3.1640625,-2.939453125
E,2152.899846640,47,15,58,-3.154296875,-3.056640625
E,2152.948848880,42,16,56,-3.22265625,-3.125
E,2153.027765444,38,18,55,-3.22265625,-3.134765625
E,2153.086467696,33,20,55,-3.212890625,-3.10546875
E,2153.135472708,31,22,56,-3.2421875,-3.10546875
E,2153.184458750,28,23,56,-3.232421875,-3.095703125
E,2153.233574810,27,23,57,-3.1640625,-3.056640625
E,2153.292263538,25,24,58,-3.095703125,-3.02734375
E,2153.341266142,24,26,58,-3.095703125,-3.0859375
E,2153.400068648,23,28,58,-3.22265625,-3.115234375
E,2153.449220786,21,30,59,-3.251953125,-3.02734375
E,2153.507873464,20,34,59,-3.26171875,-3.037109375
E,2153.556875746,20,37,60,-3.26171875,-3.017578125
E,2153.615681206,21,40,63,-3.26171875,-2.978515625
E,2153.664794102,22,42,66,-3.26171875,-2.890625
E,2153.723483404,23,46,70,-3.26171875,-2.87109375
E,2153.772485616,25,51,73,-3.26171875,-2.900390625
E,2153.831323038,26,56,78,-3.26171875,-2.958984375
E,2153.890204658,25,59,83,-3.26171875,-3.076171875
E,2153.948893680,25,58,88,-3.26171875,-3.095703125
E,2154.027696298,24,58,93,-3.271484375,-3.134765625
E,2154.086499154,22,61,97,-3.271484375,-3.125
E,2154.135614808,20,63,101,-3.26171875,-3.0859375
E,2154.194303816,20,61,106,-3.232421875,-3.056640625
E,2154.243306196,20,57,109,-3.22265625,-3.056640625
E,2154.302115044,22,55,112,-3.22265625,-3.037109375
E,2154.351776278,24,58,114,-3.22265625,-2.998046875
E,2154.409914064,21,64,116,-3.18359375,-2.98828125
E,2154.468716542,19,68,119,-3.134765625,-2.96875
E,2154.527519188,18,69,123,-3.134765625,-2.98828125
E,2154.576634632,16,70,125,-3.134765625,-2.978515625
E,2154.635334308,15,72,129,-3.14453125,-2.96875
