daq_0_bi,daq_1_tri
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.037109375
-3.26171875,-3.02734375
-3.26171875,-3.037109375
-3.26171875,-3.02734375
-3.26171875,-3.037109375
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.037109375
-3.26171875,-3.037109375
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.037109375
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.017578125
-3.26171875,-3.02734375
-3.26171875,-3.017578125
-3.26171875,-3.017578125
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.017578125
-3.26171875,-3.017578125
-3.26171875,-3.02734375
-3.26171875,-3.017578125
-3.26171875,-3.02734375
-3.26171875,-3.02734375
-3.26171875,-3.017578125
-3.26171875,-3.017578125
-3.26171875,-3.017578125
-3.26171875,-3.017578125
-3.26171875,-3.017578125
-3.26171875,-3.017578125
-3.26171875,-3.017578125
