,psi_gyro_E,filtered_gyro_z_E,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,del_psi_gyro_E,del_gyro_z_deg_E,psi_gyro_H,filtered_gyro_z_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,del_psi_gyro_H,del_gyro_z_deg_H
0,0.04579675032757176,5.861984041929243,7.0,25.0,50,50,,,0.017029968895128,2.179836018576442,74.0,26.0,50,50,,
1,0.09828203669230452,6.2923918348168115,7.0,26.0,50,50,0.052485286364732764,0.4304077928875687,0.0408383578232516,2.6160278533005834,77.0,25.0,50,50,0.0238083889281236,0.43619183472414136
2,0.14916163417132325,6.367074365743322,7.0,27.0,50,50,0.050879597479018726,0.07468253092651089,0.07179291013923582,3.0725936281685082,80.0,24.0,50,50,0.03095455231598422,0.4565657748679248
3,0.19648446556383567,6.286854761264933,7.0,25.0,50,50,0.04732283139251242,-0.0802196044783896,0.11425444818988245,3.6844298823520787,78.0,22.0,50,50,0.04246153805064663,0.6118362541835705
4,0.2396115333216274,6.12424812888166,7.0,24.0,50,50,0.04312706775779174,-0.1626066323832731,0.17145971939425278,4.456077867743749,74.0,21.0,50,50,0.05720527120437033,0.7716479853916707
5,0.28098506352561076,5.973575426640523,7.0,24.0,50,50,0.04137353020398335,-0.1506727022411365,0.22766133129949517,4.954005062657222,75.0,22.0,50,50,0.056201611905242393,0.4979271949134727
6,0.32006848361236984,5.817166681107391,7.0,24.0,50,50,0.03908342008675908,-0.156408745533132,0.2808157408838483,5.25199583442754,83.0,24.0,50,50,0.053154409584353135,0.2979907717703183
7,0.35507051011466906,5.621716447460727,8.0,26.0,50,50,0.03500202650229922,-0.19545023364666392,0.33253874441808706,5.452071897572841,91.0,24.0,50,50,0.051723003534238754,0.2000760631453007
8,0.38662671822106104,5.407793227881388,8.0,28.0,50,50,0.03155620810639198,-0.21392321957933902,0.3859327216648899,5.638937126764713,95.0,25.0,50,50,0.05339397724680284,0.18686522919187176
9,0.41483468337292434,5.179825410580194,8.0,32.0,50,50,0.0282079651518633,-0.2279678173011943,0.43897979268617005,5.784950287514336,100.0,27.0,50,50,0.053047071021280146,0.14601316074962334
10,0.4426604911665578,4.984937853087685,9.0,36.0,50,50,0.027825807793633472,-0.19488755749250863,0.4924173343445368,5.912021731472787,100.0,27.0,50,50,0.05343754165836673,0.12707144395845127
11,0.46961705557133576,4.807783814810789,9.0,37.0,50,50,0.02695656440477795,-0.17715403827689613,0.5451898893968945,6.009328493903598,100.0,26.0,50,50,0.05277255505235773,0.0973067624308106
12,0.4939082786766209,4.618371792224109,10.0,35.0,50,50,0.024291223105285142,-0.18941202258668,0.595391354208983,6.055770651604625,100.0,26.0,50,50,0.050201464812088537,0.04644215770102722
13,0.5144805639306448,4.403190767329843,10.0,35.0,50,50,0.02057228525402388,-0.2151810248942665,0.6417237116220488,6.042196211060009,100.0,27.0,50,50,0.04633235741306574,-0.013574440544616095
14,0.5333540316638463,4.19271661176265,10.0,37.0,50,50,0.018873467733201532,-0.2104741555671925,0.6875791894151156,6.023906946090077,100.0,27.0,50,50,0.04585547779306687,-0.01828926496993244
15,0.55248502550903,4.011513444647944,10.0,36.0,50,50,0.019130993845183686,-0.18120316711470608,0.7329063919813901,6.000837677923003,94.0,26.0,50,50,0.04532720256627443,-0.023069268167073886
