device_type,time,tricep_effort,bicep_effort,joint_position,daq_0,daq_1
E,3352.296959908,97,46,130,-3.154296875,-3.2421875
E,3352.346076304,100,41,127,-3.095703125,-3.232421875
E,3352.404764878,100,38,121,-3.017578125,-3.232421875
E,3352.453767034,100,35,117,-2.96875,-3.232421875
E,3352.502769232,100,34,112,-2.9296875,-3.2421875
E,3352.551885446,100,32,106,-2.919921875,-3.232421875
E,3352.610574188,100,31,99,-2.919921875,-3.193359375
E,3352.659576554,100,30,94,-2.919921875,-3.193359375
E,3352.708578598,100,29,88,-2.94921875,-3.193359375
E,3352.757695470,100,28,82,-2.94921875,-3.14453125
E,3352.816383722,100,30,75,-2.91015625,-3.095703125
E,3352.865385808,100,31,69,-2.890625,-3.076171875
E,3352.914388300,100,31,63,-2.841796875,-3.06640625
E,3352.963504780,100,30,57,-2.841796875,-3.046875
E,3353.042193004,100,31,50,-2.802734375,-3.095703125
E,3353.091195160,100,33,45,-2.71484375,-3.095703125
E,3353.140197526,100,34,39,-2.646484375,-3.0859375
E,3353.189314370,100,35,34,-2.587890625,-3.10546875
E,3353.248002482,100,35,29,-2.529296875,-3.0859375
E,3353.297004778,100,35,24,-2.490234375,-3.076171875
E,3353.346006878,100,35,20,-2.5390625,-3.076171875
E,3353.395675392,100,34,16,-2.63671875,-3.154296875
E,3353.453811862,100,33,13,-2.900390625,-3.212890625
E,3353.502814046,100,32,10,-3.076171875,-3.2421875
E,3353.551816370,100,32,8,-3.154296875,-3.2421875
E,3353.600933172,100,32,8,-3.1640625,-3.232421875
E,3353.659621186,100,31,9,-3.193359375,-3.232421875
E,3353.708623496,100,33,9,-3.115234375,-3.232421875
E,3353.757625778,100,36,9,-3.017578125,-3.232421875
E,3353.806742426,100,41,8,-2.94921875,-3.232421875
E,3353.865430496,93,47,8,-2.880859375,-3.212890625
E,3353.914432750,83,51,9,-2.861328125,-3.193359375
E,3353.963435116,75,54,9,-2.87109375,-3.193359375
E,3354.032552044,67,57,10,-2.96875,-3.1640625
E,3354.091239820,59,60,11,-2.919921875,-3.154296875
E,3354.140242298,54,64,12,-2.880859375,-3.134765625
E,3354.189244650,48,71,13,-2.841796875,-3.0859375
E,3354.238361382,43,79,13,-2.880859375,-3.056640625
E,3354.297049606,41,83,17,-2.841796875,-3.095703125
E,3354.346051566,41,81,20,-2.79296875,-3.06640625
E,3354.395053904,41,79,23,-2.783203125,-3.046875
E,3354.444169782,39,80,27,-2.744140625,-3.095703125
E,3354.502858888,38,84,30,-2.666015625,-3.115234375
E,3354.551860918,36,87,35,-2.6171875,-3.10546875
E,3354.600863326,34,89,39,-2.59765625,-3.10546875
E,3354.649979288,33,90,44,-2.51953125,-3.095703125
E,3354.708668254,33,88,50,-2.48046875,-3.0859375
E,3354.757670564,33,92,55,-2.51953125,-3.076171875
E,3354.806672734,33,97,60,-2.685546875,-3.134765625
E,3354.855788766,31,97,66,-3.02734375,-3.203125
E,3354.914477648,31,94,73,-3.212890625,-3.2421875
E,3354.963479986,31,90,79,-3.22265625,-3.2421875
E,3355.032482156,28,85,84,-3.2421875,-3.2421875
E,3355.081598902,25,82,89,-3.251953125,-3.2421875
E,3355.140287042,22,80,95,-3.232421875,-3.232421875
E,3355.189289422,20,78,99,-3.115234375,-3.232421875
E,3355.238291438,18,79,104,-3.076171875,-3.22265625
E,3355.287408366,17,80,109,-2.998046875,-3.22265625
E,3355.346096436,16,76,114,-2.96875,-3.232421875
E,3355.395098662,14,67,118,-2.978515625,-3.203125
E,3355.444100902,13,61,122,-2.98828125,-3.173828125
E,3355.493768478,12,58,124,-2.998046875,-3.173828125
E,3355.551905746,12,61,126,-2.94921875,-3.125
E,3355.600908098,12,64,129,-2.900390625,-3.14453125
E,3355.649910380,15,64,131,-2.861328125,-3.10546875
E,3355.699026398,24,59,131,-2.87109375,-3.125
E,3355.757715280,37,51,131,-2.8515625,-3.10546875
E,3355.806717464,45,46,131,-2.861328125,-3.115234375
E,3355.855719718,52,43,131,-2.83203125,-3.134765625
E,3355.904835764,60,40,131,-2.666015625,-3.10546875
E,3355.963524814,68,35,131,-2.63671875,-3.115234375
E,3356.032526984,78,33,129,-2.568359375,-3.0859375
E,3356.081529154,91,30,126,-2.529296875,-3.076171875
